id,lang,text,author_id,conversation_id,created_at,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.551975185229967e+18,id,@zkdvimos khusus staf kominfo hima lek iku,1.414126847424532e+18,1.551941949577253e+18,2022-07-26 16:58:13,0,0,0,0,@zkdvimos Special Staff Kominfo Hima Lek Iku,0.3571428571428572,0.5714285714285714
1.551974906094445e+18,id,"Tanggapi Dugaan Korupsi Dana Belanja di Kominfo, LP3S Sarankan Bupati Ajak Wartawan Biro Minut Untuk Cari Solusi Bersama https://t.co/KvbLdHTF8z https://t.co/VqG991Su1c",8.796321163041669e+17,1.551974906094445e+18,2022-07-26 16:57:06,0,0,0,0,"Responding to the alleged corruption of shopping funds at the Ministry of Communication and Information, LP3S suggests the Regent invite the Minut Bureau reporter to find a solution with https://t.co/kvbldhtf8z https://t.co/vqg991su1c",-0.1,0.1
1.551974778541867e+18,id,"Sahabat #JalanCantik

Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Cilacap

#JatengGayeng @ganjarpranowo @TajYasinMZ @provjateng @dpubmckjateng @Bptj_cilacap
@humasjateng @kominfo_jtg @dprdjatengprov https://t.co/wLksJhcHYC",8.950948756909015e+17,1.551974778541867e+18,2022-07-26 16:56:36,0,0,1,0,"Friend #JalanCantik

Routine maintenance of roads and bridges
BPJ Cilacap Region

#Jatenggayeng @ganjarpranowo @tajyasinmz @provjateng @dpubmckjateng @bptj_cilacap
@humasjateng @kominfo_jtg @dprdjatengprov https://t.co/wlksjhchyc",0.0,0.0
1.551974186532278e+18,id,"Sahabat #JalanCantik

Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Cilacap

#JatengGayeng @ganjarpranowo @TajYasinMZ @provjateng @dpubmckjateng @Bptj_cilacap
@humasjateng @kominfo_jtg @dprdjatengprov https://t.co/YAx8mRSdrg",8.950948756909015e+17,1.551974186532278e+18,2022-07-26 16:54:15,0,0,0,0,"Friend #JalanCantik

Routine maintenance of roads and bridges
BPJ Cilacap Region

#Jatenggayeng @ganjarpranowo @tajyasinmz @provjateng @dpubmckjateng @bptj_cilacap
@humasjateng @kominfo_jtg @dprdjatengprov https://t.co/yax8mrsdrg",0.0,0.0
1.551973459290382e+18,id,"Sahabat #JalanCantik

Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Cilacap

#JatengGayeng @ganjarpranowo @TajYasinMZ @provjateng @dpubmckjateng @Bptj_cilacap
@humasjateng @kominfo_jtg @dprdjatengprov https://t.co/eaF49VznjB",8.950948756909015e+17,1.551973459290382e+18,2022-07-26 16:51:21,0,0,1,0,"Friend #JalanCantik

Routine maintenance of roads and bridges
BPJ Cilacap Region

#Jatenggayeng @ganjarpranowo @tajyasinmz @provjateng @dpubmckjateng @bptj_cilacap
@humasjateng @kominfo_jtg @dprdjatengprov https://t.co/eaf49vznjb",0.0,0.0
1.551972943139578e+18,id,"Sahabat #JalanCantik

Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Cilacap

#JatengGayeng @ganjarpranowo @TajYasinMZ @provjateng @dpubmckjateng @Bptj_cilacap
@humasjateng @kominfo_jtg @dprdjatengprov https://t.co/5iMPy2SaJI",8.950948756909015e+17,1.551972943139578e+18,2022-07-26 16:49:18,0,0,1,0,"Friend #JalanCantik

Routine maintenance of roads and bridges
BPJ Cilacap Region

#Jatenggayeng @ganjarpranowo @tajyasinmz @provjateng @dpubmckjateng @bptj_cilacap
@humasjateng @kominfo_jtg @dprdjatengprov https://t.co/5imky2saji",0.0,0.0
1.551972274898862e+18,id,"Sahabat #JalanCantik

Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Cilacap

#JatengGayeng @ganjarpranowo @TajYasinMZ @provjateng @dpubmckjateng @Bptj_cilacap
@humasjateng @kominfo_jtg @dprdjatengprov https://t.co/10dU2JGz3H",8.950948756909015e+17,1.551972274898862e+18,2022-07-26 16:46:39,0,0,0,0,"Friend #JalanCantik

Routine maintenance of roads and bridges
BPJ Cilacap Region

#Jatenggayeng @ganjarpranowo @tajyasinmz @provjateng @dpubmckjateng @bptj_cilacap
@humasjateng @kominfo_jtg @dprdjatengprov https://t.co/10du2jgz3h",0.0,0.0
1.551969912989827e+18,id,"@hyang_wisnu @kemkominfo @PlateJohnny Mantul nih bestie, Kominfo tengah menyiapkan 50 ribu data scientist untk memenuhi kebutuhan industri Indonesia.
@PlateJohnny @kemkominfo",1.343825675682116e+18,1.551427009422959e+18,2022-07-26 16:37:16,0,0,0,0,"@Hyang_wisnu @kemkominfo @platejohnny mantul nih Bestie, Kominfo is preparing 50 thousand data scientists to meet the needs of the Indonesian industry.
@Platejohnny @kemkominfo",0.0,0.0
1.551968304289309e+18,id,"Dinas Kominfo Kabupaten Jayapura membangun 17 tower BTS non-3T (tertinggal, terdepan, dan terluar). BTS Belasan tersebut dibangun di kampung terjauh di Kabupaten Jayapura, Papua, pada pertengahan Agustus 2022.
@PlateJohnny @kemkominfo https://t.co/A9zdKMmU79",1.343825675682116e+18,1.551968304289309e+18,2022-07-26 16:30:52,0,0,0,0,"The Jayapura Regency Communication and Information Agency built 17 non-3T BTS towers (underdeveloped, foremost, and outermost). The dozen BTS was built in the farthest village in Jayapura Regency, Papua, in mid -August 2022.
@Platejohnny @kemkominfo https://t.co/a9zdkmmu79",0.0,0.0
1.551966984375607e+18,id,"#Terpopuler Kominfo beri ultimatum 100 platform trafik tertinggi di Indonesia yang belum mendaftar Penyelenggara Sistem Elektornik (PSE) Lingkup Privat, jika tidak diblokir https://t.co/7TOhVk2CQs",135815019.0,1.551966984375607e+18,2022-07-26 16:25:37,1,0,1,3,"#Popular Communication and Information Communication and Information Ultimatum 100 The highest traffic platform in Indonesia that has not yet registered for the organizer of the Private Electronic System (PSE), if not blocked https://t.co/7tohvk2cqs",0.3,0.6375
