id,created_at,lang,author_id,text,conversation_id,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.553378873315799e+18,2022-07-30 13:55:58,id,1.391429755916882e+18,"Untuk Kominfo saya ingin mengadukan aduan brti kenapa tidak bisa ya? saya hanya minta tolong untuk memblokir nomor penipuan uang yang sudah memakan banyak korban, saya sudah dm di Instagram, berkomentar di tiktok dan sudah mengunjungi website tapi tidak bisa 🙏🏽#BlokirKominfo",1.553378873315799e+18,0,0,0,0,"For Kominfo, I want to complain about the complaint, why can't you? I only ask for help to block the money fraud number that has taken many victims, I have been on Instagram, commented on Tiktok and have visited the website but can't 🙏🏽#Blokirkominfo",0.06666666666666667,0.5666666666666667
1.55337873141402e+18,2022-07-30 13:55:24,id,1.511464853679997e+18,"@sandiuno @kemkominfo #pse #kominfo 
Kominfo nya sendiri aja pake yang ga terdaftar di PSS, gmn sih pak sandi?! 

Sumber: https://t.co/Qpynrv92tn",1.553304444263023e+18,0,0,1,0,"@sandiuno @kemkominfo #pse #kominfo
The Ministry of Communication and Information itself uses that is not registered in PSS, how about Sandi Sandi?!

Source: https://t.co/qpynrv92tn",0.0,0.0
1.553370691063644e+18,2022-07-30 13:23:27,id,9.800975597367214e+17,"Kementerian Kominfo RI menegaskan bahwa adanya aturan PSE lingkup privat adalah untuk melindungi masyarakat dari tindak kejahatan yang dilakukan melalui media sosial, seperti kasus penipuan investasi trading atau penipuan lewat wasttapp dan Instagram, seperti yang marak terjadi",1.553370691063644e+18,1,0,1,0,"The Ministry of Communication and Information of the Republic of Indonesia stressed that the existence of a private scope of PSE is to protect the public from crimes committed through social media, such as trading investment fraud cases or fraud through Wasttapp and Instagram, as is rife",0.008333333333333333,0.2520833333333333
1.553369621256114e+18,2022-07-30 13:19:12,id,384875870.0,"Terima Kasih!
––––––––––
Kominfo Himavo Akmapesa 2021/2022 
#AkmapesaIPB
#TheRealNumberOne
#CakraAdhigana
Line : @518lonbl
Instagram : akmapesaipb
Twitter : Akmapesaipb
YouTube : Himavo Akmapesa
Website : https://t.co/ocVDIh3arX",1.553369152848626e+18,0,0,0,0,"Thank you!
––––––––––––––––
Kominfo Himavo Akmapesa 2021/2022
#Akmapesaipb
#Therealnumberone
#Cakraadhigana
Line: @518lonbl
Instagram: Akmapesaipb
Twitter: Akmapesaipb
Youtube: Himavo Akmapesa
Website: https://t.co/ocvdih3arx",0.0,0.0
1.553361057971855e+18,2022-07-30 12:45:10,id,1.338366812782674e+18,Baru saja mengirim foto @ Kominfo pusat https://t.co/ghmP72Dyoy,1.553361057971855e+18,0,0,0,0,Just sent a photo of @ Kominfo Pusat https://t.co/ghmp72dyoy,0.0,0.0
1.553347968300106e+18,2022-07-30 11:53:10,id,1.553261949198434e+18,"Ini ""kelompok"" yang biasanya tenggelamin Instagram tim lawan esprot mobelejen indo ketika kalah
Gada niatan buat tenggelamin Kominfo juga?",1.553347968300106e+18,0,0,0,0,"This is a ""group"" which is usually Instagram Tenagram against Esprot Mobelijen Indo when losing
Gada intention for Tengglamin Kominfo too?",-0.25,0.25
1.553347566347383e+18,2022-07-30 11:51:34,qme,97863560.0,https://t.co/jPAdeBVlVs #BLACKPINKxPUBGM #EduardoEMonicaOfilme #HOBIPALOOZA #ชาอึนอู #TaBarcode #kominfo #ta_nannakun #SurvivorExtincion #SuzukiPakistan #KominfoKontol #taekook,1.553347566347383e+18,0,0,0,0,,,
1.553341493859205e+18,2022-07-30 11:27:26,id,61434946.0,"Protes nyeleneh a la Rony plesetan dari PayPal jadi Pait Pol (Jawa) dalam Bahasa Indonesia artinya pahit sekali. Repost dari akun Instagram Rony Setiyawan, teman yang berprofesi sebagai freelancer graphic designer. Rony bisa diikuti di Instagram https://t.co/YZlCmyUptB #kominfo https://t.co/LGkVI1gRMW",1.553341493859205e+18,0,0,1,0,"Protest a la Rony play from Paypal to Pait Pol (Javanese) in Indonesian means very bitter. Repost of the Instagram account Rony Setiyawan, a friend who works as a graphic designer freelancer. Rony can be followed on Instagram https://t.co/yzlcmyuptb #kominfo https://t.co/lgkvi1grmw",-0.065,0.525
1.553338118245425e+18,2022-07-30 11:14:01,id,2834575296.0,"Geng… yang sabar ya😭🥺

Semoga pihak Kominfo mengulas lagi kebijakan ini biar bisa dipertimbangkan sebaik-baiknya😭🥲

#kominfo #steam #dota2 https://t.co/r0k06dLIWZ",1.553338118245425e+18,0,0,1,0,"Gang… who is patient huh right

Hopefully the Ministry of Communication and Information review this policy again so that it can be considered as well as possible &M

#kominfo #steam #dota2 https://t.co/r0k06dliwz",0.1428571428571428,0.7678571428571428
1.553335628384702e+18,2022-07-30 11:04:08,id,1.446014623761637e+18,"Reaksi Kocak Netizen Usai Kominfo Blokir PayPal Karena Belum Mendaftar PSE: Saatnya Pake PayTren: Kominfo memblokir sejumlah situs yang belum mendaftar sebagai penyelenggara sistem elektronik (PSE) di Indonesia, termasuk PayPal https://t.co/0AJbkpRjrv",1.553335628384702e+18,0,0,0,0,"The hilarious reaction of netizens after the Ministry of Communication and Information Block Paypal because it has not yet registered PSE: It's time to use Paytren: Kominfo blocks a number of sites that have not registered as organizers of the Electronic System (PSE) in Indonesia, including Paypal https://t.co/0ajbkprjrv",0.5,1.0
