id,author_id,conversation_id,text,created_at,lang,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.553787340648493e+18,9.800975597367214e+17,1.553787340648493e+18,"Kementerian Kominfo RI melalui juru bicaranya menegaskan bahwa aplikasi Higgs domino island atau poker yang telah terdaftar di situs resmi PSE lingkup privat kementerian Kominfo RI, bukan situs judi online seperti yang beredar di Internet,itu seperti gaple tidak ada uangnya.",2022-07-31 16:59:04,id,1,0,1,0,"The Ministry of Communication and Information of the Republic of Indonesia through its spokesman stressed that the Higgs Domino Island or Poker application that has been registered on the official website of the Ministry of Communication and Information of the Indonesian Ministry of Communication and Information, not an online gambling site like the one circulating on the internet, like Gaple has no money.",0.0,0.0
1.553787137241203e+18,1.528977400993788e+18,1.553787137241203e+18,bocah marah-marah fyp sama timeline isinya pse tapi masih bahas kominfo sampe sekarang anjeng,2022-07-31 16:58:16,id,0,0,0,0,"The boy is angry with fyp with the timeline, but still discussing the Ministry of Communication and Information until now Anjeng",-0.5,1.0
1.553786437652591e+18,430711286.0,1.553786437652591e+18,"Kata kominfo kita boleh pake uang buat taruhan maen gapleh, soalnya itu bukan judi, cuman permainan aja kok.

Asalkan udah terdaftar pse",2022-07-31 16:55:29,id,0,0,0,0,"Kominfo said we can use money for gapleh, because it's not just a gambling, just a game.

As long as it's already registered by PSE",-0.225,0.4
1.553785742782271e+18,9.800975597367214e+17,1.553785742782271e+18,https://t.co/BeQryUSZNs,2022-07-31 16:52:43,zxx,1,0,1,0,,,
1.553785297569079e+18,1.540388917383274e+18,1.553783606790668e+18,Tapi di sisi lain juga kominfo berhak di salahkan atas tidak ditinjaunya situs judi dan malah melegalkan situs judi tersebut kalo ga percaya coba liat di YouTube terkait klarifikasi pse,2022-07-31 16:50:57,id,0,1,0,0,"But on the other hand, the Ministry of Communication and Information is entitled to be blamed for not being reviewed gambling sites and even legalize the gambling site if you don't believe you try to see on YouTube related to PSE clarification",-0.0625,0.3875
1.553784212846653e+18,1.260468543268758e+18,1.553784212846653e+18,"kominfo dengan pse nya
ui dengan bpob nya
dhito dengan tutup comment di instagram nya

persetan dengan itu semua.. kasus negara apaan lagi coba dah anj yang bakal keluar abis ini??",2022-07-31 16:46:38,id,0,0,0,0,"Kominfo with its PSE
UI with its BPOB
Dhito with a comment closing on his Instagram

To hell with all that ... what is the case of the country again try anj who will come out after this ??",0.0,0.0
1.553784097423892e+18,1.477625762815492e+18,1.553755653704786e+18,"@ndagels Harusnya kominfo mampu menjadi tameng pertama untuk setiap platform yang masuk di Ind.
Yang patut dipertanyakan adalah rules PSE.
Harusnya bisa membedakan antara aturan GAME dan JUDI.
Jika terdapat indikasi perputaran uang di sana harusnya gak diizinkan...",2022-07-31 16:46:11,id,0,1,29,0,"@ndagels should have been able to be the first shield for each platform that entered IN IND.
What is questionable is Rules PSE.
It should be able to distinguish between game rules and gambling.
If there is an indication of the turnover of money there, it should not be permitted ...",0.06999999999999999,0.5966666666666666
1.553782726855361e+18,750847699.0,1.553588102404657e+18,"@Zeent29 Oalah privat hanya untuk sesama pegawe kominfo 🤣 padahal privacy policy WA yg ada enkripsi end-to-end lebih aman ketimbang PSE nya kemenkominfo. Wkwkwkw.

Kudunya emg diganti kementrian kelawakan aja kali ya...",2022-07-31 16:40:44,id,0,0,0,0,"@Zeent29 oalah private only for fellow Kominfo 🤣 even though the privacy policy WA that has an end-to-end encryption is safer than the PSE of the Ministry of Communication and Information. Wkwkwkw.

The hogon is just replaced by the Ministry of Highness, right ...",0.09523809523809523,0.6369047619047619
1.553782630268781e+18,8.537829377827144e+17,1.553782630268781e+18,"Steam, Dota Cs Proses Daftar PSE Kominfo, Blokir Bakal Dibuka? https://t.co/LXpbf2ngNw",2022-07-31 16:40:21,id,0,0,1,0,"Steam, Dota Cs Process of the PSE Kominfo List, Block will be opened? https://t.co/lxpbf2Ngnw",0.0,0.0
1.553782049974063e+18,36573386.0,1.553782049974063e+18,"Kominfo: Dota dan Steam Segera Daftar PSE, Bisa Dibuka Kembali https://t.co/PgHUnnCgdD",2022-07-31 16:38:03,id,0,0,0,0,"Kominfo: Dota and Steam immediately list PSE, can be reopened https://t.co/pghunncgdddd",0.0,0.0
