id,text,author_id,lang,conversation_id,created_at,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.552327148043932e+18,"@udempong wkwkw ya kan emang steam kayaknya sih ga akan daftar... kita liat aja kominfo beneran blokir ga wkwkw... 
gw juga pengennya jangan smpe.. soalnya nanti harus langganan VPN wkwkwkwk",8.03646624903725e+17,id,1.552326670853751e+18,2022-07-27 16:16:47,0,0,1,0,"@udempong wkwkw, right? I don't think you will register ... we just look at the Communication and Information, it's really unblocking ...
I also want it not to be smp .. because later I have to subscribe to VPN wkwkwkwk",0.1619047619047619,0.2452380952380953
1.552325498126029e+18,"@isakepler @convomfs Kalo ga bikin rusuh, ga bikin heboh, ga kominfo kek nya.
Dulu rusuh mau blokir telegram, mana?
Kmrn rusuh mau blokir wa ig dll, mana?
Ada kok yg ga daftar kmrn masih bisa dibuka.
Emang hobi nya doang bkin rusuh",1.162020579353883e+18,id,1.552178241951379e+18,2022-07-27 16:10:14,0,0,44,0,"@isakeplers @convomfs if it doesn't make riot, it doesn't make a scene, not the Communication and Information.
In the past, riot wanted to block the telegram, where?
KMRN riot want to block WA IG etc., where?
There are those who don't register, they can still be opened.
It's a hobby to be riot",-0.25,0.25
1.552307862344385e+18,@txtdrpemerintah blokir kominfo,164273462.0,lt,1.55227624628897e+18,2022-07-27 15:00:09,0,0,1,0,@txtdrpemerintah Blocir Kominfo,0.0,0.0
1.552302672791114e+18,"Apakah paypal bakal di blokir sama kominfo? jangan dong pacck, dana kenakalan saya jangan direnggut☹️",1.412054170534699e+18,id,1.552302672791114e+18,2022-07-27 14:39:32,0,2,1,0,"Will Paypal be blocked with the Ministry of Communication and Information? Don't pacck, my delinquency funds don't be snatched away",0.0,0.0
1.55229740205251e+18,@Askrlfess Kominfo blokir michat aja lahhh meresahkannnnnnn,316901719.0,id,1.552006037376418e+18,2022-07-27 14:18:35,0,0,1,0,@Askrlfess Kominfo just blocked Michat Lahhh to troublennnnnnn,0.0,0.0
1.552285220464128e+18,"kita lihat besok, apa berani blokir aplikasi/situs yg belum daftar PSE ke Kominfo gak... wkwkwkwk... https://t.co/W4K3tpPfsn",67281504.0,id,1.552285220464128e+18,2022-07-27 13:30:11,1,1,1,0,"We will see tomorrow, what dare to block applications/sites that have not yet registered PSE to Kominfo or not ... wkwkwkwk ... https://t.co/w4k3TPPFSN",0.0,0.0
1.552283283999695e+18,Kenapa sii disela-sela tagar trending populer ada bae psk marketing. Ini kominfo gk blokir apa akun2 psk yg secara terbuka bgitu..??? Anak2 dgn mudah akses. Penasaran mereka bisa merambat ke hal-hal pornografi lainnya nanti. @kemkominfo,245649775.0,id,1.552283283999695e+18,2022-07-27 13:22:29,0,0,1,0,Why is Sii on the sidelines of the popular trending hashtag there is a bae psk marketing. This is not the Communication and Information of Blocking what accounts are open that openly .. ??? Children easily access. Curious they can spread to other pornographic things later. @kemkominfo,0.1154761904761905,0.5869047619047619
1.552280480548274e+18,"@mohmahfudmd Pemblokiran sejumlah portal seputar dunia Islam atas permintaan BNPT

cc @msaid_didu 

https://t.co/T7quH6nwNS",344063362.0,id,1.551960305223496e+18,2022-07-27 13:11:21,0,0,0,0,"@mohmahfudmd Blocking a number of portals around the Islamic world at the request of BNPT

cc @msaid_didu

https://t.co/t7quh6nwns",0.0,0.0
1.55227480284477e+18,@txtfrombrand blokir kominfo ... uripwe kakean aturan sedangkan atasan kominfo uripe kepenak ? raiso,2808637398.0,id,1.552153539069514e+18,2022-07-27 12:48:47,0,0,1,0,@txtfrombrand Block Kominfo ... Uripwe Kakean Rules While the Communication and Information Technology Uripe Kenenak? Raiso,0.0,0.0
1.552255887234191e+18,Jadi ini alesan kenapa KOMINFO mau blokir wasaf https://t.co/79apAsZWMf,1006126717.0,id,1.552255887234191e+18,2022-07-27 11:33:37,0,0,1,0,So this is alasan why Kominfo wants to block the waswasaf https://t.co/79apaszwmf,0.2,0.1
