id,text,created_at,conversation_id,lang,author_id,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.553784212846653e+18,"kominfo dengan pse nya
ui dengan bpob nya
dhito dengan tutup comment di instagram nya

persetan dengan itu semua.. kasus negara apaan lagi coba dah anj yang bakal keluar abis ini??",2022-07-31 16:46:38,1.553784212846653e+18,id,1.260468543268758e+18,0,0,0,0,"Kominfo with its PSE
UI with its BPOB
Dhito with a comment closing on his Instagram

To hell with all that ... what is the case of the country again try anj who will come out after this ??",0.0,0.0
1.553760801525481e+18,"Aku takut meninggal, jd bela2in makan di restoran temen (padahal temen gua jg lagi kelonan ama bininya). Kalo ada waktu jgn lupa mampir agar mereka bisa beli satelit NASA krn kominfo kntl

Oiya, nama restonya gozaru
https://t.co/D2D94e8EnT https://t.co/6KkoGekZ3W",2022-07-31 15:13:37,1.553759944192979e+18,id,139108254.0,0,2,7,0,"I'm afraid to die, so I will eat at a friend's restaurant (even though my friend is also a kelonan ama binnya). If there is time, don't forget to stop by so they can buy NASA satellites because of the Ministry of Communication and Information

Oiya, the name of the restaurant gozaru
https://t.co/d2d94e8ent https://t.co/6kkogekz3w",-0.6,0.9
1.553753835570876e+18,t. kominfo. paypal. instagram. agustus. senin. live. itzy. ryujin. redvelvet. https://t.co/pBxDNQIuss,2022-07-31 14:45:56,1.553753835570876e+18,id,1.54668573994113e+18,0,0,0,0,t. Kominfo. Paypal. Instagram. August. Monday. Live. Itzy. Ryujin. Redvelvet. https://t.co/pbxdnqiuss,0.1363636363636364,0.5
1.553753230646989e+18,"Terimakasih!
––––––––––
Kominfo Himavo Akmapesa 2021/2022 

#AkmapesaIPB
#TheRealNumberOne
#CakraAdhigana
Line : @518lonbl
Instagram : akmapesaipb
Twitter : Akmapesaipb
YouTube : Himavo Akmapesa
Website : https://t.co/ocVDIgL1dP",2022-07-31 14:43:32,1.55375295460726e+18,id,384875870.0,0,0,0,0,"Thank you!
––––––––––––––––
Kominfo Himavo Akmapesa 2021/2022

#Akmapesaipb
#Therealnumberone
#Cakraadhigana
Line: @518lonbl
Instagram: Akmapesaipb
Twitter: Akmapesaipb
Youtube: Himavo Akmapesa
Website: https://t.co/ocvdigl1dp",0.0,0.0
1.55374662896769e+18,"Pak Sandiaga Uno lagi live bareng Roy Citayam,

dia yang dukung kominfo buat blokir paypal dan steam,
sebagai menparekraf yang katanya dukung industri kreatif harus nya jangan biarin pemblokiran terjadi,

mari ramaikan live nya beliau,
#BlokirKominfo 

https://t.co/C8tJwbV3wz",2022-07-31 14:17:18,1.55374662896769e+18,id,594470344.0,0,1,0,0,"Pak Sandiaga Uno is Live with Roy Citayam,

He supports the Ministry of Communication and Information to block PayPal and Steam,
As a Menparekraf which is said to support the creative industry, it should not be blocked,

Let's enliven his live,
#Blokirkominfo

https://t.co/c8tjwbv3wz",0.2575757575757576,0.6666666666666666
1.553743591075627e+18,"Kementerian Kominfo RI menyatakan bahwa hampir semua penyenggelara sistem elektronik lingkup privat baik lokal maupun asing yang sudah terdaftar di kementerian Kominfo RI, termasuk wasttapp, Instagram, Google dan YouTube.sementara tinggal 6 saja yang masih belum, termasuk Paypal",2022-07-31 14:05:13,1.553743591075627e+18,id,9.800975597367214e+17,1,0,2,0,"The Ministry of Communication and Information of the Republic of Indonesia stated that almost all of the electronic system of private and foreign scope of the local and foreign scope that had been registered with the Ministry of Communication and Information, including Wasttapp, Instagram, Google and YouTube.",-0.0625,0.15625
1.553728959442932e+18,"Waktu Whatsapp, FB dan Instagram belum mendaftarkan PSE nya, saya mendukung dan mendesak Kominfo untuk memblokir aplikasi2 tsb. Walaupun saya pengguna aplikasi tsb dan pasti saya dirugikan, tapi itu bukan alasan untuk membiarkan mereka melecehkan aturan negara ini. @ernestprakasa",2022-07-31 13:07:05,1.553728959442932e+18,id,1.447610310529982e+18,8,7,50,0,"When WhatsApp, FB and Instagram have not registered their PSE, I support and urged the Ministry of Communication and Information to block the applications. Even though I am a user of the application and I will definitely be disadvantaged, but that is not a reason to let them harass the rules of this country. @nestprakasa",0.0,0.5
1.553722224921743e+18,"Yang berani geser sampe slide terakhir, keren banget Fiks !

#BlokirKominfo #diskusi #fdmbrw #kominfo #blokir #kominfo #kemenkominfo https://t.co/B5XXBLUGGd https://t.co/PjTfaGa9Dv",2022-07-31 12:40:19,1.553722224921743e+18,id,1.52429284432821e+18,0,0,1,0,"Who dare to slide until the last slide, really cool FIK!

#Blokirkominfo #diskusi #fdmbrw #kominfo #blokir #kominfo #kemenkominfo https://t.co/b5xxbluggd https://t.co/pjtfaga9dv",0.21875,0.3583333333333333
1.553715964155294e+18,seru nih investigasi yang model gini.. #kominfo kudu harus beberes lagi https://t.co/PMrBm3Kaue,2022-07-31 12:15:27,1.553715964155294e+18,id,188885120.0,0,0,0,0,exciting this model investigation .. #kominfo must be a few more https://t.co/pmrbm3kaue,0.2,0.4666666666666666
1.553714973045469e+18,"Yesterday, I've noticed all social media users like instagram, twitter and youtube complained Kominfo's policy. First story is about my friend that have noticed his game in steam was lost and no longer can accessed on his computer.",2022-07-31 12:11:30,1.5537102456412e+18,en,1.463773286769201e+18,0,1,0,0,"Yesterday, I've noticed all social media users like instagram, twitter and youtube complained Kominfo's policy. First story is about my friend that have noticed his game in steam was lost and no longer can accessed on his computer.",-0.1041666666666667,0.25
