id,conversation_id,lang,created_at,author_id,text,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.55303362734028e+18,1.55303362734028e+18,id,2022-07-29 15:04:05,1.369573838007063e+18,"nyusahin rakyat..Cuma sebatas inikah hasil pienice tubel ke LN??
bener2 mubazir!pemborosan!

@PNS_Ababil @LPDP_RI @PerekonomianRI @PolhukamRI @Kemhan_RI @kemenkopmk @prastow @bpkri @KPK_RI  
https://t.co/KjaO6dK2Q4",0,0,0,0,"bothering the people ... just limited to this is the result of pienice tubel to ln ??
Really wasteful! Waste!

@Pns_ababil @lpdp_ri @peeconomianri @polhukamri @kemhan_ri @kemenkopmk @prastow @bpkri @kpk_ri
https://t.co/kjao6dk2q4",-0.02380952380952381,0.1142857142857143
1.553013822209741e+18,1.553013822209741e+18,id,2022-07-29 13:45:23,1.09263884887244e+18,"Pada Kamis (28/7) pukul 07.35 WIB, Roblox dan Opera sudah terlihat dalam daftar di laman https://t.co/P7auYdzeQM. Hingga saat ini, tercatat 8.572 PSE domestik dan 231 PSE Asing sudah mendaftar.
@kemkominfo @PlateJohnny @jokowi
https://t.co/8mJR5wp67U",0,0,1,0,"On Thursday (7/28) at 07.35 WIB, Roblox and Opera were seen on the list on the page https://t.co/p7auydzeqm. Up to now, there were 8,572 domestic PSEs and 231 foreign PSEs had registered.
@kemkominfo @platejohnny @jokowi
https://t.co/8mjr5wp67u",-0.0625,0.1125
1.552998937698632e+18,1.552998937698632e+18,id,2022-07-29 12:46:14,3570716532.0,Kominfo Bakal Blokir Steam hingga Epic Games Bila Tak Daftar PSE Sampai Tengah Malam https://t.co/j4DI0Gafzx,0,0,0,0,Kominfo will block Steam to Epic Games if you don't list PSE until midnight https://t.co/j4di0gafzx,0.1,0.4
1.552988742897799e+18,1.552988742897799e+18,id,2022-07-29 12:05:44,2352745627.0,"Epic Game, Steam, dan Dota Belum Daftar PSE

Pada Kamis (28/7) pukul 07.35 WIB, Roblox & Opera sdh terlihat dalam daftar di laman https://t.co/knx4xShDHS. Hingga saat ini, tercatat 8.572 PSE domestik dan 231 PSE Asing sdh mendaftar
@PlateJohnny
@kemkominfo
https://t.co/1JAwsfW5gN",0,0,0,0,"Epic Games, Steam, and Dota have not yet registered PSE

On Thursday (7/28) at 07.35 WIB, Roblox & Opera had been seen on the list on the page https://t.co/knx4xshdhs. Up to now, there were 8,572 domestic PSEs and 231 foreign PSEs have registered
@Platejohnny
@kemkominfo
https://t.co/1jawsfw5gn",-0.008333333333333331,0.2083333333333333
1.552982527236706e+18,1.552982527236706e+18,id,2022-07-29 11:41:02,1.12451724572235e+18,"10 PSE Terancam Diblokir Kominfo, Termasuk Steam, Epic Games dan Yahoo https://t.co/56aURb9oHW #Pse #SistemElektronik #Kominfo #PseKominfo",3,0,0,0,"10 PSE threatened to be blocked by Kominfo, including Steam, Epic Games and Yahoo https://t.co/56aurb9ohw #se #sistelectronics #kominfo #sekominfo",0.1,0.4
1.552973367774364e+18,1.552973367774364e+18,zxx,2022-07-29 11:04:38,2936131.0,https://t.co/XQpSf2JyeI,0,0,0,0,,,
1.552971299471114e+18,1.552971299471114e+18,id,2022-07-29 10:56:25,1.244551614553154e+18,"epic games, steam, dota, battle. net ga ada kabar. Kominfo bakal mulai blokir malam ini
#psekominfo",0,1,0,0,"Epic Games, Steam, Dota, Battle. Net has no news. Kominfo will start blocking tonight
#sekominfo",0.05,0.2
1.552971052153819e+18,1.552971052153819e+18,id,2022-07-29 10:55:26,135815019.0,"Kominfo ungkap 10 layanan belum daftar PSE kendati sudah dikirimkan surat teguran, seperti Steam, Dota dan Epic Games. Sanksi pemblokiran siap diberlakukan. https://t.co/ytYWk20PDN",3,0,3,1,"Kominfo revealed 10 services have not yet been registered even though the warning letter has been sent, such as Steam, Dota and Epic Games. Blocking sanctions are ready to be implemented. https://t.co/ytywk20pdn",0.1,0.4666666666666666
1.552967467349053e+18,1.552967467349053e+18,id,2022-07-29 10:41:11,1.228626017591255e+18,"..https://t.co/Wtcp0hmRem

Kominfo ungkap 10 layanan belum daftar PSE kendati sudah dikirimkan surat teguran, seperti Steam, Dota dan Epic Games. Sanksi pemblokiran siap diberlakukan.",0,0,2,0,"..https: //t.co/wtcp0hmrem

Kominfo revealed 10 services have not yet been registered even though the warning letter has been sent, such as Steam, Dota and Epic Games. Blocking sanctions are ready to be implemented.",0.1,0.4666666666666666
1.552940988884451e+18,1.552940988884451e+18,id,2022-07-29 08:55:58,76581610.0,"Hingga saat ini, sederet platform besar, seperti search engine Yahoo dan Bing, game DoTA, Steam, e-commerce Amazon, CS Go, Origin, Epic Game, belum juga mendaftar. 

Kalian mau semangati Kominfo untuk blokir
or
Platform suruh nyerah dan daftar PSE? https://t.co/gjhkx2bOGB",7,18,36,7,"Until now, a series of large platforms, such as search engines Yahoo and Bing, Dota games, Steam, Amazon E-Commerce, CS Go, Origin, Epic Game, have not yet registered.

You want to bloom the Communication and Information
or
The platform told to give up and list PSE? https://t.co/gjhkx2bogb",-0.02142857142857144,0.4321428571428572
