id,author_id,conversation_id,created_at,text,lang,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.552330647175172e+18,97921428,1.552316157033533e+18,2022-07-27 16:30:41,"@lois__collins Iyahh, tanpa google, Andro turunan. Yahh kali2 ga akan diblokir Kominfo 😌😌😌",id,0,1,0,0,"@lois__collins iyahh, without Google, Andro derived. Well, the times will not be blocked by the Ministry of Communication and Information",0.0,0.0
1.552329067319288e+18,2910743894,1.552329067319288e+18,2022-07-27 16:24:25,"yaelah, kominfo bisa tau isi whatsapp aja heboh. padahal di berita juga tulisannya buat keperluan penyelidikan
google noh tau lu sering pake incognito sat
nothing is safe on internet!!",id,0,0,0,0,"Yes, Kominfo can know the contents of WhatsApp. Even though the news is also written for investigation purposes
Google knows you often use incognito sat
Nothing is safe on the internet !!",0.78125,0.5
1.552327881358844e+18,1919125886,1.552327881358844e+18,2022-07-27 16:19:42,Kominfo membuat aturan agar perusahaan yang bergerak di bidang digital mengikuti regulasi yang ada. Cuma yang mengherankan ada perusahaan yang memasukkan web google play. Lahh situs google play kan milik google,id,0,0,1,0,Kominfo makes rules so that companies engaged in digital following existing regulations. Only surprising there are companies that enter the Google Play web. Lahh the Google Play site belongs to Google,0.175,0.4
1.552310316951777e+18,1633717662,1.552077862714622e+18,2022-07-27 15:09:54,"@Askrlfess Bohong ini mah wkwk, dipikir kominfo pegang server google kali 🤣",id,0,0,0,0,"@Askrlfess This is a lie, I think Kominfo is holding Google's server times 🤣",0.0,0.0
1.552284302440026e+18,1325657509374222080,1.552284302440026e+18,2022-07-27 13:26:32,"Dengan begitu, bisa diartikan seluruh layanan Google, seperti YouTube, Gmail, Google Maps, Google Classroom, Play Store, dan lainnya tidak akan mengalami pemblokiran oleh Kominfo @kemkominfo @PlateJohnny https://t.co/W2eNlUtGea",id,0,0,0,0,"That way, it can be interpreted by all Google services, such as YouTube, Gmail, Google Maps, Google Classroom, Play Store, and others will not be blocking by Kominfo @kemkominfo @platejohnny https://t.co/w2enlutgea",0.0,0.5
1.552283369546732e+18,203811312,1.552182566379143e+18,2022-07-27 13:22:49,"@AlvChrist ""Ok Google play Glimpse of Us by Joji""

Kominfo agents: https://t.co/p4VXXsLFJa",en,0,0,0,0,"@AlvChrist ""Ok Google play Glimpse of Us by Joji""

Kominfo agents: https://t.co/p4VXXsLFJa",0.5,0.5
1.552280123826512e+18,1117436973986094976,1.552280123826512e+18,2022-07-27 13:09:56,"Wah kacau, folder di google drive yang selama ini tersimpan rapi bisa dilihat dong berarti 😏

Secara gmail aja bisa diintip percakapannya 🤦
#PSE #kominfo https://t.co/aZ6qOClbhr",id,0,0,1,0,"Wow, chaotic, the folder on Google Drive that has been neatly stored can be seen means 😏

Gmail can just be peeked at the conversation 🤦
#PSE #KOMINFO https://t.co/az6qoclbhr",0.1,1.0
1.552271662120604e+18,1334253325911432960,1.552153539069514e+18,2022-07-27 12:36:18,"@txtfrombrand Jika aplikasi telegram yg notabene gratis/open source kenapa kok sudah didaftarin duluan ya. Udah jelas ada politik udang di balik batu nih.
Atau penerapan Totalitarianisme modern ?
Welcome to neo-nazi

• https://t.co/OqIwigcfsN
• https://t.co/CQUbF4UFt1
https://t.co/jkju43T1Lg",id,0,0,0,0,"@txtfrombrand If the telegram application which is actually free/open source why how come it's already registered first. It's clear that there is shrimp politics behind the stone.
Or the application of modern totalitarianism?
Welcome to Neo-Nazi

• https://t.co/oqiwigcfsn
• https://t.co/cqubf4uft1
https://t.co/jkju43t1lg",0.1583333333333334,0.4527777777777778
1.552269504121811e+18,706776804,1.552269504121811e+18,2022-07-27 12:27:44,"Ini Kempatan Terakhir anda untuk teken Petisinya, sebelum Kominfo Bikin Ulah Lagi!

https://t.co/CqfjMTk2Ab
https://t.co/kDCcKWW2Po

#BlokirKominfo #ProtesNetizen 
#PSEmelanggarHAM #PSEBerbauKomunis",id,2,0,1,0,"This is your last place to sign the petition, before the Ministry of Communication and Information makes the act again!

https://t.co/cqfjmtk2ab
https://t.co/kdckww2po

#Blokirkominfo #Protesnetizen
#PSeMeManggarham #PSEBERBAUKOMUNIS",0.0,0.06666666666666667
1.552267008485769e+18,1547559423815877120,1.552267008485769e+18,2022-07-27 12:17:49,Google akhirnya mendaftarkan diri sebagai Penyelenggara Sistem Elektronik (PSE) Lingkup Privat di Kementerian Komunikasi dan Informatika (Kominfo) @kemkominfo https://t.co/AKfVsIqtRG,id,0,0,0,0,Google finally registered as the organizer of the Private Electronic System (PSE) in the Ministry of Communication and Information (Kominfo) @kemkominfo https://t.co/akfvsiqtg,0.0,0.6875
