id,conversation_id,lang,created_at,author_id,text,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.551966984375607e+18,1.551966984375607e+18,id,2022-07-26 16:25:37,135815019,"#Terpopuler Kominfo beri ultimatum 100 platform trafik tertinggi di Indonesia yang belum mendaftar Penyelenggara Sistem Elektornik (PSE) Lingkup Privat, jika tidak diblokir https://t.co/7TOhVk2CQs",1,0,1,3,"#Popular Communication and Information Communication and Information Ultimatum 100 The highest traffic platform in Indonesia that has not yet registered for the organizer of the Private Electronic System (PSE), if not blocked https://t.co/7tohvk2cqs",0.3,0.6375
1.551958830883344e+18,1.551958830883344e+18,id,2022-07-26 15:53:13,1381618304184246016,"Mobile Legends Adventure dan Bang Bang terlihat sudah mendapat penerbitan PSE pada 17 Juli 2022. Sementara itu, sudah ada 5.701 PSE domestik yang telah terdaftar oleh Kominfo @kemkominfo @PlateJohnny https://t.co/HP7LOLinc7",0,0,0,0,"Mobile Legends Adventure and Bang Bang are seen to have received PSE issuance on July 17, 2022. Meanwhile, there are already 5,701 domestic PSEs that have been registered by Kominfo @kemkominfo @platejohnny https://t.co/hp7lolinc7",0.0,0.1
1.551958675358487e+18,1.551958675358487e+18,id,2022-07-26 15:52:36,1381618304184246016,Kominfo memiliki peraturan yang tertuang dalam Peraturan Menteri Komunikasi dan Informatika Nomor 5 Tahun 2020 tentang Penyelenggara Sistem Elektronik (PSE) Lingkup Privat @kemkominfo @PlateJohnny https://t.co/SrdqrCUV7m,0,0,0,0,Kominfo has a regulation contained in the Minister of Communication and Information Regulation Number 5 of 2020 concerning the Organizer of the Electronic System (PSE) Private Scope @kemkominfo @platejohnny https://t.co/srdqrcuv7m,0.0,0.375
1.551958270121693e+18,1.551958270121693e+18,id,2022-07-26 15:51:00,14934218,"Kementerian Komunikasi dan Informatika (Kominfo) telah merekapitulasi 100 Penyelenggara Sistem Elektronik (PSE) terbesar yang belum mendaftar sebagai PSE
@kemkominfo
@PlateJohnny 

https://t.co/jFuGgYjntI",0,0,0,0,"The Ministry of Communication and Information (Kominfo) has recapitulated the 100 largest electronic system (PSE) organizers who have not registered as PSE
@kemkominfo
@Platejohnny

https://t.co/jfuggyjnti",0.0,0.0
1.551958113346916e+18,1.551958113346916e+18,id,2022-07-26 15:50:22,585736635,"Kementerian Komunikasi dan Informatika (Kominfo) telah merekapitulasi 100 Penyelenggara Sistem Elektronik (PSE) terbesar yang belum mendaftar sebagai PSE
@kemkominfo
@PlateJohnny 

https://t.co/aHTs6iBjiJ",0,0,0,0,"The Ministry of Communication and Information (Kominfo) has recapitulated the 100 largest electronic system (PSE) organizers who have not registered as PSE
@kemkominfo
@Platejohnny

https://t.co/ahts6ibjij",0.0,0.0
1.551958004915876e+18,1.551958004915876e+18,id,2022-07-26 15:49:57,1461159312,"Kementerian Komunikasi dan Informatika (Kominfo) telah merekapitulasi 100 Penyelenggara Sistem Elektronik (PSE) terbesar yang belum mendaftar sebagai PSE
@kemkominfo
@PlateJohnny 

https://t.co/isJOWUowXP",0,0,0,0,"The Ministry of Communication and Information (Kominfo) has recapitulated the 100 largest electronic system (PSE) organizers who have not registered as PSE
@kemkominfo
@Platejohnny

https://t.co/isjowuowxp",0.0,0.0
1.551957902206058e+18,1.551957902206058e+18,id,2022-07-26 15:49:32,719121814304202752,"Kementerian Komunikasi dan Informatika (Kominfo) telah merekapitulasi 100 Penyelenggara Sistem Elektronik (PSE) terbesar yang belum mendaftar sebagai PSE
@kemkominfo
@PlateJohnny 

https://t.co/oh54swv3OJ",0,0,0,0,"The Ministry of Communication and Information (Kominfo) has recapitulated the 100 largest electronic system (PSE) organizers who have not registered as PSE
@kemkominfo
@Platejohnny

https://t.co/OH54SWV3OJ",0.0,0.0
1.551951753792594e+18,1.551951753792594e+18,id,2022-07-26 15:25:06,1197225394866281984,[askrl] steam sama epic games udah daftar pse kominfo belum ya?,0,0,0,0,[Askrl] Steam and Epic Games Have you registered PSE Kominfo yet?,0.1,0.4
1.551945777861501e+18,1.551945777861501e+18,id,2022-07-26 15:01:21,881471378775449600,"Lewat Aturan PSE, Kominfo Bisa Intip Percakapan Whatsapp dan Gmail https://t.co/ATwOAJoseJ",0,0,0,0,"Through PSE rules, Kominfo can take a peek at WhatsApp and Gmail conversations https://t.co/atwoajosej",0.0,0.0
1.551942649212731e+18,1.551942649212731e+18,id,2022-07-26 14:48:55,1829416813,"Lewat Aturan PSE, Kominfo Bisa Intip Percakapan Whatsapp dan Gmail https://t.co/eudM7suHTx",0,0,0,0,"Through PSE rules, Kominfo can take a peek at WhatsApp and Gmail conversations https://t.co/eudm7suhtx",0.0,0.0
1.551935009354912e+18,1.551935009354912e+18,id,2022-07-26 14:18:34,980097559736721408,"Zoom, Amazon, LinkedIn, Alibaba dan eBay terancam tidak bisa di akses lagi di Indonesia, karena pihak pengelola platform tersebut, belum mendaftarkan PSE lingkup privat mereka ke kementerian Kominfo RI.semua produk layanan meta Indonesia dan Google Indonesia sudah terdaftar.",1,0,1,0,"Zoom, Amazon, LinkedIn, Alibaba and Ebay are threatened with no more accessed in Indonesia, because the platform manager has not registered their private scope to the Ministry of Communication and Information.",-0.125,0.4375
1.551934989608051e+18,1.551934989608051e+18,id,2022-07-26 14:18:29,1359504856294117120,"Seluruh layanan Google, seperti YouTube, Gmail, Google Maps, Google Classroom, Play Store, dan lainnya tidak akan mengalami pemblokiran oleh @kemkominfo
@PlateJohnny 
https://t.co/taKE2kcA9Y",0,0,3,0,"All Google services, such as YouTube, Gmail, Google Maps, Google Classroom, Play Store, and others will not be blocking by @kemkominfo
@Platejohnny
https://t.co/take2kca9y",0.0,0.5
1.551934310940348e+18,1.551934310940348e+18,id,2022-07-26 14:15:47,980097559736721408,"Platform penyedia layanan video meeting online asal China,Zoom terancam tidak bisa di akses di Indonesia lagi, pasalnya pihak pengelola Zoom meeting belum melakukan pendaftaran PSE lingkup privat mereka ke kementerian Kominfo RI hingga hari ini,selain zoom, Amazon juga belum.",1,0,1,0,"The online video meeting service provider platform from China, Zoom is threatened with not being accessed in Indonesia anymore, because the manager of the Zoom Meeting has not yet registered their private scope to the Ministry of Communication and Information of the Republic of Indonesia to this day, besides Zoom, Amazon has not yet.",0.0,0.375
1.551933730679394e+18,1.551933730679394e+18,id,2022-07-26 14:13:29,980097559736721408,"Besok adalah hari terakhir pendaftaran PSE lingkup privat semua platform media sosial yang beroperasi di Indonesia, sebenarnya kementerian Kominfo RI, telah menutup pendaftaran PSE lingkup privat pada 20 Juli lalu, namun akhirnya memutuskan untuk di beri perpanjangan waktu.",1,0,1,0,"Tomorrow is the last day of registration of PSE Private scope of all social media platforms operating in Indonesia, in fact the Ministry of Communication and Information of the Republic of Indonesia, has closed the registration of PSE Private scope on July 20, but finally decided to be given an extension of time.",-0.01111111111111111,0.3305555555555555
1.551933234052846e+18,1.551933234052846e+18,zxx,2022-07-26 14:11:31,980097559736721408,https://t.co/ukoMSgrY1A,1,0,1,0,,,
1.551931998117446e+18,1.551931998117446e+18,zxx,2022-07-26 14:06:36,1534574416859787008,https://t.co/mlp00vwRFu,0,0,0,0,,,
1.551923078241944e+18,1.550694953981882e+18,id,2022-07-26 13:31:09,1421696144757820928,"@hyang_wisnu @kemkominfo @PlateJohnny @jokowi Pemerintah melalui Kominfo gencar melakukan kampanye registrasi Penyelenggara Sistem Elektronik (PSE) yang akan menjadi basis data atas perusahaan yang legal dan beroperasi dengan benar.
@PlateJohnny @kemkominfo",0,0,0,0,"@Hyang_wisnu @kemkominfo @platejohnny @jokowi government through the Kominfo intensively conduct an electronic system (PSE) registration campaign that will be a database of a legal company and operates correctly.
@Platejohnny @kemkominfo",0.2,0.2
