id,author_id,created_at,text,conversation_id,lang,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.552334536758809e+18,1604854716,2022-07-27 16:46:09,"Kasus2 di negeri wakanda ini tidak pernah gagal membuat saya speechless, misal yg baru2 ini, kominfo yg bisa akses gmail dan whatsapp lah, aparat yg sewa org buat bunuh istrinya lah, like what the actual fvck?!",1.552334536758809e+18,id,0,0,3,0,"Cases in this country of Wakanda have never failed to make me speechless, for example this recent one, Kominfo who can access Gmail and WhatsApp, the apparatus who rented people to kill his wife, like what the actual fvck?!",0.08333333333333333,0.2166666666666667
1.552331144259314e+18,475415262,2022-07-27 16:32:40,"heheee

https://t.co/Yes8djrplX",1.552331144259314e+18,tl,0,0,0,0,"Heheee

https://t.co/Yes8DJRPLX",0.0,0.0
1.552330945206039e+18,168372946,2022-07-27 16:31:52,"Kominfo sedih kalau baca percakapan Whatsapp gue, waktunya terbuang sia-sia 💃🏻 https://t.co/9MegXkPKl0",1.552330945206039e+18,id,0,0,0,0,"Kominfo is sad when I read my WhatsApp conversation, the time is wasted 💃🏻 https://t.co/9megxkpkl0",-0.35,0.5
1.552329067319288e+18,2910743894,2022-07-27 16:24:25,"yaelah, kominfo bisa tau isi whatsapp aja heboh. padahal di berita juga tulisannya buat keperluan penyelidikan
google noh tau lu sering pake incognito sat
nothing is safe on internet!!",1.552329067319288e+18,id,0,0,0,0,"Yes, Kominfo can know the contents of WhatsApp. Even though the news is also written for investigation purposes
Google knows you often use incognito sat
Nothing is safe on the internet !!",0.78125,0.5
1.552325522813624e+18,1502323878135463936,2022-07-27 16:10:20,"@Askrlfess Kasian pasangan para pekerja kominfo, ga bisa maen belakang wkwkwkw di pantau terus whatsapp nya",1.552077862714622e+18,id,0,0,0,0,"@Askrlfess Poor Pair of Communication and Information Workers, can't play behind the way you keep on monitoring whatsapp",-0.4,0.6499999999999999
1.552324256087699e+18,3251879443,2022-07-27 16:05:18,"@txtfrombrand Pdhal whatsapp sendiri ga bsa baca karena end to end encrypt, skrg kominfo malah..... Wkwkwk",1.552157315771822e+18,id,0,0,2,0,"@txtfrombrand pdhal whatsapp itself can't be read because of end to end encrypt, now the communication and information",0.0,0.0
1.552323586982941e+18,1374315914,2022-07-27 16:02:38,Pap ketika pedekate bertahun-tahun via whatsapp dipantau oleh prgawai kominfo dari kata hai sampai say. *merekaikutbahagia https://t.co/IUN56DJ6tE,1.552323586982941e+18,id,0,1,0,0,PAP when pedekate for years via WhatsApp was monitored by the Communication and Information Prgawai from the word Hai to Say. *Merikutbahagia https://t.co/iun56dj6te,0.0,0.0
1.552309341369221e+18,1214121321858126080,2022-07-27 15:06:02,"Mad. Iya gapapa Kominfo, silahkan intip WhatsApp saya biar tahu betapa sepinya WhatsApp saya gak ada yang nge chat 😭 https://t.co/Ya0OQJMOwS",1.552309341369221e+18,id,0,4,4,0,"Mad. Yes, it's okay, please take a peek at WhatsApp, so I know how lonely, my whatsapp doesn't chat 😭 https://t.co/ya0oqjmows",-0.075,0.7333333333333334
1.552309300114379e+18,1515747097559151104,2022-07-27 15:05:52,After knowing that kominfo can read whatsapp chats......this might happen🤣🤣 https://t.co/hlpeFKxTNW,1.552309300114379e+18,en,0,0,0,0,After knowing that kominfo can read whatsapp chats......this might happen🤣🤣 https://t.co/hlpeFKxTNW,0.0,0.0
1.552307013639873e+18,1069327084625912064,2022-07-27 14:56:47,@txtfrombrand Gue mau tau ekspresi kominfo baca chat whatsapp gue n temen2 gue sih 😂,1.552153539069514e+18,id,0,0,0,0,"@txtfrombrand I want to know the expression of the Ministry of Communication and Information, reading my whatsapp chat and my friends anyway 😂",0.0,0.0
