id,author_id,lang,created_at,text,conversation_id,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.553416177808187e+18,1.311874920817717e+18,id,2022-07-30 16:24:12,Ayo bocilnya bang windah kita serang kominfo,1.553416177808187e+18,0,0,0,0,"Come on, Bang Windah, we attack Kominfo",0.0,0.0
1.553415431745987e+18,1.105431812329791e+18,id,2022-07-30 16:21:14,"Kominfo kalo sampe blokir google drive juga, mahasiswa sejagat indo yg serang balik. TUGAS GW WOYYLAA JANGAN DIAPA APAIIINN.",1.553415431745987e+18,0,0,0,0,"Kominfo, if you block Google Drive too, indo universal students who attack back. My job is woyylaa don't do anything.",0.0,0.0
1.55341494784496e+18,1159461858.0,id,2022-07-30 16:19:19,Kominfo apa ga takut di serang bocil kematian ya,1.55341494784496e+18,0,0,0,0,Kominfo is not afraid in attacking the leak of death,0.3,0.9
1.553409286935806e+18,1.373324178674262e+18,id,2022-07-30 15:56:49,wkwk kominfo di serang abis abisan deh,1.553409286935806e+18,0,0,0,0,Wkwk Kominfo in Serang Abis Abisan,0.0,0.0
1.553398861040734e+18,1.106966521060876e+18,id,2022-07-30 15:15:23,Ga ada yg  serang ddos atau deface webnya kominfo nih?,1.553398861040734e+18,0,0,0,0,No one attacks ddos ​​or the website deface of the Ministry of Communication and Information?,0.0,0.0
1.553390104932078e+18,1.191212957146833e+18,id,2022-07-30 14:40:36,"Buat fans sebelah kalo emang lagi pengen emosi ngamuk2 bacot mending serang kominfo aja gih, ntar gue dukung soalnya cocok diserang👍",1.553390104932078e+18,0,0,0,0,"For the next fans if you really want emotions to go berserk2, it's better to attack the Ministry of Communication and Information, I will support the problem because it is suitable to be attacked.",0.3125,0.3625
1.553388293102129e+18,1.01706750751597e+18,id,2022-07-30 14:33:24,"aslik ini rame-rame boikotkominfo baru muncul di tl gegara quote dari mutuals, baru inget w dah mute words kominfo forever sejak kena serang di base😭😭😭😭",1.553388293102129e+18,0,2,0,0,"Aslik is a new boycotominfo boikotkominfo emerged in the TL Negara Quote from Mutuals, just remember W and Mute Words Kominfo Forever since being attacked in the base&TE.",0.1363636363636364,0.4545454545454545
1.553367216522813e+18,1.297368390068126e+18,id,2022-07-30 13:09:39,"bocil kematian, bocil komplen windah akan serang kominfo",1.553367216522813e+18,0,0,0,0,"Death leak, the leak of Komil Windah will attack the Ministry of Communication and Information",0.0,0.0
1.553356621731926e+18,79433882.0,id,2022-07-30 12:27:33,Mampus kominfo di serang netizen !!!!,1.553356621731926e+18,0,1,0,0,Died of Kominfo in Serang Netizen !!!!,0.0,0.0
1.553354807490269e+18,1.539825871045145e+18,id,2022-07-30 12:20:20,"@ndagels Cmiiw...

Tapi yang harusnya yg kalian serang itu pihak platform digitalnya ga sih? Kan Kominfo pun udah kasih peringatan mulai dari tertulis, denda, sampai pemblokiran. Yang artinya Kominfo pun ga semata mata langsung ngeblokir gitu aja...",1.553226274117603e+18,0,2,1,0,"@ndagels cmiiw ...

But what should you attack is the digital platform or not? The Ministry of Communication and Information has also given a warning from written, fined, to blocking. Which means that the Ministry of Communication and Information is not just blocked immediately ...",0.0,0.0
1.55334246417748e+18,1.465361604904567e+18,id,2022-07-30 11:31:17,"@txtfrombrand Twitter Kominfo serang aja sih udah war aja sok keras banget,",1.553153893114483e+18,0,0,0,0,"@txtfrombrand Twitter Kominfo just attacking, it's already so hard,",-0.2916666666666667,0.5416666666666666
