id,text,conversation_id,lang,created_at,author_id,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.55376099013077e+18,"Naikan hastag #BlokirKominfo ✅️
Silahturahmi ke akun kominfo sama mentrinya ✅️
Buat meme kominfo ✅️
Hujat dirjennya✅️
Bom review ✅️
Hacker website kominfo✅️

Nah tinggal turun ke jalanan tuk demo ke kantor kominfo nih yang belum....",1.55376099013077e+18,id,2022-07-31 15:14:22,1.100724332995633e+18,0,0,0,0,"Improve the hashtag #Blokirkominfo ✅️
Gathering to the Ministry of Communication and Information account with his minister ✅️
For MEME Kominfo ✅️
DIRECTOR HAJAT OF DIRECTOR General
Bomb Review ✅️
Kominfo website hacker

Now just go down to the streets to demonstrate to the Ministry of Communication and Information Office that hasn't ...",-0.05277777777777778,0.3944444444444445
1.553745729843126e+18,@ShiroNekoBanser dari data yang diperoleh banyak anak pns di kominfo yang sekolah di 2 sekolah ini. sman 8 jakarta dan smk penabur. masing masing mayoritasnya kristen dan islam. jadi kalau mau target bom bukan kominfonya. tapi bom sekolah anaknya supaya jadi kericuhan nasional.,1.553281195815109e+18,id,2022-07-31 14:13:43,8.642553175587799e+17,0,0,0,0,"@Shironekobanser From the data obtained by many civil servants in the Ministry of Communication and Information who school in these 2 schools. SMAN 8 Jakarta and SMK Penabur. each majority of Christianity and Islam. So if you want a target bomb, it's not the Communication and Information. But his son's school bombs to become national chaos.",0.5,0.5
1.553672304101433e+18,Ne kantor kominfo drpd cuma ditaroin bunga atau dilemparin botol pipis mending di bom sekalian https://t.co/lQgMUUYHuP,1.553672304101433e+18,id,2022-07-31 09:21:57,1.506947561231622e+18,0,0,0,0,Ne Dr.Pd Communication and Information Office is only ditaroin flower or thrown a pee bottle mending on the bombs https://t.co/lqgmuuyhup,0.0,1.0
1.553665310540308e+18,"fakyu kominfo, lama lama gw bom ddos nangis kao 🤬 https://t.co/u1Miof5zYn",1.553665310540308e+18,id,2022-07-31 08:54:10,1.23233033091421e+18,0,0,0,0,"Fakyu Kominfo, for a long time I bombed Ddos crying Kao 🤬 https://t.co/u1miof5zyn",-0.125,0.5
1.553630095990206e+18,"kalo ini beneran= bom kantor kominfo
kalo ini boongan= bom kantor kominfo https://t.co/g72gA84JJI",1.553630095990206e+18,id,2022-07-31 06:34:14,1.248966130481238e+18,0,0,1,0,"if this is real = the bombing of the Ministry of Communication and Information
If this is boongan = Bomb of the Communication and Information Office https://t.co/g72ga84jji",0.2,0.3
1.553598805903577e+18,"@kryssmoon Nanti klo udah bener~bener kepepet bakal ganti dns dkk, karna ini masih kaya bom waktu, tinggal nunggu waktu aja apa kominfo masih kekeh sama peraturannya atau mau dengerin masyarakat yang ada dan merevisinya gitu kristal",1.553428079326171e+18,id,2022-07-31 04:29:54,2166262694.0,0,1,1,0,"@kryssmoon later when it's true ~ really trapped will replace DNS et al, because this is still like a time bomb, just wait for the time to the time of the Ministry of Communication and Information or want to listen to the existing people and revise it so crystals",0.04999999999999999,0.2166666666666667
1.553596014736851e+18,"@copiumlezat Talk less do more, katanya mau bom kominfo",1.553593643289547e+18,id,2022-07-31 04:18:48,1.479833460017492e+18,0,1,0,0,"@copiumlezat talk less do more, he said he wanted to bomb the Kominfo",0.1666666666666667,0.2833333333333333
1.553585023181537e+18,"@aikaragisa Ouh, kukira udah bisa TwT, tinggal menunggu bom waktu aja sampai kominfo unblock game store",1.553322128413716e+18,id,2022-07-31 03:35:08,2166262694.0,0,1,1,0,"@aikaragisa ouh, I thought I was able to twt, just waiting for the bomb until the Kominfo Unblock Game Store",0.04999999999999999,0.5125
1.553578087924638e+18,Gimana kalo kita bom kantor kominfo...,1.553578087924638e+18,id,2022-07-31 03:07:34,1.127920848520614e+18,0,0,0,0,What if we are the Communication and Information Bomb ...,0.0,0.0
1.5534684159645e+18,WOOOEEE KADRUN MORO O KABEH NG KANTOR HEADQUARTER KOMINFO GEK BOM EN!,1.5534684159645e+18,de,2022-07-30 19:51:47,301300972.0,0,0,0,0,Wooeeee Kadrun Moro o Kabeh Ng Kantor Headquarters Kominfo Ked!,0.0,0.0
