id,author_id,conversation_id,created_at,text,lang,retweet_count,reply_count,like_count,quote_count,en_text,polarity,subjectivity
1.552698534256087e+18,2352745627,1.55218297376383e+18,2022-07-28 16:52:32,"@hyang_wisnu @kemkominfo @PlateJohnny @jokowi Mematuhi & mengikuti aturan regulator lokal (PSE Kominfo) demi keberlangsungan bisnis 😎
@PlateJohnny 
@kemkominfo",id,0,0,0,0,"@Hyang_wisnu @kemkominfo @platejohnny @jokowi obey & follow the rules of local regulators (PSE Kominfo) for the continuity of business 😎
@Platejohnny
@kemkominfo",0.0,0.0
1.552695264934183e+18,1124517245722349952,1.552695264934183e+18,2022-07-28 16:39:33,"Kominfo Bisa Cek Chat WhatsApp Berkat PSE Lingkup Privat, Ini Penjelasan Pakar https://t.co/4LlfLHl7dY #PseLingkupPrivat #Kominfo #Whatsapp #Gmail",id,3,0,0,0,"Kominfo can check Whatsapp chat thanks to a private scope, this is an explanation of expert https://t.co/4Llfllhl7dy #pselkuppprivat #kominfo #whatsapp #gmail",0.1,0.2875
1.552691557953946e+18,550714680,1.552691557953946e+18,2022-07-28 16:24:49,Apa Itu PSE Kominfo dan Fungsinya | Jurnalpost https://t.co/cyJg9dRn9m,id,0,0,0,0,What is PSE Kominfo and its Functions | Jurnalpost https://t.co/cyjg9drn9m,0.0,0.0
1.552687183848686e+18,1359504856294117120,1.552687183848686e+18,2022-07-28 16:07:26,"Perusahaan teknologi asing yang belum terdaftar di PSE Kominfo seperti browser Opera, media sosial profesional LinkedIn, marketplace @kemkominfo
@PlateJohnny 
https://t.co/TsdT3PxfhC",id,0,0,0,0,"Foreign technology companies that have not been registered in PSE Kominfo such as Opera Browser, LinkedIn professional social media, @kemkominfo marketplace
@Platejohnny
https://t.co/tsdt3pxfhc",0.002083333333333335,0.1979166666666667
1.552684606910243e+18,1359504856294117120,1.552684606910243e+18,2022-07-28 15:57:12,"@kemkominfo memberikan kelonggaran waktu bagi sejumlah aplikasi yang belum mendaftar, terhitung lima hari kerja sejak Kamis (21/7). @PlateJohnny   
https://t.co/iYSWyvoATU",id,0,0,0,0,"@Kemkominfo provides a time leeway for a number of applications that have not registered, starting five working days since Thursday (7/21). @Platejohnny
https://t.co/iyswyvoatu",0.0,0.1
1.55267971263565e+18,2495710832,1.55267971263565e+18,2022-07-28 15:37:45,"Perusahaan yang Tak Daftar PSE Kominfo akan Alami Kerugian Ini

Kominfo memberikan waktu lima hari kerja. Jika mereka tidak mau mendaftar maka mekanisme blokir akan berlaku
@PlateJohnny
@kemkominfo
https://t.co/c9qdaWXE7G",id,0,0,0,0,"Companies that do not list PSE Kominfo will experience this loss

Kominfo gives five working days. If they don't want to register, the blocking mechanism will apply
@Platejohnny
@kemkominfo
https://t.co/c9qdawxe7g",0.0,0.0
1.552679298112561e+18,2495710832,1.552679298112561e+18,2022-07-28 15:36:06,"Patuhi Kebijakan Kominfo, Alibaba Cloud Daftar PSE

Jika masih ada PSE yang belum mendaftar, mekanisme pemblokiran akan berlaku
@PlateJohnny
@kemkominfo
https://t.co/3dC6t3ansp",id,0,0,1,0,"Obey the policy of the Ministry of Communication and Information, Alibaba Cloud List PSE

If there are still PSEs that have not registered, the blocking mechanism will apply
@Platejohnny
@kemkominfo
https://t.co/3dc6t3ansp",0.0,0.0
1.552678279764529e+18,41730943,1.552678279764529e+18,2022-07-28 15:32:03,"Google Ngakunya Sudah Daftar PSE, kok, Belum Nongol di Situs Kominfo https://t.co/c5Jv7Ek8c5",id,0,0,2,0,"Google said that he already registered PSE, how come, not appearing on the Kominfo website https://t.co/c5jv7ek8c5",0.0,0.0
1.552674202762678e+18,79704637,1.552674202762678e+18,2022-07-28 15:15:51,"Permenkominfo Nomor 5 tahun 2020 tentang PSE Lingkup Privat. Ntar yang jomblo di chat wa ama kominfo : ""ciee gak ada yang wa nih""",id,0,0,0,0,"Permenkominfo Number 5 of 2020 concerning PSE Private Scope. Later the single in Chat WA and Communication and Information: ""Ciee doesn't have anything wa""",-0.02380952380952381,0.1964285714285714
1.552673237364277e+18,2502835254,1.552673237364277e+18,2022-07-28 15:12:01,"Kominfo memberikan kelonggaran waktu bagi aplikasi yang belum mendaftar, terhitung lima hari kerja sejak Kamis (21/7).
@PlateJohnny
@kemkominfo
https://t.co/Xz4NYhMjVq",id,0,0,0,0,"The Ministry of Communication and Information provides a time leeway for applications that have not registered, starting five working days since Thursday (7/21).
@Platejohnny
@kemkominfo
https://t.co/xz4nyhmjvq",0.0,0.1
1.552673020673933e+18,2502835254,1.552673020673933e+18,2022-07-28 15:11:10,"Country Manager Alibaba Cloud Indonesia Leon Chen menganggap bahwa regulasi pendaftaran PSE lingkup privat dari Kementerian Kominfo harus ditaati
@PlateJohnny
@kemkominfo
https://t.co/SErGFSlUuM",id,0,0,0,0,"Country Manager of Alibaba Cloud Indonesia Leon Chen considers that the registration registration of PSE Private scope of the Ministry of Communication and Information must be obeyed
@Platejohnny
@kemkominfo
https://t.co/sergfsluum",0.0,0.375
