steam_appid,categories,controller_support,developers,genres,is_free,name,platforms,publishers,release_date,required_age,supported_languages,type,website,price_currency,price_initial,support_url,support_email,coming_soon,review_score,review_score_desc,total_positive,total_negative,total_reviews,positive_rate,dlc,metacritic
680450,"Single-player,Full controller support,Steam Leaderboards",full,7 Raven Studios,"Action,Casual,Indie",False,DAMN!,windows,Back To Basics Gaming ,2017-09-08,0,English,game,http://www.backtobasicsgaming.com/,IDR,1749900.0,http://www.backtobasicsgaming.com/,Dan@BackToBasicsGaming.com,False,0,3 user reviews,3,0,3,100.0,,
257030,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support",,"GameCrafterTeam,GameTomo Co. Ltd.","Action,Indie",False,Project Nimbus: Complete Edition,"windows,mac",GameTomo Co. Ltd.,2017-09-26,0,"English*,Japanese*",game,https://www.gametomo.co.jp/project-nimbus-pc,IDR,5299900.0,https://www.facebook.com/ProjectNimbusTheGame,pawee30948@yahoo.co.th,False,8,Very Positive,1072,165,1237,86.66127728375102,1132700,
350220,"Single-player,Multi-player,Co-op,Online Co-op",,๋The Dead Sea is changing.,"Action,Adventure,Casual,Indie,Simulation,Early Access",False,The Dead Sea is changing,windows,The Dead Sea is changing.,2015-03-25,0,English*,game,,,,The Dead Sea is changing.,The Dead Sea is changing.,False,4,Mostly Negative,58,208,266,21.804511278195488,,
892960,"Single-player,Multi-player,PvP,Online PvP,In-App Purchases",,Gamegrustudio,"Free to Play,Indie,Strategy",True,Dimension Of Gameth,windows,Gamegrustudio,2019-03-26,0,English,game,,,,,gamegrustudio@gmail.com,False,0,No user reviews,0,0,0,,,
1228320,"Single-player,Multi-player,Co-op,Online Co-op,LAN Co-op,Partial Controller Support,Steam Cloud",,Wappen Games,"Action,Indie,RPG,Early Access",False,Dungeon Looter,windows,Wappen Games,2022,0,English,game,https://wappen.games/,,,https://wappengames.userecho.com/,support@wappen.games,True,0,No user reviews,0,0,0,,,
1440290,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements",,Good Monkey,"Action,Indie",False,Psycho,windows,Good Monkey,2020-11-05,0,"English*,Thai",game,https://goodmonkeyth.com/,IDR,3299900.0,https://goodmonkeystudio.com/,contact@goodmonkeystudio.com,False,5,Mixed,38,22,60,63.33333333333333,,
1371180,"Single-player,Steam Achievements,Full controller support",full,Browny Application,"Action,Adventure,Indie",False,Star Rover,windows,Browny Application,2020-09-23,0,"English,Thai",game,http://starrover.bastation.com/,IDR,9999900.0,http://starrover.bastation.com/,,False,0,1 user reviews,1,0,1,100.0,,
845870,"Single-player,Partial Controller Support",,JUBSTUDIO,"Indie,Early Access",False,BlackFaith,windows,JUBSTUDIO,2018-07-04,0,English,game,https://www.facebook.com/Black_Faith-1916222778690006/,IDR,3999900.0,https://www.facebook.com/Black_Faith-1916222778690006/,,False,0,1 user reviews,0,1,1,0.0,,
974390,"Single-player,Steam Achievements,Full controller support",full,RetroRevolution,"Action,Indie",False,Metaloid : Origin,"windows,mac",RetroRevolution,2019-03-28,0,"English,Italian,French,German,Spanish - Spain,Dutch,Portuguese",game,https://www.playmetaloid.com/,IDR,9792300.0,https://www.facebook.com/retrorevogame/?fref=ts,hutwat@hotmail.com,False,7,Positive,20,3,23,86.95652173913044,,
1378370,"Single-player,Steam Achievements,Full controller support",full,FairPlay Studios Co. Ltd,Action,False,Fallen Knight,windows,PQube,2021-07-20,0,"English,French,Italian,German,Spanish - Spain,Dutch,Japanese,Russian,Traditional Chinese,Turkish,Portuguese,Thai",game,https://fairplaystudios.net/fallen-knight/,IDR,9599900.0,http://fairplaystudios.net/fallenknight/,support@fairplaystudios.net,False,5,Mixed,7,4,11,63.63636363636363,,
1762370,"Single-player,Steam Achievements,Full controller support",full,ํ20Studio,"Casual,Indie,Simulation",False,Balcony,windows,ํ20Studio,2021-10-05,0,English,game,https://www.facebook.com/Balcony-101883845586643,IDR,3299900.0,https://www.facebook.com/Balcony-101883845586643,yeesipp@gmail.com,False,7,Positive,14,0,14,100.0,,
794180,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV",full,Sanuk Games,"Casual,Simulation,Sports",False,PRO FISHING SIMULATOR,windows,Nacon,2018-11-29,0,"English,French,Italian,German,Spanish - Spain,Japanese,Korean,Polish,Portuguese - Brazil,Russian,Simplified Chinese,Traditional Chinese",game,,IDR,6999900.0,,hotline@bigben.fr,False,4,Mostly Negative,6,17,23,26.08695652173913,903690,
547920,Single-player,,"Phun Peeticharoethum,Nawarit Longkhum,Rapeeput Kaewprasit","Violent,Action,Indie,Strategy,Early Access",False,Our Darkest Night,windows,Phun Peeticharoenthum,2016-12-15,0,English,game,https://www.facebook.com/odngame/,IDR,849900.0,https://www.facebook.com/odngame/,phunphun484@gmail.com,False,0,2 user reviews,0,2,2,0.0,,
1734230,"Single-player,Steam Achievements,Full controller support",full,Napas Torteeka,"Action,Adventure,Casual,Racing,Simulation",False,WHATEVER,windows,Pineapple Works,very soooooon,0,English,game,,,,https://discord.gg/vRpUMtewCQ,thegamewhatever@gmail.com,True,0,No user reviews,0,0,0,,,
1271390,"Single-player,Multi-player,Co-op,Online Co-op,Partial Controller Support",,Ninmang Studio,"Action,Adventure,Indie",False,Desohunter,windows,Ninmang Studio,TBA,0,English,game,https://desohunter.com,,,https://discord.gg/CUGdH3Ms23,,True,0,No user reviews,0,0,0,,,
815200,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Full controller support",full,iglooGameDev,"Action,Adventure,Indie,Early Access",False,Bounty Brawl,windows,Igloo Studio,2022,0,"English*,Thai",game,,,,http://www.igloocg.com/,igloogamedev@gmail.com,True,0,No user reviews,0,0,0,,,
1614440,"Single-player,Steam Achievements,Full controller support",full,"Christopher Stair,Trevor Youngquist","Action,Adventure,Indie",False,Bo: Path of the Teal Lotus,windows,Squid Shock Studios,TBD,0,English*,game,https://squidshockstudios.com/,,,https://squidshockstudios.com/,,True,0,No user reviews,0,0,0,,,
927850,"Single-player,Steam Achievements",,Opendream,"Indie,RPG,Simulation",True,Corrupt,"windows,mac",Opendream,2018-09-14,0,Thai,game,https://www.opendream.co.th/project/corrupt,,,https://www.opendream.co.th/contact,info@opendream.co.th,False,0,No user reviews,0,0,0,,932080,
1180270,Single-player,,Long Wing Studio,"Adventure,Indie",False,Forbidden Love With The Ghost Girl,windows,Long Wing Studio,2019-11-19,0,Thai*,game,https://facebook.com/longwingstudio,IDR,9599900.0,https://facebook.com/longwingstudio,,False,8,Very Positive,163,16,179,91.06145251396647,,
1430640,Single-player,,MSOFT,"Action,Adventure,Indie,Early Access",False,Into The Haze,windows,MSOFT,2021-02-05,0,"English,Thai",game,https://msoft-studio.com/,IDR,8999900.0,,business@mosft-studio.com,False,5,Mixed,68,46,114,59.64912280701754,,
1550450,"Single-player,Steam Achievements",,Aiya Games,"Action,Indie",False,Cyjin: The Cyborg Ninja,windows,Aiya Games,2021-11-09,0,"English*,Thai",game,https://www.aiyagames.co.th/,IDR,6999900.0,https://www.aiyagames.co.th/,contact@aiyagames.co.th,False,7,Positive,17,2,19,89.47368421052632,,
1571960,Single-player,,Multicell Games,"Adventure,Indie,Strategy,Early Access",False,The Corpsmen,windows,Multicell Games,2021-04-22,0,English,game,,IDR,10899900.0,,Multicell@multicellgames.com,False,5,Mixed,15,10,25,60.0,,
443000,"Single-player,Partial Controller Support",,Orbital Speed Studio Co.Ltd.,"Action,Indie,RPG,Simulation,Strategy,Early Access",False,DUAL GEAR,windows,Orbital Speed Studio Co.Ltd.,2020-07-28,0,English,game,http://www.dualgeargame.com,IDR,13599900.0,http://www.dualgeargame.com,pongpat@dualgeargame.com,False,6,Mostly Positive,211,58,269,78.43866171003717,,
