id,text,author_id,created_at,conversation_id,lang,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.55267971263565e+18,"Perusahaan yang Tak Daftar PSE Kominfo akan Alami Kerugian Ini

Kominfo memberikan waktu lima hari kerja. Jika mereka tidak mau mendaftar maka mekanisme blokir akan berlaku
@PlateJohnny
@kemkominfo
https://t.co/c9qdaWXE7G",2495710832,2022-07-28 15:37:45,1.55267971263565e+18,id,0,0,0,0,perusahaan yang tak daftar pse kominfo akan alami kerugian ini kominfo memberikan waktu lima hari kerja. jika mereka tidak mau mendaftar maka mekanisme blokir akan berlaku @USER @USER HTTPURL,negative,0.5077428221702576
1.552656197043401e+18,"Komenkominfo sejatinya sudah menutup pendaftaran PSE pada 20 Juli lalu. Namun, diberikan tambahan waktu lima hari mulai tanggal 21-27 Juli pukul 23.59 WIB. / #Tekno #PSE #PSELingkupPrivat #Kominfo #Platformdigital #JernihkanHarapan 

Baca di https://t.co/nFy0yVErdr https://t.co/TZFDmlANdC",23343960,2022-07-28 14:04:18,1.552656197043401e+18,id,3,0,6,0,"komenkominfo sejatinya sudah menutup pendaftaran pse pada 20 juli lalu. namun, diberikan tambahan waktu lima hari mulai tanggal 21-27 juli pukul 23.59 wib. / #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG baca di HTTPURL HTTPURL",neutral,0.9869885444641113
1.552646354719089e+18,Aturan PSE Lingkup Privat mendadak jadi bola panas beberapa pekan terakhir. Ancaman pemblokiran Google Cs menghantui apabila tidak daftar ke Kominfo. https://t.co/QWWhBsnuoe,135815019,2022-07-28 13:25:12,1.552646354719089e+18,id,1,0,3,0,aturan pse lingkup privat mendadak jadi bola panas beberapa pekan terakhir. ancaman pemblokiran google cs menghantui apabila tidak daftar ke kominfo. HTTPURL,neutral,0.6309911608695984
1.552644156400742e+18,@memefess Tolong kominfo blokir moonton saja,834655278666702848,2022-07-28 13:16:28,1.55264380839059e+18,id,1,1,32,1,@USER tolong kominfo blokir moonton saja,neutral,0.6913449764251709
1.552632845062902e+18,"Jelaskan Aturan PSE Terkait Konten Layanan, Kominfo Juga Berhak Beri Sanksi Blokir
https://t.co/7xDxFUbo0o",1309595463650217984,2022-07-28 12:31:31,1.552632845062902e+18,id,0,0,0,0,"jelaskan aturan pse terkait konten layanan, kominfo juga berhak beri sanksi blokir HTTPURL",neutral,0.9963337182998657
1.552618597750829e+18,@kemkominfo Kepada Yth terhormat Kominfo saya minta tolong aplikasi hisee di blokir soalnya aplikasi tidak benar,1521870070787763968,2022-07-28 11:34:54,1.256962853963133e+18,id,0,0,0,0,@USER kepada yth terhormat kominfo saya minta tolong aplikasi hisee di blokir soalnya aplikasi tidak benar,neutral,0.6599000692367554
1.55260722750831e+18,Benarkah Google dan YouTube Sudah Daftar PSE dan Bebas Blokir Kominfo? https://t.co/0edRMX4bF9,2243116382,2022-07-28 10:49:43,1.55260722750831e+18,id,0,0,0,0,benarkah google dan youtube sudah daftar pse dan bebas blokir kominfo? HTTPURL,neutral,0.9442012906074524
1.552605537082102e+18,@NarasiNewsroom Hosting incapsula yang nampung domain https://t.co/WnPyCkjrtF kok di taro di LN kagak bikin sendiri. Mana berani kominfo blokir incapsula. Nanti web nya down sendiri mau press con apa coba wkwkwk,998582689740476416,2022-07-28 10:43:00,1.551057617354535e+18,id,1,0,2,0,@USER hosting incapsula yang nampung domain HTTPURL kok di taro di ln kagak bikin sendiri. mana berani kominfo blokir incapsula. nanti web nya down sendiri mau press con apa coba wkwkwk,negative,0.9966660141944885
1.552591197624906e+18,"Hari Terakhir Pendaftaran PSE, Siapa Kena Blokir?  #Kominfo #Opera #LinkedIn #Alibaba #KominfoBlokir #PenyelenggaraSistemElektronik #Roblok https://t.co/n8jz8KtIIF https://t.co/Ijobjjwcck",737114089386741760,2022-07-28 09:46:01,1.552591197624906e+18,id,0,0,0,0,"hari terakhir pendaftaran pse, siapa kena blokir? #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG HTTPURL HTTPURL",neutral,0.5092905163764954
1.55258694821625e+18,"Google dan YouTube tidak tercatat sebagai PSE asing di Indonesia. Benarkah raksasa teknologi ini terbebas dari ancaman blokir Kominfo?

 https://t.co/6HsXPuyW6e",552523769,2022-07-28 09:29:08,1.55258694821625e+18,id,0,0,0,0,google dan youtube tidak tercatat sebagai pse asing di indonesia. benarkah raksasa teknologi ini terbebas dari ancaman blokir kominfo? HTTPURL,neutral,0.8080061078071594
1.552553930227618e+18,"Blokir, Blokir,Blokir sekarang juga ayolah jangan hoax Kominfo 

Google, Gmail &amp; YouTube Belum Nongol di Situs PSE, Kominfo Bakal Blokir?
https://t.co/oTZ14zDHSV",1412072942880497920,2022-07-28 07:17:56,1.552553930227618e+18,id,0,0,0,0,"blokir, blokir,blokir sekarang juga ayolah jangan hoax kominfo google, gmail & youtube belum nongol di situs pse, kominfo bakal blokir? HTTPURL",negative,0.953385055065155
1.552551893008024e+18,"Kominfo bikin database saja masih ngadat, mikir mau blokir situs-situs yang dipakai orang buat kerja, ngehalu itu tolonglah ditakar sedikit...

BTW, anggaran 963 Milyar udah diapain aja nih? kok gak ada hasilnya, ngeblokir pun gagal...🙃 https://t.co/iUnG55Ji1u",67281504,2022-07-28 07:09:50,1.552551893008024e+18,id,2,1,7,0,"kominfo bikin database saja masih ngadat, mikir mau blokir situs-situs yang dipakai orang buat kerja, ngehalu itu tolonglah ditakar sedikit... btw, anggaran 963 milyar udah diapain aja nih? kok gak ada hasilnya, ngeblokir pun gagal...:upside-down_face: HTTPURL",negative,0.9974057078361511
1.552531976263188e+18,"@kvlotgurl Aman, atau jgn2 udh di blokir kominfo",1274923925504318976,2022-07-28 05:50:42,1.552531312379961e+18,id,0,1,0,0,"@USER aman, atau jgn2 udh di blokir kominfo",negative,0.8807869553565979
1.5525238811684e+18,"@higgsdomino_id tolong dong ini game judi higgsdomino suapaya di blokir. Udah bnyak kasus maling gara2 game judi ini knpa masih di biarin. Tolong mba, kominfo nya ga punya mata gak punya telinga @higgsdomino_id @ListyoSigitP @kemkominfo @jokowi @NajwaShihab
#blokirhiggsdimiino",1446504529579548928,2022-07-28 05:18:32,1.552489876712739e+18,id,0,0,0,0,"@USER tolong dong ini game judi higgsdomino suapaya di blokir. udah bnyak kasus maling gara2 game judi ini knpa masih di biarin. tolong mba, kominfo nya ga punya mata gak punya telinga @USER @USER @USER @USER @USER #HASHTAG",negative,0.9674832224845886
1.552522751860421e+18,@ElvanHariyono @Dimasaaws @JEZGTFO @aimrod @remastered2022 Di blokir kominfo bang,739779403308138496,2022-07-28 05:14:03,1.552163156805689e+18,id,0,0,0,0,@USER @USER @USER @USER @USER di blokir kominfo bang,negative,0.9550412893295288
1.5525091617157e+18,"Hari Blokir Nasional, Kominfo Bungkam soal Platform Digital Tidak Terdaftar PSE yang Masih Bisa Diakses https://t.co/FnLchho98R",74501380,2022-07-28 04:20:03,1.5525091617157e+18,id,0,0,0,0,"hari blokir nasional, kominfo bungkam soal platform digital tidak terdaftar pse yang masih bisa diakses HTTPURL",neutral,0.9957793951034546
1.552508939421377e+18,"Puluhan platform digital yang belum muncul di situs PSE, seperti LinkedIn, Amazon, dll masih belum diblokir Kominfo dan bisa diakses secara normal. https://t.co/QChChZPxxL",23343960,2022-07-28 04:19:10,1.552508939421377e+18,id,2,3,2,2,"puluhan platform digital yang belum muncul di situs pse, seperti linkedin, amazon, dll masih belum diblokir kominfo dan bisa diakses secara normal. HTTPURL",neutral,0.970701277256012
1.552506865439097e+18,@convomfs kominfo kyknya pgn bgt di blokir dri dunia,1337944996226318080,2022-07-28 04:10:55,1.552178241951379e+18,id,1,1,1,0,@USER kominfo kyknya pgn bgt di blokir dri dunia,negative,0.932530403137207
1.552494935961584e+18,"Google, Gmail dan YouTube Belum Nongol, Kominfo Bakal Blokir? https://t.co/ClFDcgpYt3",1474291819571671040,2022-07-28 03:23:31,1.552494935961584e+18,id,0,0,0,0,"google, gmail dan youtube belum nongol, kominfo bakal blokir? HTTPURL",neutral,0.9412909746170044
1.552488382055457e+18,"YouTube, Gmail dan sejumlah layanan Google lainnya belum juga nongol di situs PSE. Apakah lantas akan diblokir Kominfo? https://t.co/5iLoo8lRsL",69183155,2022-07-28 02:57:28,1.552488382055457e+18,id,0,0,5,1,"youtube, gmail dan sejumlah layanan google lainnya belum juga nongol di situs pse. apakah lantas akan diblokir kominfo? HTTPURL",neutral,0.90450119972229
