id,text,created_at,conversation_id,lang,author_id,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.55378733412182e+18,"Usai Kritik Kominfo, Akun Whatsapp Arie Kriting Diretas dan Diteror https://t.co/NcqHYcDsIh #TempoSeleb",2022-07-31 16:59:03,1.55378733412182e+18,id,18129942,17,10,31,6,"usai kritik kominfo, akun whatsapp arie kriting diretas dan diteror HTTPURL #HASHTAG",neutral,0.9936699271202087
1.553786867233206e+18,"DUH JANGAN #SANGE_AAAAAAAAAAH DOSA mending BACA Besok Senin #BlokirKominfo Kominfo  #BogorBanjirKeju RSUD Henry Asnawi Diblokir Siswa Filipina The Adams #2022YOUNGJAE_MINICON_SG Ruhut #BlokirKominfo Ilyy Tretan Muslim Dustin 'WHY'

https://t.co/WanhvOOYmq",2022-07-31 16:57:11,1.553786867233206e+18,id,164119191,0,0,0,0,duh jangan #HASHTAG dosa mending baca besok senin #HASHTAG kominfo #HASHTAG rsud henry asnawi diblokir siswa filipina the adams #HASHTAG ruhut #HASHTAG ilyy tretan muslim dustin 'why' HTTPURL,negative,0.976049542427063
1.553786551548912e+18,"Ferari BLACKPINK #WEURO2022 #HungarianGP #sundayvibes #campingworld Chong Geroge Jetson #PValleyStarz Neyo Tomey Popp England Wembley 30 ETH Vote Republican Ivana

Support #BlokirKominfo Kominfo Dustin Tretan Muslim

https://t.co/WanhvOOYmq",2022-07-31 16:55:56,1.553786551548912e+18,en,164119191,0,0,2,0,ferari blackpink #HASHTAG #HASHTAG #HASHTAG #HASHTAG chong geroge jetson #HASHTAG neyo tomey popp england wembley 30 eth vote republican ivana support #HASHTAG kominfo dustin tretan muslim HTTPURL,neutral,0.8212736248970032
1.553785853100827e+18,"Support #BlokirKominfo Kominfo 30ETH #AmberHeardIsAMonster George Jetson #SeductiveSunday Sarina Wiegman Ivana Melty Blood

https://t.co/WanhvOOYmq",2022-07-31 16:53:09,1.553785853100827e+18,nl,164119191,0,0,1,0,support #HASHTAG kominfo 30eth #HASHTAG george jetson #HASHTAG sarina wiegman ivana melty blood HTTPURL,neutral,0.9911085367202759
1.553784340827763e+18,"ISTIGFAR #SANGE_AAAAAAAAAAH DOSA mending Besok Senin #BlokirKominfo Kominfo  #BogorBanjirKeju RSUD Matip Asnawi Diblokir Steam PayPal The Adams #2022YOUNGJAE_MINICON_SG Ruhut #BlokirKominfo #BlokirKominfo #BlokirKominfo Dustin Tretan Muslim Dustin 'WHY'

https://t.co/jrnKgGXYXz",2022-07-31 16:47:09,1.553784340827763e+18,id,164119191,0,0,0,0,istigfar #HASHTAG dosa mending besok senin #HASHTAG kominfo #HASHTAG rsud matip asnawi diblokir steam paypal the adams #HASHTAG ruhut #HASHTAG #HASHTAG #HASHTAG dustin tretan muslim dustin 'why' HTTPURL,negative,0.794754147529602
1.553784020181598e+18,"WOY #SANGE_AAAAAAAAAAH DOSA mending Besok Senin #BlokirKominfo Kominfo  #BogorBanjirKeju RSUD Filipina Asnawi Diblokir Steam PayPal The Adamas #2022YOUNGJAE_MINICON_SG Ruhut #BlokirKominfo #BlokirKominfo #BlokirKominfo Dustin Tretan Muslim Dustin 'WHY'

https://t.co/WanhvOOYmq",2022-07-31 16:45:52,1.553784020181598e+18,id,164119191,0,0,0,0,woy #HASHTAG dosa mending besok senin #HASHTAG kominfo #HASHTAG rsud filipina asnawi diblokir steam paypal the adamas #HASHTAG ruhut #HASHTAG #HASHTAG #HASHTAG dustin tretan muslim dustin 'why' HTTPURL,negative,0.8928614854812622
1.553783044565508e+18,"masama, jangan lupa baca ini:

https://t.co/WanhvOOYmq

Hati hati doxing Kominfo #BlokirKominfo https://t.co/xcOcRL5J71",2022-07-31 16:42:00,1.553783044565508e+18,id,164119191,1,0,0,0,"masama, jangan lupa baca ini: HTTPURL hati hati doxing kominfo #HASHTAG HTTPURL",neutral,0.7726289629936218
1.553781994018177e+18,"Besok Senin #BlokirKominfo Kominfo #SANGE_AAAAAAAAAAH #BogorBanjirKeju Siswa Henry RSUD Filipina Yangyang Asnawi Diblokir Steam PayPal Dota #2022YOUNGJAE_MINICON_SG Ruhut #BlokirKominfo #BlokirKominfo #BlokirKominfo Dustin Tretan Muslim Dustin 'WHY-KOM'

https://t.co/WanhvOOYmq",2022-07-31 16:37:49,1.553781994018177e+18,id,164119191,0,0,0,0,besok senin #HASHTAG kominfo #HASHTAG #HASHTAG siswa henry rsud filipina yangyang asnawi diblokir steam paypal dota #HASHTAG ruhut #HASHTAG #HASHTAG #HASHTAG dustin tretan muslim dustin 'why-kom' HTTPURL,neutral,0.977717399597168
1.553780498958516e+18,"Besok Senin #BlokirKominfo The Adams #SANGE_AAAAAAAAAAH #BogorBanjirKeju Siswa Henry RSUD Filipina Yangyang Asnawi Diblokir Steam PayPal Dota #2022YOUNGJAE_MINICON_SG Tretan Muslim Dustin #BlokirKominfo #BlokirKominfo #BlokirKominfo Ruhut Dustin 'WHY'

https://t.co/DDBdPMy1T7",2022-07-31 16:31:53,1.553780498958516e+18,id,1541797605448901120,0,0,0,0,besok senin #HASHTAG the adams #HASHTAG #HASHTAG siswa henry rsud filipina yangyang asnawi diblokir steam paypal dota #HASHTAG tretan muslim dustin #HASHTAG #HASHTAG #HASHTAG ruhut dustin 'why' HTTPURL,neutral,0.9207642674446106
1.553779967242416e+18,"Besok Senin #BlokirKominfo The Adams #SANGE_AAAAAAAAAAH #BogorBanjirKeju Siswa Henry RSUD Filipina Yangyang Asnawi Diblokir Steam PayPal Dota #2022YOUNGJAE_MINICON_SG Tretan Muslim Dustin #BlokirKominfo #BlokirKominfo #BlokirKominfo 

https://t.co/jrnKgGXYXz",2022-07-31 16:29:46,1.553779967242416e+18,id,164119191,0,0,1,0,besok senin #HASHTAG the adams #HASHTAG #HASHTAG siswa henry rsud filipina yangyang asnawi diblokir steam paypal dota #HASHTAG tretan muslim dustin #HASHTAG #HASHTAG #HASHTAG HTTPURL,neutral,0.9212360978126526
