id,created_at,lang,author_id,text,conversation_id,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.553378873315799e+18,2022-07-30 13:55:58,id,1.391429755916882e+18,"Untuk Kominfo saya ingin mengadukan aduan brti kenapa tidak bisa ya? saya hanya minta tolong untuk memblokir nomor penipuan uang yang sudah memakan banyak korban, saya sudah dm di Instagram, berkomentar di tiktok dan sudah mengunjungi website tapi tidak bisa 🙏🏽#BlokirKominfo",1.553378873315799e+18,0,0,0,0,"untuk kominfo saya ingin mengadukan aduan brti kenapa tidak bisa ya? saya hanya minta tolong untuk memblokir nomor penipuan uang yang sudah memakan banyak korban, saya sudah dm di instagram, berkomentar di tiktok dan sudah mengunjungi website tapi tidak bisa :folded_hands_medium_skin_tone:#HASHTAG",neutral,0.6918493509292603
1.55337873141402e+18,2022-07-30 13:55:24,id,1.511464853679997e+18,"@sandiuno @kemkominfo #pse #kominfo 
Kominfo nya sendiri aja pake yang ga terdaftar di PSS, gmn sih pak sandi?! 

Sumber: https://t.co/Qpynrv92tn",1.553304444263023e+18,0,0,1,0,"@USER @USER #HASHTAG #HASHTAG kominfo nya sendiri aja pake yang ga terdaftar di pss, gmn sih pak sandi?! sumber: HTTPURL",negative,0.7000864148139954
1.553370691063644e+18,2022-07-30 13:23:27,id,9.800975597367214e+17,"Kementerian Kominfo RI menegaskan bahwa adanya aturan PSE lingkup privat adalah untuk melindungi masyarakat dari tindak kejahatan yang dilakukan melalui media sosial, seperti kasus penipuan investasi trading atau penipuan lewat wasttapp dan Instagram, seperti yang marak terjadi",1.553370691063644e+18,1,0,1,0,"kementerian kominfo ri menegaskan bahwa adanya aturan pse lingkup privat adalah untuk melindungi masyarakat dari tindak kejahatan yang dilakukan melalui media sosial, seperti kasus penipuan investasi trading atau penipuan lewat wasttapp dan instagram, seperti yang marak terjadi",neutral,0.9039880037307739
1.553369621256114e+18,2022-07-30 13:19:12,id,384875870.0,"Terima Kasih!
––––––––––
Kominfo Himavo Akmapesa 2021/2022 
#AkmapesaIPB
#TheRealNumberOne
#CakraAdhigana
Line : @518lonbl
Instagram : akmapesaipb
Twitter : Akmapesaipb
YouTube : Himavo Akmapesa
Website : https://t.co/ocVDIh3arX",1.553369152848626e+18,0,0,0,0,terima kasih! –––––––––– kominfo himavo akmapesa 2021/2022 #HASHTAG #HASHTAG #HASHTAG line : @USER instagram : akmapesaipb twitter : akmapesaipb youtube : himavo akmapesa website : HTTPURL,neutral,0.9847074747085571
1.553361057971855e+18,2022-07-30 12:45:10,id,1.338366812782674e+18,Baru saja mengirim foto @ Kominfo pusat https://t.co/ghmP72Dyoy,1.553361057971855e+18,0,0,0,0,baru saja mengirim foto @USER kominfo pusat HTTPURL,neutral,0.9962557554244995
1.553347968300106e+18,2022-07-30 11:53:10,id,1.553261949198434e+18,"Ini ""kelompok"" yang biasanya tenggelamin Instagram tim lawan esprot mobelejen indo ketika kalah
Gada niatan buat tenggelamin Kominfo juga?",1.553347968300106e+18,0,0,0,0,"ini ""kelompok"" yang biasanya tenggelamin instagram tim lawan esprot mobelejen indo ketika kalah gada niatan buat tenggelamin kominfo juga?",negative,0.9958770275115967
1.553347566347383e+18,2022-07-30 11:51:34,qme,97863560.0,https://t.co/jPAdeBVlVs #BLACKPINKxPUBGM #EduardoEMonicaOfilme #HOBIPALOOZA #ชาอึนอู #TaBarcode #kominfo #ta_nannakun #SurvivorExtincion #SuzukiPakistan #KominfoKontol #taekook,1.553347566347383e+18,0,0,0,0,HTTPURL #HASHTAG #HASHTAG #HASHTAG #HASHTAGึนอู #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG,neutral,0.9810872673988342
1.553341493859205e+18,2022-07-30 11:27:26,id,61434946.0,"Protes nyeleneh a la Rony plesetan dari PayPal jadi Pait Pol (Jawa) dalam Bahasa Indonesia artinya pahit sekali. Repost dari akun Instagram Rony Setiyawan, teman yang berprofesi sebagai freelancer graphic designer. Rony bisa diikuti di Instagram https://t.co/YZlCmyUptB #kominfo https://t.co/LGkVI1gRMW",1.553341493859205e+18,0,0,1,0,"protes nyeleneh a la rony plesetan dari paypal jadi pait pol (jawa) dalam bahasa indonesia artinya pahit sekali. repost dari akun instagram rony setiyawan, teman yang berprofesi sebagai freelancer graphic designer. rony bisa diikuti di instagram HTTPURL #HASHTAG HTTPURL",negative,0.7094135284423828
1.553338118245425e+18,2022-07-30 11:14:01,id,2834575296.0,"Geng… yang sabar ya😭🥺

Semoga pihak Kominfo mengulas lagi kebijakan ini biar bisa dipertimbangkan sebaik-baiknya😭🥲

#kominfo #steam #dota2 https://t.co/r0k06dLIWZ",1.553338118245425e+18,0,0,1,0,geng… yang sabar ya:loudly_crying_face::pleading_face: semoga pihak kominfo mengulas lagi kebijakan ini biar bisa dipertimbangkan sebaik-baiknya:loudly_crying_face::smiling_face_with_tear: #HASHTAG #HASHTAG #HASHTAG HTTPURL,neutral,0.9523281455039978
1.553335628384702e+18,2022-07-30 11:04:08,id,1.446014623761637e+18,"Reaksi Kocak Netizen Usai Kominfo Blokir PayPal Karena Belum Mendaftar PSE: Saatnya Pake PayTren: Kominfo memblokir sejumlah situs yang belum mendaftar sebagai penyelenggara sistem elektronik (PSE) di Indonesia, termasuk PayPal https://t.co/0AJbkpRjrv",1.553335628384702e+18,0,0,0,0,"reaksi kocak netizen usai kominfo blokir paypal karena belum mendaftar pse: saatnya pake paytren: kominfo memblokir sejumlah situs yang belum mendaftar sebagai penyelenggara sistem elektronik (pse) di indonesia, termasuk paypal HTTPURL",neutral,0.9755751490592957
1.553335458922263e+18,2022-07-30 11:03:27,id,2150082260.0,"@inboundandhot 20rb orang terpantau sudah menggeruduk Instagram Kominfo mas. Gamer dibuat gaduh, udah next level was-was mestinya negara hahaha https://t.co/RHptmZH67M",1.553290651327812e+18,1,0,1,0,"@USER 20rb orang terpantau sudah menggeruduk instagram kominfo mas. gamer dibuat gaduh, udah next level was-was mestinya negara hahaha HTTPURL",negative,0.9927793145179749
1.553330324825731e+18,2022-07-30 10:43:03,id,289139102.0,"Harusnya twitter, facebook, tiktok, instagram dsb, jg di blok sm kominfo ya .. biar kominfo gk di komplen sm netizen",1.553330324825731e+18,0,0,0,0,"harusnya twitter, facebook, tiktok, instagram dsb, jg di blok sm kominfo ya .. biar kominfo gk di komplen sm netizen",negative,0.9400145411491394
1.553326897609658e+18,2022-07-30 10:29:26,en,1.296518247328756e+18,I think i get why my instagram is resetted with nature post because the stupid fucking kominfo blocks instagram too #fuckkominfo #BlokirKominfo https://t.co/OhFi63fuwJ,1.553326897609658e+18,0,1,1,0,i think i get why my instagram is resetted with nature post because the stupid fucking kominfo blocks instagram too #HASHTAG #HASHTAG HTTPURL,negative,0.8034784197807312
1.553312824260116e+18,2022-07-30 09:33:31,id,81357778.0,https://t.co/QNjVnwXvG7 bisa menjadi alternatif buat pengguna game steam dikalah kominfo lagi gak asik nih,1.553312824260116e+18,0,0,0,0,HTTPURL bisa menjadi alternatif buat pengguna game steam dikalah kominfo lagi gak asik nih,negative,0.7154989838600159
1.55330952726487e+18,2022-07-30 09:20:25,id,1638676224.0,"Lovers! Dini hari tadi, Kominfo resmi memblokir beberapa website yang sering dibuka termasuk Steam, Epic Games hingga PayPal! Duh🥲

Penasaran? Yuk langsung cekidott🤩✨

https://t.co/gKxL89D6IF",1.55330952726487e+18,0,1,0,0,"lovers! dini hari tadi, kominfo resmi memblokir beberapa website yang sering dibuka termasuk steam, epic games hingga paypal! duh:smiling_face_with_tear: penasaran? yuk langsung cekidott:star-struck::sparkles: HTTPURL",neutral,0.946017861366272
