id,lang,created_at,conversation_id,author_id,text,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.553424742308139e+18,id,2022-07-30 16:58:14,1.553424742308139e+18,1.120595888315879e+18,"Tutup mata ajalah, Gimana nih para petinggi kominfo tolong jelas dijelaskan:
      •Steam.
•PayPal.
•Dota2.
•Counter-Strike.
•Epic Games.
•Origin
•Xandr
•Yahoo Search Engine.
Kenapa diblock.. 
  @kemkominfo https://t.co/nRkkNYzB7J",0,0,0,0,"tutup mata ajalah, gimana nih para petinggi kominfo tolong jelas dijelaskan: •steam. •paypal. •dota2. •counter-strike. •epic games. •origin •xandr •yahoo search engine. kenapa diblock.. @USER HTTPURL",neutral,0.5247114896774292
1.553424269173875e+18,id,2022-07-30 16:56:21,1.553424269173875e+18,180267612.0,Plot twist: Microsoft mengakuisi kominfo untuk menjatuhkan pasar steam dan epic games di Indonesia agar masyarakat pada beli xbox pc gamepass alias BUKA AKSES STEAM WOY! MAU MAIN CO OP REMNANT FROM THE ASHES AING BARU BELI!!! @kemkominfo,0,1,1,0,plot twist: microsoft mengakuisi kominfo untuk menjatuhkan pasar steam dan epic games di indonesia agar masyarakat pada beli xbox pc gamepass alias buka akses steam woy! mau main co op remnant from the ashes aing baru beli!!! @USER,negative,0.7600304484367371
1.553424171459174e+18,id,2022-07-30 16:55:58,1.553357521900802e+18,53068035.0,"@ghifaripp @gentaripta @kurawa @kemkominfo @jokowi Tapi ya yg profesional lah, ini media segede steam, paypal, epic diblock. Gebrakan apa kek yg bikin bangga.. dibidang kominfo dah gabisa orang partai lagi sih, sekalian dipisah aja kementerian kominfo sama bidang teknologi biar ga ngurusin ginian",0,1,0,0,"@USER @USER @USER @USER @USER tapi ya yg profesional lah, ini media segede steam, paypal, epic diblock. gebrakan apa kek yg bikin bangga.. dibidang kominfo dah gabisa orang partai lagi sih, sekalian dipisah aja kementerian kominfo sama bidang teknologi biar ga ngurusin ginian",negative,0.9730830192565918
1.553422629448479e+18,en,2022-07-30 16:49:50,1.553422629448479e+18,1.318779216171692e+18,"Today, Indonesia Goverment Member, ""Kominfo"" blocked Steam, Epic games and Nother Legal Game website, Just because Those web doesn't Presented in PSE, but KomInfo said, ""You still can Play a game, a Gambling game!, It'a fun, and if you win, you'll get so much moneys!""",2,2,3,0,"today, indonesia goverment member, ""kominfo"" blocked steam, epic games and nother legal game website, just because those web doesn't presented in pse, but kominfo said, ""you still can play a game, a gambling game!, it'a fun, and if you win, you'll get so much moneys!""",neutral,0.6921910643577576
1.553421313083347e+18,id,2022-07-30 16:44:36,1.55340544908023e+18,1.150762031085019e+18,"@A_FionyJKT48 main solitare, soalny steam sm epic games dah diblokir sm kominfo. https://t.co/NXz5cj0NzE",0,0,0,0,"@USER main solitare, soalny steam sm epic games dah diblokir sm kominfo. HTTPURL",neutral,0.5890406370162964
1.55342103625508e+18,id,2022-07-30 16:43:30,1.551932917731017e+18,1.541598332761428e+18,"@InfokomPMK BACOT LU ANJING!!!!! KALO LO DUKUNG GAME KNP DIBLOCK TUH STEAM,EPIC GAMES SAMA PAYPAL !!!!!! 

KALO EMANG LO GAK SUKA SAMA GAME ONLINE, MENDING LO GAK ADA AJA SANA !!!! KOMINFO GOBLOK",0,0,0,0,"@USER bacot lu anjing!!!!! kalo lo dukung game knp diblock tuh steam,epic games sama paypal !!!!!! kalo emang lo gak suka sama game online, mending lo gak ada aja sana !!!! kominfo goblok",negative,0.9934189915657043
1.553420828288553e+18,en,2022-07-30 16:42:41,1.553420828288553e+18,1.448131807631708e+18,"Steam, Paypal, Epic Games have been blocked from Indonesia by the Ministry of Communication and Information. Fuck You Ministry of Communication and Information. #VALORANT #csgo #PayPal #RiotGames #Steam #kemenkominfo
#kominfo #BlokirKominfo
https://t.co/DOWhioDM5L",0,0,0,0,"steam, paypal, epic games have been blocked from indonesia by the ministry of communication and information. fuck you ministry of communication and information. #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG HTTPURL",negative,0.8602416515350342
1.553420811700019e+18,id,2022-07-30 16:42:37,1.553420811700019e+18,2197745088.0,"gaurus mau steam, epic games atau apakah diblock. yg penting jgn stackoverflow github gitlab dongo kominfo ini.",0,0,2,0,"gaurus mau steam, epic games atau apakah diblock. yg penting jgn stackoverflow github gitlab dongo kominfo ini.",negative,0.9516425132751465
1.553420467913888e+18,id,2022-07-30 16:41:15,1.553420467913888e+18,916862791.0,"Epic bangett ngerosting nya🔥🔥 kominfo lucu sekali,mak jlebbb ga tuh https://t.co/wNviLzc0uf",0,0,0,0,"epic bangett ngerosting nya:fire::fire: kominfo lucu sekali,mak jlebbb ga tuh HTTPURL",positive,0.9299803972244263
1.553417042039955e+18,id,2022-07-30 16:27:38,1.553417042039955e+18,1.553344567771943e+18,Sumpah saya kecewa sama kominfo bisa bisanya blokir steam dan epic games sumpah nasib para gamer gimana #BlokirKominfo #bringback #Steam #epicgames @kemkominfo https://t.co/QN8GUPXddL,0,0,0,0,sumpah saya kecewa sama kominfo bisa bisanya blokir steam dan epic games sumpah nasib para gamer gimana #HASHTAG #HASHTAG #HASHTAG #HASHTAG @USER HTTPURL,negative,0.997430145740509
1.55341678023578e+18,id,2022-07-30 16:26:36,1.553415946659713e+18,553322221.0,"@choipankukus Itu sis masalah Kominfo blokir Steam, Epic Games, Origin, Paypal, dll",0,1,0,0,"@USER itu sis masalah kominfo blokir steam, epic games, origin, paypal, dll",neutral,0.9792307019233704
1.553416371501167e+18,en,2022-07-30 16:24:58,1.553416371501167e+18,1.185852450185601e+18,how am i supposed to be a super epic gamer if kominfo blocks epic games,0,0,0,0,how am i supposed to be a super epic gamer if kominfo blocks epic games,neutral,0.7690255045890808
1.553416113291424e+18,id,2022-07-30 16:23:57,1.553416113291424e+18,1.259774411059544e+18,"kominfo : sektor gim menjadi sektor yg berkembang pesat saat covid-19.

also kominfo : blokir steam + epic games 🤣 https://t.co/SuOuTWSzCA",0,0,0,0,kominfo : sektor gim menjadi sektor yg berkembang pesat saat covid-19. also kominfo : blokir steam + epic games :rolling_on_the_floor_laughing: HTTPURL,neutral,0.9946611523628235
1.553416059054862e+18,id,2022-07-30 16:23:44,1.553416059054862e+18,1.551943144841056e+18,Apasih ajg Kominfo pake blok steam epic game Paypal dll ajg gimana para rakyat Indonesia yang udh ngabisin uang di steam Ama epic game? Terus rakyat Indonesia yang memakai Paypal dan mempunyai saldo banyak?hangus gitu aja? Kan ga mungkin #kominfotolol #KominfoKontol,1,2,1,0,apasih ajg kominfo pake blok steam epic game paypal dll ajg gimana para rakyat indonesia yang udh ngabisin uang di steam ama epic game? terus rakyat indonesia yang memakai paypal dan mempunyai saldo banyak?hangus gitu aja? kan ga mungkin #HASHTAG #HASHTAG,negative,0.9848677515983582
1.553414604427907e+18,id,2022-07-30 16:17:57,1.551932917731017e+18,1.273624827065074e+18,@InfokomPMK Anak anjing kita kominfo loh blocker steam dan epic game  dan lagi paypal terus kita mau kalo mau tarik uang gimana sadangkan judj online kita tidak block goblok hei siapa hecker tolong kita acak sistem kominfo,0,0,0,0,@USER anak anjing kita kominfo loh blocker steam dan epic game dan lagi paypal terus kita mau kalo mau tarik uang gimana sadangkan judj online kita tidak block goblok hei siapa hecker tolong kita acak sistem kominfo,negative,0.9971427321434021
