id,author_id,created_at,text,conversation_id,lang,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.552334536758809e+18,1604854716,2022-07-27 16:46:09,"Kasus2 di negeri wakanda ini tidak pernah gagal membuat saya speechless, misal yg baru2 ini, kominfo yg bisa akses gmail dan whatsapp lah, aparat yg sewa org buat bunuh istrinya lah, like what the actual fvck?!",1.552334536758809e+18,id,0,0,3,0,"kasus2 di negeri wakanda ini tidak pernah gagal membuat saya speechless, misal yg baru2 ini, kominfo yg bisa akses gmail dan whatsapp lah, aparat yg sewa org buat bunuh istrinya lah, like what the actual fvck?!",negative,0.9512124061584473
1.552331144259314e+18,475415262,2022-07-27 16:32:40,"heheee

https://t.co/Yes8djrplX",1.552331144259314e+18,tl,0,0,0,0,heheee HTTPURL,positive,0.6286056637763977
1.552330945206039e+18,168372946,2022-07-27 16:31:52,"Kominfo sedih kalau baca percakapan Whatsapp gue, waktunya terbuang sia-sia 💃🏻 https://t.co/9MegXkPKl0",1.552330945206039e+18,id,0,0,0,0,"kominfo sedih kalau baca percakapan whatsapp gue, waktunya terbuang sia-sia :woman_dancing_light_skin_tone: HTTPURL",negative,0.9931010007858276
1.552329067319288e+18,2910743894,2022-07-27 16:24:25,"yaelah, kominfo bisa tau isi whatsapp aja heboh. padahal di berita juga tulisannya buat keperluan penyelidikan
google noh tau lu sering pake incognito sat
nothing is safe on internet!!",1.552329067319288e+18,id,0,0,0,0,"yaelah, kominfo bisa tau isi whatsapp aja heboh. padahal di berita juga tulisannya buat keperluan penyelidikan google noh tau lu sering pake incognito sat nothing is safe on internet!!",negative,0.9699291586875916
1.552325522813624e+18,1502323878135463936,2022-07-27 16:10:20,"@Askrlfess Kasian pasangan para pekerja kominfo, ga bisa maen belakang wkwkwkw di pantau terus whatsapp nya",1.552077862714622e+18,id,0,0,0,0,"@USER kasian pasangan para pekerja kominfo, ga bisa maen belakang wkwkwkw di pantau terus whatsapp nya",negative,0.9931755661964417
1.552324256087699e+18,3251879443,2022-07-27 16:05:18,"@txtfrombrand Pdhal whatsapp sendiri ga bsa baca karena end to end encrypt, skrg kominfo malah..... Wkwkwk",1.552157315771822e+18,id,0,0,2,0,"@USER pdhal whatsapp sendiri ga bsa baca karena end to end encrypt, skrg kominfo malah..... wkwkwk",negative,0.9850324392318726
1.552323586982941e+18,1374315914,2022-07-27 16:02:38,Pap ketika pedekate bertahun-tahun via whatsapp dipantau oleh prgawai kominfo dari kata hai sampai say. *merekaikutbahagia https://t.co/IUN56DJ6tE,1.552323586982941e+18,id,0,1,0,0,pap ketika pedekate bertahun-tahun via whatsapp dipantau oleh prgawai kominfo dari kata hai sampai say. *merekaikutbahagia HTTPURL,negative,0.9062526226043701
1.552309341369221e+18,1214121321858126080,2022-07-27 15:06:02,"Mad. Iya gapapa Kominfo, silahkan intip WhatsApp saya biar tahu betapa sepinya WhatsApp saya gak ada yang nge chat 😭 https://t.co/Ya0OQJMOwS",1.552309341369221e+18,id,0,4,4,0,"mad. iya gapapa kominfo, silahkan intip whatsapp saya biar tahu betapa sepinya whatsapp saya gak ada yang nge chat :loudly_crying_face: HTTPURL",negative,0.8437699675559998
1.552309300114379e+18,1515747097559151104,2022-07-27 15:05:52,After knowing that kominfo can read whatsapp chats......this might happen🤣🤣 https://t.co/hlpeFKxTNW,1.552309300114379e+18,en,0,0,0,0,after knowing that kominfo can read whatsapp chats......this might happen:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing: HTTPURL,neutral,0.87618488073349
1.552307013639873e+18,1069327084625912064,2022-07-27 14:56:47,@txtfrombrand Gue mau tau ekspresi kominfo baca chat whatsapp gue n temen2 gue sih 😂,1.552153539069514e+18,id,0,0,0,0,@USER gue mau tau ekspresi kominfo baca chat whatsapp gue n temen2 gue sih :face_with_tears_of_joy:,neutral,0.9964181184768677
