id,author_id,conversation_id,text,created_at,lang,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.553424740592669e+18,1.140558971943604e+18,1.553424740592669e+18,"Lebih percaya google, facebook, paypal, dll buat ngelindungin data pengguna apa kominfo? Gak mungkin kominfo lah 👎 https://t.co/xHkOLMZSMg",2022-07-30 16:58:14,id,0,1,5,0,"lebih percaya google, facebook, paypal, dll buat ngelindungin data pengguna apa kominfo? gak mungkin kominfo lah :thumbs_down: HTTPURL",negative,0.6776154041290283
1.553421267554161e+18,1.349637194978259e+18,1.5532077527757e+18,"@VICE_ID Inspirasi Outfit Couple Bareng Ayang 😍
Yang udah punyaa pasangan boleh nih dicoba ❤️

1 Kemeja : https://t.co/SrePG3dCIg
Celana : https://t.co/QBb7fWCFEK
Tas : https://t.co/virEvjCICI Hijab : https://t.co/TmIET2MAgo 

#BlokirKominfo #kominfo Inews Malming Jilbab Kominfo https://t.co/9l0AmTCMR8",2022-07-30 16:44:26,id,0,0,0,0,@USER inspirasi outfit couple bareng ayang :smiling_face_with_heart-eyes: yang udah punyaa pasangan boleh nih dicoba :red_heart: 1 kemeja : HTTPURL celana : HTTPURL tas : HTTPURL hijab : HTTPURL #HASHTAG #HASHTAG inews malming jilbab kominfo HTTPURL,neutral,0.9693110585212708
1.553420091181924e+18,1.349637194978259e+18,1.553420091181924e+18,"Inspirasi Outfit Couple Bareng Ayang 😍
Yang udah punyaa ayang boleh nih di coba ❤️

Kemeja : https://t.co/SrePG3dCIg
Celana : https://t.co/QBb7fWCFEK
Tas : https://t.co/virEvjCICI
Hijab : https://t.co/TmIET2MAgo

#blokirkominfo #KominfoKontol
#kominfo Paypal Inews Jilbab Malming https://t.co/E1YJWdsq3m",2022-07-30 16:39:45,id,1,0,1,0,inspirasi outfit couple bareng ayang :smiling_face_with_heart-eyes: yang udah punyaa ayang boleh nih di coba :red_heart: kemeja : HTTPURL celana : HTTPURL tas : HTTPURL hijab : HTTPURL #HASHTAG #HASHTAG #HASHTAG paypal inews jilbab malming HTTPURL,neutral,0.9522097706794739
1.553403652903412e+18,1.330447274149724e+18,1.553114194954027e+18,"@Fiar098 #Yahoo #Paypal #MvasApps #SocialMedia #TechCompanies #Facebook #Steam #BlokirKominfo #EpicGames 
https://t.co/44qTZYkOhJ",2022-07-30 15:34:26,qme,0,0,0,0,@USER #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG HTTPURL,neutral,0.9414395689964294
1.553403404051173e+18,509946051.0,1.553403404051173e+18,"PSE Kominfo, Mengapa ingin Blokir Facebook, WhatsApp hingga Google? Ini Jawabannya https://t.co/Bc99xBft03",2022-07-30 15:33:27,id,0,0,0,0,"pse kominfo, mengapa ingin blokir facebook, whatsapp hingga google? ini jawabannya HTTPURL",neutral,0.9905416369438171
1.553392796739916e+18,16724939.0,1.553392796739916e+18,#PSE #Kominfo  - bagian 3 dari 3  https://t.co/okgi2eB2qY,2022-07-30 14:51:18,id,0,0,0,0,#HASHTAG #HASHTAG - bagian 3 dari 3 HTTPURL,neutral,0.9932530522346497
1.55339134995284e+18,435004096.0,1.553385556264255e+18,"Baper Netizen, Faktanya PSE Justru untuk Melindungi

Google, Facebook dan rekan-rekannya tidak terdaftar kok dulu.  Terus kenapa Kominfo paranoid memaksa daftar.""
https://t.co/GxjLS5fMid",2022-07-30 14:45:33,id,0,1,0,0,"baper netizen, faktanya pse justru untuk melindungi google, facebook dan rekan-rekannya tidak terdaftar kok dulu. terus kenapa kominfo paranoid memaksa daftar."" HTTPURL",negative,0.9975374937057495
1.55336646422836e+18,1.028690685136794e+18,1.553366462953394e+18,"Sok-sokan mau ngembangin industri game lokal.

Noh agate berjuang sendirian sampe akhirnya pivot, gamenya jalan dmn? Facebook dll. Ada kominfo lirik? 🙄🙄",2022-07-30 13:06:39,id,0,0,0,0,"sok-sokan mau ngembangin industri game lokal. noh agate berjuang sendirian sampe akhirnya pivot, gamenya jalan dmn? facebook dll. ada kominfo lirik? :face_with_rolling_eyes::face_with_rolling_eyes:",negative,0.9841118454933167
1.553357359271268e+18,45510154.0,1.553357359271268e+18,Kominfo daripada blokir steam mending blokir facebook,2022-07-30 12:30:29,id,0,0,0,0,kominfo daripada blokir steam mending blokir facebook,negative,0.5789848566055298
1.553330324825731e+18,289139102.0,1.553330324825731e+18,"Harusnya twitter, facebook, tiktok, instagram dsb, jg di blok sm kominfo ya .. biar kominfo gk di komplen sm netizen",2022-07-30 10:43:03,id,0,0,0,0,"harusnya twitter, facebook, tiktok, instagram dsb, jg di blok sm kominfo ya .. biar kominfo gk di komplen sm netizen",negative,0.9400145411491394
1.553330171402281e+18,164119191.0,1.553330171402281e+18,"https://t.co/eKiy3jFf6O

#BlokirKominfo  #Yahoo #Paypal #MvasApps #SocialMedia #TechCompanies #Facebook #Steam #BlokirKominfo #EpicGames #TechPlatforms #Diblokir #Paytren #googledrive",2022-07-30 10:42:26,qme,0,0,0,0,HTTPURL #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG,neutral,0.9275833368301392
1.553329209980121e+18,1.166030789101806e+18,1.553312149308842e+18,"@madkimma kalau kominfo bilang ke pihak facebook dkk ""untuk menjaga data penduduk kita"" bakal diketawain sama pihak mereka,it's totally bullshit program kominfo yang pse ini bisa dilihat kalau mereka itu hopeless dan ga bisa catch up sama perkembangan teknologi.",2022-07-30 10:38:37,id,0,0,0,0,"@USER kalau kominfo bilang ke pihak facebook dkk ""untuk menjaga data penduduk kita"" bakal diketawain sama pihak mereka,it's totally bullshit program kominfo yang pse ini bisa dilihat kalau mereka itu hopeless dan ga bisa catch up sama perkembangan teknologi.",negative,0.9844767451286316
1.553328975170007e+18,7.650943048889876e+17,1.553186358365405e+18,"@lesson_pu @PapersBoy @TretanMuslim Facebook, ig, wa udah daftar pse. 
Lu pikir data lu masih aman?
Gue ga dukung kominfo. Gue pakai paypal, steam, main epicgame, main dota dari ti 2, gue juga kesel. 
Cuma gue ngerti maksut mereka bikin begini untuk apa.",2022-07-30 10:37:41,id,0,3,0,0,"@USER @USER @USER facebook, ig, wa udah daftar pse. lu pikir data lu masih aman? gue ga dukung kominfo. gue pakai paypal, steam, main epicgame, main dota dari ti 2, gue juga kesel. cuma gue ngerti maksut mereka bikin begini untuk apa.",negative,0.9911662936210632
