id,author_id,conversation_id,created_at,text,lang,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.552698534256087e+18,2352745627,1.55218297376383e+18,2022-07-28 16:52:32,"@hyang_wisnu @kemkominfo @PlateJohnny @jokowi Mematuhi &amp; mengikuti aturan regulator lokal (PSE Kominfo) demi keberlangsungan bisnis 😎
@PlateJohnny 
@kemkominfo",id,0,0,0,0,@USER @USER @USER @USER mematuhi & mengikuti aturan regulator lokal (pse kominfo) demi keberlangsungan bisnis :smiling_face_with_sunglasses: @USER @USER,neutral,0.9679619669914246
1.552695264934183e+18,1124517245722349952,1.552695264934183e+18,2022-07-28 16:39:33,"Kominfo Bisa Cek Chat WhatsApp Berkat PSE Lingkup Privat, Ini Penjelasan Pakar https://t.co/4LlfLHl7dY #PseLingkupPrivat #Kominfo #Whatsapp #Gmail",id,3,0,0,0,"kominfo bisa cek chat whatsapp berkat pse lingkup privat, ini penjelasan pakar HTTPURL #HASHTAG #HASHTAG #HASHTAG #HASHTAG",neutral,0.9971100687980652
1.552691557953946e+18,550714680,1.552691557953946e+18,2022-07-28 16:24:49,Apa Itu PSE Kominfo dan Fungsinya | Jurnalpost https://t.co/cyJg9dRn9m,id,0,0,0,0,apa itu pse kominfo dan fungsinya | jurnalpost HTTPURL,neutral,0.9960542917251587
1.552687183848686e+18,1359504856294117120,1.552687183848686e+18,2022-07-28 16:07:26,"Perusahaan teknologi asing yang belum terdaftar di PSE Kominfo seperti browser Opera, media sosial profesional LinkedIn, marketplace @kemkominfo
@PlateJohnny 
https://t.co/TsdT3PxfhC",id,0,0,0,0,"perusahaan teknologi asing yang belum terdaftar di pse kominfo seperti browser opera, media sosial profesional linkedin, marketplace @USER @USER HTTPURL",neutral,0.9940956830978394
1.552684606910243e+18,1359504856294117120,1.552684606910243e+18,2022-07-28 15:57:12,"@kemkominfo memberikan kelonggaran waktu bagi sejumlah aplikasi yang belum mendaftar, terhitung lima hari kerja sejak Kamis (21/7). @PlateJohnny   
https://t.co/iYSWyvoATU",id,0,0,0,0,"@USER memberikan kelonggaran waktu bagi sejumlah aplikasi yang belum mendaftar, terhitung lima hari kerja sejak kamis (21/7). @USER HTTPURL",neutral,0.9918673634529114
1.55267971263565e+18,2495710832,1.55267971263565e+18,2022-07-28 15:37:45,"Perusahaan yang Tak Daftar PSE Kominfo akan Alami Kerugian Ini

Kominfo memberikan waktu lima hari kerja. Jika mereka tidak mau mendaftar maka mekanisme blokir akan berlaku
@PlateJohnny
@kemkominfo
https://t.co/c9qdaWXE7G",id,0,0,0,0,perusahaan yang tak daftar pse kominfo akan alami kerugian ini kominfo memberikan waktu lima hari kerja. jika mereka tidak mau mendaftar maka mekanisme blokir akan berlaku @USER @USER HTTPURL,negative,0.5077428221702576
1.552679298112561e+18,2495710832,1.552679298112561e+18,2022-07-28 15:36:06,"Patuhi Kebijakan Kominfo, Alibaba Cloud Daftar PSE

Jika masih ada PSE yang belum mendaftar, mekanisme pemblokiran akan berlaku
@PlateJohnny
@kemkominfo
https://t.co/3dC6t3ansp",id,0,0,1,0,"patuhi kebijakan kominfo, alibaba cloud daftar pse jika masih ada pse yang belum mendaftar, mekanisme pemblokiran akan berlaku @USER @USER HTTPURL",neutral,0.9905697107315063
1.552678279764529e+18,41730943,1.552678279764529e+18,2022-07-28 15:32:03,"Google Ngakunya Sudah Daftar PSE, kok, Belum Nongol di Situs Kominfo https://t.co/c5Jv7Ek8c5",id,0,0,2,0,"google ngakunya sudah daftar pse, kok, belum nongol di situs kominfo HTTPURL",neutral,0.7299410700798035
1.552674202762678e+18,79704637,1.552674202762678e+18,2022-07-28 15:15:51,"Permenkominfo Nomor 5 tahun 2020 tentang PSE Lingkup Privat. Ntar yang jomblo di chat wa ama kominfo : ""ciee gak ada yang wa nih""",id,0,0,0,0,"permenkominfo nomor 5 tahun 2020 tentang pse lingkup privat. ntar yang jomblo di chat wa ama kominfo : ""ciee gak ada yang wa nih""",negative,0.8524411916732788
1.552673237364277e+18,2502835254,1.552673237364277e+18,2022-07-28 15:12:01,"Kominfo memberikan kelonggaran waktu bagi aplikasi yang belum mendaftar, terhitung lima hari kerja sejak Kamis (21/7).
@PlateJohnny
@kemkominfo
https://t.co/Xz4NYhMjVq",id,0,0,0,0,"kominfo memberikan kelonggaran waktu bagi aplikasi yang belum mendaftar, terhitung lima hari kerja sejak kamis (21/7). @USER @USER HTTPURL",neutral,0.9950306415557861
1.552673020673933e+18,2502835254,1.552673020673933e+18,2022-07-28 15:11:10,"Country Manager Alibaba Cloud Indonesia Leon Chen menganggap bahwa regulasi pendaftaran PSE lingkup privat dari Kementerian Kominfo harus ditaati
@PlateJohnny
@kemkominfo
https://t.co/SErGFSlUuM",id,0,0,0,0,country manager alibaba cloud indonesia leon chen menganggap bahwa regulasi pendaftaran pse lingkup privat dari kementerian kominfo harus ditaati @USER @USER HTTPURL,neutral,0.9848029613494873
1.552666456478798e+18,1229518084773277952,1.552666456478798e+18,2022-07-28 14:45:05,"Kominfo Disebut Bisa Intip Percakapan Whatsapp-Gmail Lewat Aturan PSE
https://t.co/hKv7M93jhf",id,13,0,14,1,kominfo disebut bisa intip percakapan whatsapp-gmail lewat aturan pse HTTPURL,neutral,0.9970965385437012
1.552665765928612e+18,71693376,1.552660214502961e+18,2022-07-28 14:42:20,@Cloudflare pls daftar PSE Kominfo,id,0,1,0,0,@USER pls daftar pse kominfo,neutral,0.9958194494247437
1.552658595346784e+18,1421875409864445952,1.552658595346784e+18,2022-07-28 14:13:50,"Yang Di Target Pasti Lengket.
Tidak Ada Lagi Hak Privasi Yang Di Lindungi ..

Cara Kominfo Bisa Intip Pesan Whatsapp-Gmail Pakai Aturan PSE https://t.co/nxsGdWLpIk",id,0,0,0,0,yang di target pasti lengket. tidak ada lagi hak privasi yang di lindungi .. cara kominfo bisa intip pesan whatsapp-gmail pakai aturan pse HTTPURL,negative,0.6121605634689331
1.552658153833374e+18,1493955534185438976,1.552658153833374e+18,2022-07-28 14:12:05,"Alibaba adalah salah satu perusahaan asing yang belum mendaftar PSE lingkup privat. 
Country Manager Alibaba Cloud Indonesia Leon Chen menganggap bahwa regulasi pendaftaran PSE lingkup privat  @kemkominfo
@PlateJohnny
https://t.co/jay4RESuN7",id,0,0,0,0,alibaba adalah salah satu perusahaan asing yang belum mendaftar pse lingkup privat. country manager alibaba cloud indonesia leon chen menganggap bahwa regulasi pendaftaran pse lingkup privat @USER @USER HTTPURL,neutral,0.9807350039482117
1.552657626521293e+18,17128975,1.552657626521293e+18,2022-07-28 14:09:59,Cara Kominfo Bisa Intip Pesan Whatsapp-Gmail Pakai Aturan PSE https://t.co/GjnFhGu8tu,id,9,0,9,4,cara kominfo bisa intip pesan whatsapp-gmail pakai aturan pse HTTPURL,neutral,0.9974266886711121
1.552656451721896e+18,1493955534185438976,1.552656451721896e+18,2022-07-28 14:05:19,"Platform teknologi yang tidak mendaftar Penyelenggara Sistem Elektronik (PSE) Lingkup Privat Kominfo mungkin mengalami kerugian mulai dari denda hingga pemblokiran yang menyebabkan mereka tidak dapat beroperasi di Indonesia.
@kemkominfo
@PlateJohnny
https://t.co/TQGnLVPGhN",id,0,0,1,0,platform teknologi yang tidak mendaftar penyelenggara sistem elektronik (pse) lingkup privat kominfo mungkin mengalami kerugian mulai dari denda hingga pemblokiran yang menyebabkan mereka tidak dapat beroperasi di indonesia. @USER @USER HTTPURL,negative,0.7332304120063782
1.552656197043401e+18,23343960,1.552656197043401e+18,2022-07-28 14:04:18,"Komenkominfo sejatinya sudah menutup pendaftaran PSE pada 20 Juli lalu. Namun, diberikan tambahan waktu lima hari mulai tanggal 21-27 Juli pukul 23.59 WIB. / #Tekno #PSE #PSELingkupPrivat #Kominfo #Platformdigital #JernihkanHarapan 

Baca di https://t.co/nFy0yVErdr https://t.co/TZFDmlANdC",id,3,0,6,0,"komenkominfo sejatinya sudah menutup pendaftaran pse pada 20 juli lalu. namun, diberikan tambahan waktu lima hari mulai tanggal 21-27 juli pukul 23.59 wib. / #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG baca di HTTPURL HTTPURL",neutral,0.9869885444641113
1.552646354719089e+18,135815019,1.552646354719089e+18,2022-07-28 13:25:12,Aturan PSE Lingkup Privat mendadak jadi bola panas beberapa pekan terakhir. Ancaman pemblokiran Google Cs menghantui apabila tidak daftar ke Kominfo. https://t.co/QWWhBsnuoe,id,1,0,3,0,aturan pse lingkup privat mendadak jadi bola panas beberapa pekan terakhir. ancaman pemblokiran google cs menghantui apabila tidak daftar ke kominfo. HTTPURL,neutral,0.6309911608695984
1.55263925819589e+18,118646322,1.55263925819589e+18,2022-07-28 12:57:00,"Siap- Siap 13 PSE Ini akan Diberikan Teguran Oleh Kominfo
https://t.co/e9wNyGuJzb",id,0,0,3,0,siap- siap 13 pse ini akan diberikan teguran oleh kominfo HTTPURL,negative,0.5554298162460327
1.552636273491603e+18,150530605,1.552636273491603e+18,2022-07-28 12:45:08,Ni Softwarenya udh terdaftar di PSE Kominfo pa blm? https://t.co/rasvWtFvVr,id,0,0,0,0,ni softwarenya udh terdaftar di pse kominfo pa blm? HTTPURL,neutral,0.9910137057304382
1.552634113177244e+18,1403787121530327040,1.552634113177244e+18,2022-07-28 12:36:33,"""Dengan Permenkominfo PSE ini, pemerintah bisa meminta dan melihat informasi yang dibutuhkan untuk keperluan penyelidikan, meskipun data tersebut dienkripsi,"" ujar pakar keamanan siber dari CISSReC, Pratama Persadha.
https://t.co/TlVW5udgpy",id,0,0,0,0,"""dengan permenkominfo pse ini, pemerintah bisa meminta dan melihat informasi yang dibutuhkan untuk keperluan penyelidikan, meskipun data tersebut dienkripsi,"" ujar pakar keamanan siber dari cissrec, pratama persadha. HTTPURL",neutral,0.9684217572212219
1.552632845062902e+18,1309595463650217984,1.552632845062902e+18,2022-07-28 12:31:31,"Jelaskan Aturan PSE Terkait Konten Layanan, Kominfo Juga Berhak Beri Sanksi Blokir
https://t.co/7xDxFUbo0o",id,0,0,0,0,"jelaskan aturan pse terkait konten layanan, kominfo juga berhak beri sanksi blokir HTTPURL",neutral,0.9963337182998657
1.552632463767339e+18,17128975,1.552632463767339e+18,2022-07-28 12:30:00,"""Dengan Permenkominfo PSE ini, pemerintah bisa meminta dan melihat informasi yang dibutuhkan untuk keperluan penyelidikan, meskipun data tersebut dienkripsi,"" ujar pakar keamanan siber dari CISSReC, Pratama Persadha. #CNNIndonesia 
https://t.co/xvPFex4XoX",id,3,0,4,1,"""dengan permenkominfo pse ini, pemerintah bisa meminta dan melihat informasi yang dibutuhkan untuk keperluan penyelidikan, meskipun data tersebut dienkripsi,"" ujar pakar keamanan siber dari cissrec, pratama persadha. #HASHTAG HTTPURL",neutral,0.9760693907737732
1.552630703669785e+18,1408092460903849984,1.552630703669785e+18,2022-07-28 12:23:00,Makin lama makin gak ada privasi. https://t.co/IVaBHvY64I,id,0,0,0,0,makin lama makin gak ada privasi. HTTPURL,negative,0.9966590404510498
1.552628625475772e+18,1026390220562808960,1.552628625475772e+18,2022-07-28 12:14:45,"Hati-hati, Kominfo Bisa Akses Isi Percakapan WhatsApp Melalui PSE https://t.co/SsdOhSQFDD",id,0,0,0,0,"hati-hati, kominfo bisa akses isi percakapan whatsapp melalui pse HTTPURL",neutral,0.9971771240234375
1.552624919871046e+18,34149837,1.552624919871046e+18,2022-07-28 12:00:01,"Kominfo Bisa Lihat Pesan WhastApp dan Gmail Pengguna karena Aturan PSE?
 
#PramborsNews 
https://t.co/ZpwYXec990",id,0,1,3,0,kominfo bisa lihat pesan whastapp dan gmail pengguna karena aturan pse? #HASHTAG HTTPURL,neutral,0.9973083734512329
1.552622942223466e+18,2620250970,1.552622942223466e+18,2022-07-28 11:52:10,"Bisa yah? Urusan dgn pemerintah jd gurem? Kalau kelas KAKAP aja gurem dipastikan yg rakyat biasa susahnya gak kira2 🤦🤦 @kemkominfo @jokowi 
https://t.co/p5KOpDoqGb",id,0,0,0,0,bisa yah? urusan dgn pemerintah jd gurem? kalau kelas kakap aja gurem dipastikan yg rakyat biasa susahnya gak kira2 :person_facepalming::person_facepalming: @USER @USER HTTPURL,negative,0.9082244634628296
1.552620634827436e+18,23343960,1.552620634827436e+18,2022-07-28 11:43:00,"Google adalah salah satu platform besar mendaftarkan diri setelah batas waktu berakhir. * #Tekno
https://t.co/lsZRpyZV0I",id,0,0,0,0,google adalah salah satu platform besar mendaftarkan diri setelah batas waktu berakhir. * #HASHTAG HTTPURL,neutral,0.991685152053833
1.552613873316172e+18,2794507573,1.552613866005471e+18,2022-07-28 11:16:08,"Permintaan membuka informasi di WhatsApp atau Gmail baru bisa dilakukan apabila ada sebuah perkara hukum.

https://t.co/5qgOe7qvwh

#Kominfo #WhatsApp #Gmail",id,1,0,0,0,permintaan membuka informasi di whatsapp atau gmail baru bisa dilakukan apabila ada sebuah perkara hukum. HTTPURL #HASHTAG #HASHTAG #HASHTAG,neutral,0.9879004955291748
1.552613006366081e+18,69595629,1.552601068865221e+18,2022-07-28 11:12:41,@ari_ap @fffosil Itu SE PSE Kominfo bisa dibelokin jadi eljibiti ngga? 🤔,id,0,1,19,1,@USER @USER itu se pse kominfo bisa dibelokin jadi eljibiti ngga? :thinking_face:,neutral,0.5386331677436829
1.552610928365126e+18,2890964370,1.552610928365126e+18,2022-07-28 11:04:26,"Through PSE Rules, Kominfo Can Peek into Whatsapp and Gmail Conversations https://t.co/KoEYLI0s8I https://t.co/sPG4pL5J1E",en,0,0,0,0,"through pse rules, kominfo can peek into whatsapp and gmail conversations HTTPURL HTTPURL",neutral,0.9325926303863525
1.552609815020585e+18,17128975,1.552609815020585e+18,2022-07-28 11:00:00,"#DetikNetwork
Pakar siber mengungkapkan dengan aturan PSE Lingkup Privat, memungkinkan Kementerian Kominfo mengintip isi percakapan WhatsApp kalian. Kenapa dan kok bisa?
https://t.co/YGtMDIJqvg",id,1,1,4,1,"#HASHTAG pakar siber mengungkapkan dengan aturan pse lingkup privat, memungkinkan kementerian kominfo mengintip isi percakapan whatsapp kalian. kenapa dan kok bisa? HTTPURL",neutral,0.9643957018852234
