id,lang,text,created_at,author_id,conversation_id,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.552313125588074e+18,id,"Sudah lebih dari 500 pendukung petisi ini.

Namun belum ada waktunya menyerah, bantu kami untuk teken petisi ini &amp; Sebarkan dan Viralkan!

https://t.co/kDCcKWW2Po

#BlokirKominfo #ProtesNetizen 
#PSEmelanggarHAM #PSEBerbauKomunis https://t.co/zByv2UKKTS",2022-07-27 15:21:04,706776804,1.552313125588074e+18,1,0,2,0,"sudah lebih dari 500 pendukung petisi ini. namun belum ada waktunya menyerah, bantu kami untuk teken petisi ini & sebarkan dan viralkan! HTTPURL #HASHTAG #HASHTAG #HASHTAG #HASHTAG HTTPURL",neutral,0.49325236678123474
1.552271244917371e+18,id,"Menguntit Obrolan lain adalah mengganggu privasi orang lain.

#BlokirKominfo #ProtesNetizen 
#PSEmelanggarHAM #PSEBerbauKomunis",2022-07-27 12:34:39,706776804,1.552271244917371e+18,1,0,1,0,menguntit obrolan lain adalah mengganggu privasi orang lain. #HASHTAG #HASHTAG #HASHTAG #HASHTAG,negative,0.8469588160514832
1.552270261789299e+18,id,"Kami tidak suka menguntit, tolong hargailah Privasi orang lain.

#BlokirKominfo #ProtesNetizen 
#PSEmelanggarHAM #PSEBerbauKomunis",2022-07-27 12:30:44,706776804,1.552270261789299e+18,1,0,1,0,"kami tidak suka menguntit, tolong hargailah privasi orang lain. #HASHTAG #HASHTAG #HASHTAG #HASHTAG",neutral,0.8140283823013306
1.552269504121811e+18,id,"Ini Kempatan Terakhir anda untuk teken Petisinya, sebelum Kominfo Bikin Ulah Lagi!

https://t.co/CqfjMTk2Ab
https://t.co/kDCcKWW2Po

#BlokirKominfo #ProtesNetizen 
#PSEmelanggarHAM #PSEBerbauKomunis",2022-07-27 12:27:44,706776804,1.552269504121811e+18,2,0,1,0,"ini kempatan terakhir anda untuk teken petisinya, sebelum kominfo bikin ulah lagi! HTTPURL HTTPURL #HASHTAG #HASHTAG #HASHTAG #HASHTAG",negative,0.8368080258369446
1.552241474686726e+18,id,@txtfrombrand Yang masalah bukan aku ada salah jadi perlu privasi. Tapi analoginya emang ada yang sudi kalo lagi berhubungan sama pasangan diliatin orang? #BlokirKominfo,2022-07-27 10:36:21,1477311044515089920,1.552153539069514e+18,0,0,1,0,@USER yang masalah bukan aku ada salah jadi perlu privasi. tapi analoginya emang ada yang sudi kalo lagi berhubungan sama pasangan diliatin orang? #HASHTAG,negative,0.9038015604019165
1.55223905130632e+18,id,"Presiden @jokowi  , mending apus aja akun @YouTube  anda.. Soal youtube mau diblokir sama @kemenkominfo 
#blokirkominfo",2022-07-27 10:26:43,1228565293187748096,1.55223905130632e+18,0,0,1,0,"presiden @USER , mending apus aja akun @USER anda.. soal youtube mau diblokir sama @USER #HASHTAG",negative,0.9650225639343262
1.552226709524877e+18,id,"Siap2 besok kiamat digital guys kalo jadi. Stay tuned for Y2K Indonesian version, tomorrow! #BlokirKominfo",2022-07-27 09:37:41,103519903,1.552226709524877e+18,2,0,2,0,"siap2 besok kiamat digital guys kalo jadi. stay tuned for y2k indonesian version, tomorrow! #HASHTAG",neutral,0.9388085007667542
1.552224241453388e+18,id,hukum internet dan privasi di negeri ini memang lucu katanya ada keadilan sosial bagi seluruh rakyat Indonesia tapi kok kalau dilihat-lihat kagak ada tuh yang namanya keadilan sosial  #BlokirKominfo https://t.co/4QpfqkHCk8,2022-07-27 09:27:52,1414375433638859008,1.552224241453388e+18,1,1,1,0,hukum internet dan privasi di negeri ini memang lucu katanya ada keadilan sosial bagi seluruh rakyat indonesia tapi kok kalau dilihat-lihat kagak ada tuh yang namanya keadilan sosial #HASHTAG HTTPURL,negative,0.9872204065322876
1.552214171110228e+18,id,"Di diskusi #BlokirKominfo 7 hari lalu, wakil dari Kominfo ngomong akan mendengarkan masukan dari publik, apa benar?

Sayangnya itu cuma omong kosong. Sejak tahun lalu, @safenetvoice &amp; koalisi berulang kali kirim surat ke @kemkominfo, tak satupun direspons. https://t.co/b4oc9vniSK",2022-07-27 08:47:51,222864124,1.552214161111007e+18,101,1,248,2,"di diskusi #HASHTAG 7 hari lalu, wakil dari kominfo ngomong akan mendengarkan masukan dari publik, apa benar? sayangnya itu cuma omong kosong. sejak tahun lalu, @USER & koalisi berulang kali kirim surat ke @USER tak satupun direspons. HTTPURL",negative,0.9738352298736572
1.552214161111007e+18,id,"Semingguan ini kita udah melihat situs PSE @kemkominfo yg menjadi bagian dari proyek 963 miliar dikuliti oleh netizen. Mulai dari fungsi hingga keamanan yg buruk.

Itu cuma 1 masalah. Masih banyak lagi masalah di tubuh @kemkominfo &amp; aturan yg mereka buat. Apa aja? #BlokirKominfo https://t.co/JDGSVYwHzY",2022-07-27 08:47:49,222864124,1.552214161111007e+18,2295,68,5817,58,semingguan ini kita udah melihat situs pse @USER yg menjadi bagian dari proyek 963 miliar dikuliti oleh netizen. mulai dari fungsi hingga keamanan yg buruk. itu cuma 1 masalah. masih banyak lagi masalah di tubuh @USER & aturan yg mereka buat. apa aja? #HASHTAG HTTPURL,negative,0.9925146698951721
