id,author_id,lang,created_at,text,conversation_id,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.553784914205901e+18,164119191,id,2022-07-31 16:49:26,"DUH JANGAN #SANGE_AAAAAAAAAAH DOSA mending Besok Senin #BlokirKominfo Kominfo  #BogorBanjirKeju RSUD Henry Asnawi Diblokir Siswa Filipina The Adams #2022YOUNGJAE_MINICON_SG Ruhut #BlokirKominfo Ilyy Tretan Muslim Dustin 'WHY'

https://t.co/QBMbMGYQ25",1.553784914205901e+18,0,0,0,0,duh jangan #HASHTAG dosa mending besok senin #HASHTAG kominfo #HASHTAG rsud henry asnawi diblokir siswa filipina the adams #HASHTAG ruhut #HASHTAG ilyy tretan muslim dustin 'why' HTTPURL,negative,0.9698888063430786
1.553782710531162e+18,1496850618937658880,id,2022-07-31 16:40:40,"@MstrYoda @kemkominfo Blok gobl*k kominfo kayak gak ada kerjaan aja, jelas2 GOOGLE DRIVE ITU PENTING BLOK BLOK GOBLOK",1.553171498763882e+18,0,0,0,0,"@USER @USER blok gobl*k kominfo kayak gak ada kerjaan aja, jelas2 google drive itu penting blok blok goblok",negative,0.9972516894340515
1.55377779807803e+18,499556757,id,2022-07-31 16:21:09,Itu maksudnya gmail sama google drive di blokir kominfo jadinya kita gak bisa make lagi gitu? Apaa gimanaa🥴 soalnya foto foto sama email disituu semuaaa euyy,1.55377779807803e+18,0,1,0,0,itu maksudnya gmail sama google drive di blokir kominfo jadinya kita gak bisa make lagi gitu? apaa gimanaa:woozy_face: soalnya foto foto sama email disituu semuaaa euyy,negative,0.9614377617835999
1.553777117867168e+18,1230440595132314112,id,2022-07-31 16:18:27,"Kominfo pls block slack, jira dan google workspace aja 😩",1.553777117867168e+18,0,0,0,0,"kominfo pls block slack, jira dan google workspace aja :weary_face:",neutral,0.9940709471702576
1.553775886268535e+18,17523128,id,2022-07-31 16:13:33,"trik-trik di googlesheet.

aman, google sudah ndaftar manual di pse kominfo. googlesheet kabarnya pakai map ijo lurik.

https://t.co/UyVQc96vOS",1.553775886268535e+18,3,0,5,0,"trik-trik di googlesheet. aman, google sudah ndaftar manual di pse kominfo. googlesheet kabarnya pakai map ijo lurik. HTTPURL",neutral,0.9961800575256348
1.553774879350002e+18,1256432906,id,2022-07-31 16:09:33,@Wltnza @teamsecret aku udah baca beberapa poinnya bang. kalau dipikir2 si perusahaan google dkk daftar ditunda sampai mepet akhir berarti ada permasalahan dari isi pse nya dan secara pribadi gak yakin sama pengelolaan data oleh kominfo. bisa dilihat bang pada kena teror itu dan kasus hack lainnya,1.553110447636845e+18,0,1,0,0,@USER @USER aku udah baca beberapa poinnya bang. kalau dipikir2 si perusahaan google dkk daftar ditunda sampai mepet akhir berarti ada permasalahan dari isi pse nya dan secara pribadi gak yakin sama pengelolaan data oleh kominfo. bisa dilihat bang pada kena teror itu dan kasus hack lainnya,negative,0.993398904800415
1.553770465197531e+18,135815019,id,2022-07-31 15:52:01,"#Terpopuler Dengan diblokirnya Steam, Epic Games, Yahoo, sampai PayPal memunculkan pertanyaan, kenapa Google dan YouTube tidak diputus aksesnya oleh Kominfo? https://t.co/gAfkGBz6qB",1.553770465197531e+18,0,0,1,2,"#HASHTAG dengan diblokirnya steam, epic games, yahoo, sampai paypal memunculkan pertanyaan, kenapa google dan youtube tidak diputus aksesnya oleh kominfo? HTTPURL",neutral,0.6333693265914917
1.553767726170395e+18,164119191,id,2022-07-31 15:41:08,"Besok Senin tapi jangan lupa #BlokirKominfo #BlokirJudiOnline  Diblokir Steam PayPal Dota Dustin Tretan Muslim Ruhut Agustus Siswa Asnawi Filipina Ilyy Henry #BogorBanjirKeju RSUD The Adams 

LAWAN PAKAI CARA INI

https://t.co/hkZa6hKkrJ",1.553767726170395e+18,1,0,0,0,besok senin tapi jangan lupa #HASHTAG #HASHTAG diblokir steam paypal dota dustin tretan muslim ruhut agustus siswa asnawi filipina ilyy henry #HASHTAG rsud the adams lawan pakai cara ini HTTPURL,neutral,0.7591549754142761
1.553765030415733e+18,1524983121992551936,zxx,2022-07-31 15:30:25,https://t.co/Q75VLZePXU,1.553765030415733e+18,0,0,0,0,HTTPURL,neutral,0.41922974586486816
1.553761031259693e+18,1451879906149690880,id,2022-07-31 15:14:31,"Dear @Google can you help us to block on of our goverment website @/kominfo ?
Terlalu meresahkan dan mengganggu sekali. https://t.co/ogve0mOnwM",1.553761031259693e+18,0,0,0,0,dear @USER can you help us to block on of our goverment website @USER ? terlalu meresahkan dan mengganggu sekali. HTTPURL,negative,0.991706132888794
