id,conversation_id,lang,created_at,author_id,text,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.551966984375607e+18,1.551966984375607e+18,id,2022-07-26 16:25:37,135815019,"#Terpopuler Kominfo beri ultimatum 100 platform trafik tertinggi di Indonesia yang belum mendaftar Penyelenggara Sistem Elektornik (PSE) Lingkup Privat, jika tidak diblokir https://t.co/7TOhVk2CQs",1,0,1,3,"#HASHTAG kominfo beri ultimatum 100 platform trafik tertinggi di indonesia yang belum mendaftar penyelenggara sistem elektornik (pse) lingkup privat, jika tidak diblokir HTTPURL",neutral,0.9947847723960876
1.551933234052846e+18,1.551933234052846e+18,zxx,2022-07-26 14:11:31,980097559736721408,https://t.co/ukoMSgrY1A,1,0,1,0,HTTPURL,neutral,0.41922974586486816
1.551933034198626e+18,1.551933034198626e+18,id,2022-07-26 14:10:43,1333796729171243008,kominfo daripada ngeblokir sosmed mending blokir lagu glimpse of us,0,1,1,0,kominfo daripada ngeblokir sosmed mending blokir lagu glimpse of us,negative,0.6729783415794373
1.551924222079173e+18,1.551918928120533e+18,id,2022-07-26 13:35:42,1078998753900605056,@intisariblewah Seingetku abis kasus itu rame tb2 ada pemberitahuan kominfo mau blokir sosmed🤣🤣,0,0,0,0,@USER seingetku abis kasus itu rame tb2 ada pemberitahuan kominfo mau blokir sosmed:rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,neutral,0.9179547429084778
1.551904503494226e+18,1.551893695641035e+18,lt,2022-07-26 12:17:21,1009499709822550016,@SupresorAWM Di blokir karo kominfo,0,0,0,0,@USER di blokir karo kominfo,negative,0.9562804698944092
1.551882553879314e+18,1.551789332888961e+18,id,2022-07-26 10:50:08,1080657285842518016,"@detikcom https://t.co/Vgrxp4amvu
Web amatiran... ancem2 blokir segala",0,0,0,0,@USER HTTPURL web amatiran... ancem2 blokir segala,negative,0.9970943927764893
1.551828539384553e+18,1.551828539384553e+18,id,2022-07-26 07:15:30,1277903913446896128,"Untuk melakukan blokir
dan takedown

@kemkominfo basmi judi slot
dgn Surveillance System

@PlateJohnny 

https://t.co/UFk6doRBcd https://t.co/B2L2oOhESB",0,0,0,0,untuk melakukan blokir dan takedown @USER basmi judi slot dgn surveillance system @USER HTTPURL HTTPURL,neutral,0.9650400876998901
1.551828211700466e+18,1.551828211700466e+18,id,2022-07-26 07:14:11,749916902437236736,"Kominfo Blokir Dota, Yahoo, Steam Jika Tak Daftar PSE https://t.co/9WAikPV78p",0,0,1,0,"kominfo blokir dota, yahoo, steam jika tak daftar pse HTTPURL",neutral,0.993118405342102
1.551805592976511e+18,1.551803647981683e+18,id,2022-07-26 05:44:19,1161886533051224064,@donopradana Di blokir kominfo cak xixiiii,0,0,0,0,@USER di blokir kominfo cak xixiiii,negative,0.9727472066879272
1.551770127800336e+18,1.551770127800336e+18,id,2022-07-26 03:23:23,3285702001,blokir kominfo apa kabar ya takut tiba2 ilang smua,0,0,0,0,blokir kominfo apa kabar ya takut tiba2 ilang smua,negative,0.9944732785224915
1.551744877519831e+18,1.551443308710605e+18,id,2022-07-26 01:43:03,1550349799941358080,@kannatamachi Warga +62 saat melihat berita Kominfo mau Blokir be like : https://t.co/vkn4Ybxipg,1,0,2,0,@USER warga +62 saat melihat berita kominfo mau blokir be like : HTTPURL,neutral,0.9814634323120117
1.551723593662206e+18,1.551491235655066e+18,id,2022-07-26 00:18:29,1276879545723875072,@kiluaz91 Tinggal tunggu di blokir sma kominfo🤗🙃,0,0,0,0,@USER tinggal tunggu di blokir sma kominfo:smiling_face_with_open_hands::upside-down_face:,neutral,0.9281917214393616
1.551700737801028e+18,1.551700737801028e+18,id,2022-07-25 22:47:39,1442122733886664960,"2 Hari Lagi, LinkedIn dan Alibaba Terancam Blokir Kominfo karena PSE https://t.co/hGHvhsN5Hm",0,0,0,0,"2 hari lagi, linkedin dan alibaba terancam blokir kominfo karena pse HTTPURL",neutral,0.9927302002906799
