id,lang,text,author_id,conversation_id,created_at,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.551975185229967e+18,id,@zkdvimos khusus staf kominfo hima lek iku,1.414126847424532e+18,1.551941949577253e+18,2022-07-26 16:58:13,0,0,0,0,@USER khusus staf kominfo hima lek iku,neutral,0.9975413084030151
1.551974906094445e+18,id,"Tanggapi Dugaan Korupsi Dana Belanja di Kominfo, LP3S Sarankan Bupati Ajak Wartawan Biro Minut Untuk Cari Solusi Bersama https://t.co/KvbLdHTF8z https://t.co/VqG991Su1c",8.796321163041669e+17,1.551974906094445e+18,2022-07-26 16:57:06,0,0,0,0,"tanggapi dugaan korupsi dana belanja di kominfo, lp3s sarankan bupati ajak wartawan biro minut untuk cari solusi bersama HTTPURL HTTPURL",neutral,0.9935474991798401
1.551974778541867e+18,id,"Sahabat #JalanCantik

Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Cilacap

#JatengGayeng @ganjarpranowo @TajYasinMZ @provjateng @dpubmckjateng @Bptj_cilacap
@humasjateng @kominfo_jtg @dprdjatengprov https://t.co/wLksJhcHYC",8.950948756909015e+17,1.551974778541867e+18,2022-07-26 16:56:36,0,0,1,0,sahabat #HASHTAG pemeliharaan rutin jalan dan jembatan bpj wilayah cilacap #HASHTAG @USER @USER @USER @USER @USER @USER @USER @USER HTTPURL,neutral,0.9860849380493164
1.551974186532278e+18,id,"Sahabat #JalanCantik

Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Cilacap

#JatengGayeng @ganjarpranowo @TajYasinMZ @provjateng @dpubmckjateng @Bptj_cilacap
@humasjateng @kominfo_jtg @dprdjatengprov https://t.co/YAx8mRSdrg",8.950948756909015e+17,1.551974186532278e+18,2022-07-26 16:54:15,0,0,0,0,sahabat #HASHTAG pemeliharaan rutin jalan dan jembatan bpj wilayah cilacap #HASHTAG @USER @USER @USER @USER @USER @USER @USER @USER HTTPURL,neutral,0.9860849380493164
1.551973459290382e+18,id,"Sahabat #JalanCantik

Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Cilacap

#JatengGayeng @ganjarpranowo @TajYasinMZ @provjateng @dpubmckjateng @Bptj_cilacap
@humasjateng @kominfo_jtg @dprdjatengprov https://t.co/eaF49VznjB",8.950948756909015e+17,1.551973459290382e+18,2022-07-26 16:51:21,0,0,1,0,sahabat #HASHTAG pemeliharaan rutin jalan dan jembatan bpj wilayah cilacap #HASHTAG @USER @USER @USER @USER @USER @USER @USER @USER HTTPURL,neutral,0.9860849380493164
1.551972943139578e+18,id,"Sahabat #JalanCantik

Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Cilacap

#JatengGayeng @ganjarpranowo @TajYasinMZ @provjateng @dpubmckjateng @Bptj_cilacap
@humasjateng @kominfo_jtg @dprdjatengprov https://t.co/5iMPy2SaJI",8.950948756909015e+17,1.551972943139578e+18,2022-07-26 16:49:18,0,0,1,0,sahabat #HASHTAG pemeliharaan rutin jalan dan jembatan bpj wilayah cilacap #HASHTAG @USER @USER @USER @USER @USER @USER @USER @USER HTTPURL,neutral,0.9860849380493164
1.551972274898862e+18,id,"Sahabat #JalanCantik

Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Cilacap

#JatengGayeng @ganjarpranowo @TajYasinMZ @provjateng @dpubmckjateng @Bptj_cilacap
@humasjateng @kominfo_jtg @dprdjatengprov https://t.co/10dU2JGz3H",8.950948756909015e+17,1.551972274898862e+18,2022-07-26 16:46:39,0,0,0,0,sahabat #HASHTAG pemeliharaan rutin jalan dan jembatan bpj wilayah cilacap #HASHTAG @USER @USER @USER @USER @USER @USER @USER @USER HTTPURL,neutral,0.9860849380493164
1.551969912989827e+18,id,"@hyang_wisnu @kemkominfo @PlateJohnny Mantul nih bestie, Kominfo tengah menyiapkan 50 ribu data scientist untk memenuhi kebutuhan industri Indonesia.
@PlateJohnny @kemkominfo",1.343825675682116e+18,1.551427009422959e+18,2022-07-26 16:37:16,0,0,0,0,"@USER @USER @USER mantul nih bestie, kominfo tengah menyiapkan 50 ribu data scientist untk memenuhi kebutuhan industri indonesia. @USER @USER",neutral,0.98046875
1.551968304289309e+18,id,"Dinas Kominfo Kabupaten Jayapura membangun 17 tower BTS non-3T (tertinggal, terdepan, dan terluar). BTS Belasan tersebut dibangun di kampung terjauh di Kabupaten Jayapura, Papua, pada pertengahan Agustus 2022.
@PlateJohnny @kemkominfo https://t.co/A9zdKMmU79",1.343825675682116e+18,1.551968304289309e+18,2022-07-26 16:30:52,0,0,0,0,"dinas kominfo kabupaten jayapura membangun 17 tower bts non-3t (tertinggal, terdepan, dan terluar). bts belasan tersebut dibangun di kampung terjauh di kabupaten jayapura, papua, pada pertengahan agustus 2022. @USER @USER HTTPURL",neutral,0.9875553250312805
1.551966984375607e+18,id,"#Terpopuler Kominfo beri ultimatum 100 platform trafik tertinggi di Indonesia yang belum mendaftar Penyelenggara Sistem Elektornik (PSE) Lingkup Privat, jika tidak diblokir https://t.co/7TOhVk2CQs",135815019.0,1.551966984375607e+18,2022-07-26 16:25:37,1,0,1,3,"#HASHTAG kominfo beri ultimatum 100 platform trafik tertinggi di indonesia yang belum mendaftar penyelenggara sistem elektornik (pse) lingkup privat, jika tidak diblokir HTTPURL",neutral,0.9947847723960876
1.551963428876853e+18,en,Optimize scraping by checking if data doesn't change https://t.co/hSMnqQpm8k #github #TypeScript #JavaScript #CSS #Shell,1.078992647933448e+18,1.551963428876853e+18,2022-07-26 16:11:30,1,0,1,0,optimize scraping by checking if data doesn't change HTTPURL #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG,neutral,0.9248793125152588
1.551963332835365e+18,id,"@NarasiNewsroom Internet ae belum rata di seluruh Indonesia dah nambah masalah ae tuh bayangkan nanti di roasting warga satu negara apakah akan kena mental nantinya kita saksikan bersama

Btw jangan lupa pake vpn setiap hari daripada dicolong data nya sama kominfo :D",1.397199689158742e+18,1.551057617354535e+18,2022-07-26 16:11:07,0,0,0,0,@USER internet ae belum rata di seluruh indonesia dah nambah masalah ae tuh bayangkan nanti di roasting warga satu negara apakah akan kena mental nantinya kita saksikan bersama btw jangan lupa pake vpn setiap hari daripada dicolong data nya sama kominfo :d,negative,0.938759446144104
1.551960548509909e+18,id,Anehnya masih ada saja masyarakat hingga politisi yang malah membela platform digital yang tak taat aturan tersebut. Per hari ini sudah hamper 5000 orang yang menandatangani petisi untuk menolak aturan Kominfo @kemkominfo @PlateJohnny https://t.co/L3GAwAJpjT,1.381618304184246e+18,1.551960548509909e+18,2022-07-26 16:00:03,0,0,1,0,anehnya masih ada saja masyarakat hingga politisi yang malah membela platform digital yang tak taat aturan tersebut. per hari ini sudah hamper 5000 orang yang menandatangani petisi untuk menolak aturan kominfo @USER @USER HTTPURL,negative,0.9869219064712524
1.551958830883344e+18,id,"Mobile Legends Adventure dan Bang Bang terlihat sudah mendapat penerbitan PSE pada 17 Juli 2022. Sementara itu, sudah ada 5.701 PSE domestik yang telah terdaftar oleh Kominfo @kemkominfo @PlateJohnny https://t.co/HP7LOLinc7",1.381618304184246e+18,1.551958830883344e+18,2022-07-26 15:53:13,0,0,0,0,"mobile legends adventure dan bang bang terlihat sudah mendapat penerbitan pse pada 17 juli 2022. sementara itu, sudah ada 5.701 pse domestik yang telah terdaftar oleh kominfo @USER @USER HTTPURL",neutral,0.9895976185798645
1.551958675358487e+18,id,Kominfo memiliki peraturan yang tertuang dalam Peraturan Menteri Komunikasi dan Informatika Nomor 5 Tahun 2020 tentang Penyelenggara Sistem Elektronik (PSE) Lingkup Privat @kemkominfo @PlateJohnny https://t.co/SrdqrCUV7m,1.381618304184246e+18,1.551958675358487e+18,2022-07-26 15:52:36,0,0,0,0,kominfo memiliki peraturan yang tertuang dalam peraturan menteri komunikasi dan informatika nomor 5 tahun 2020 tentang penyelenggara sistem elektronik (pse) lingkup privat @USER @USER HTTPURL,neutral,0.9928727149963379
1.551958270121693e+18,id,"Kementerian Komunikasi dan Informatika (Kominfo) telah merekapitulasi 100 Penyelenggara Sistem Elektronik (PSE) terbesar yang belum mendaftar sebagai PSE
@kemkominfo
@PlateJohnny 

https://t.co/jFuGgYjntI",14934218.0,1.551958270121693e+18,2022-07-26 15:51:00,0,0,0,0,kementerian komunikasi dan informatika (kominfo) telah merekapitulasi 100 penyelenggara sistem elektronik (pse) terbesar yang belum mendaftar sebagai pse @USER @USER HTTPURL,neutral,0.9961528182029724
1.551958113346916e+18,id,"Kementerian Komunikasi dan Informatika (Kominfo) telah merekapitulasi 100 Penyelenggara Sistem Elektronik (PSE) terbesar yang belum mendaftar sebagai PSE
@kemkominfo
@PlateJohnny 

https://t.co/aHTs6iBjiJ",585736635.0,1.551958113346916e+18,2022-07-26 15:50:22,0,0,0,0,kementerian komunikasi dan informatika (kominfo) telah merekapitulasi 100 penyelenggara sistem elektronik (pse) terbesar yang belum mendaftar sebagai pse @USER @USER HTTPURL,neutral,0.9961528182029724
1.551958004915876e+18,id,"Kementerian Komunikasi dan Informatika (Kominfo) telah merekapitulasi 100 Penyelenggara Sistem Elektronik (PSE) terbesar yang belum mendaftar sebagai PSE
@kemkominfo
@PlateJohnny 

https://t.co/isJOWUowXP",1461159312.0,1.551958004915876e+18,2022-07-26 15:49:57,0,0,0,0,kementerian komunikasi dan informatika (kominfo) telah merekapitulasi 100 penyelenggara sistem elektronik (pse) terbesar yang belum mendaftar sebagai pse @USER @USER HTTPURL,neutral,0.9961528182029724
1.551957978538209e+18,id,"Kominfo berharap operasi komersil satelit  September 2023

@PlateJohnny
@kemkominfo https://t.co/WnZqJQrdFV",2352745627.0,1.551957978538209e+18,2022-07-26 15:49:50,0,0,0,0,kominfo berharap operasi komersil satelit september 2023 @USER @USER HTTPURL,neutral,0.9942553639411926
1.551957902206058e+18,id,"Kementerian Komunikasi dan Informatika (Kominfo) telah merekapitulasi 100 Penyelenggara Sistem Elektronik (PSE) terbesar yang belum mendaftar sebagai PSE
@kemkominfo
@PlateJohnny 

https://t.co/oh54swv3OJ",7.191218143042028e+17,1.551957902206058e+18,2022-07-26 15:49:32,0,0,0,0,kementerian komunikasi dan informatika (kominfo) telah merekapitulasi 100 penyelenggara sistem elektronik (pse) terbesar yang belum mendaftar sebagai pse @USER @USER HTTPURL,neutral,0.9961528182029724
1.551957814964146e+18,id,Kadis Kominfo Muba Audensi Dengan GM Telekomunikasi Tbk Wilayah Sumsel https://t.co/zr5lJt7LcJ https://t.co/uDzvuhMZDb,7.321133566439588e+17,1.551957814964146e+18,2022-07-26 15:49:11,0,0,0,0,kadis kominfo muba audensi dengan gm telekomunikasi tbk wilayah sumsel HTTPURL HTTPURL,neutral,0.997956395149231
