id,lang,created_at,author_id,text,conversation_id,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.552697100403544e+18,id,2022-07-28 16:46:51,1935640674,"[#BlokirKominfo dan Problematika Permenkominfo No 5 tahun 2020]

Selamat pagi/siang/malam waktu Indonesia bagian Pergerakan

Belakangan ini, masyarakat internet Indonesia digemparkan oleh ultimatum pemblokiran sosial media yang dikeluarkan oleh Kemenkominfo. https://t.co/bKnE4Ioike",1.552697100403544e+18,2,1,5,0,"[#HASHTAG dan problematika permenkominfo no 5 tahun 2020] selamat pagi/siang/malam waktu indonesia bagian pergerakan belakangan ini, masyarakat internet indonesia digemparkan oleh ultimatum pemblokiran sosial media yang dikeluarkan oleh kemenkominfo. HTTPURL",neutral,0.9260386228561401
1.552692361280442e+18,qht,2022-07-28 16:28:01,1269927067455386112,#BlokirKominfo https://t.co/aRTAh6ipJF,1.552692361280442e+18,1,0,3,0,#HASHTAG HTTPURL,neutral,0.9602899551391602
1.552692290732245e+18,id,2022-07-28 16:27:44,1269927067455386112,"Meresahkan,  Lama lama rakyat di kontrol satu satu. Dan dikuasai kaum elite #BlokirKominfo https://t.co/h9sdDwJ287",1.552692290732245e+18,1,0,3,0,"meresahkan, lama lama rakyat di kontrol satu satu. dan dikuasai kaum elite #HASHTAG HTTPURL",negative,0.9959931373596191
1.552530454175425e+18,en,2022-07-28 05:44:39,297321870,"Kominfo, the modern day Big Brother of 1984. #BlokirKominfo https://t.co/3b7BHfJR0a",1.552530454175425e+18,46,12,247,1,"kominfo, the modern day big brother of 1984. #HASHTAG HTTPURL",neutral,0.8004351258277893
1.552527442551935e+18,id,2022-07-28 05:32:41,1200914690034979072,"@detikcom muslimin nanti masuk neraka antrinya di depan dajjal 

#BlokirKominfo",1.552432299698016e+18,1,0,2,0,@USER muslimin nanti masuk neraka antrinya di depan dajjal #HASHTAG,negative,0.991790771484375
1.552526164849471e+18,id,2022-07-28 05:27:36,1200914690034979072,"@Formerlin1 @erahmat_id kena pse 
nanti diblokir ngab 

#blokirkominfo",1.552481488007877e+18,1,0,1,0,@USER @USER kena pse nanti diblokir ngab #HASHTAG,negative,0.7855758666992188
1.552512439165796e+18,en,2022-07-28 04:33:04,717491682548187136,"@NightRogue9 But if kominfo try to escape from protest and demonstration. They can't escape from protest. Cause all people Now are not happy and mad. 

#BlokirKominfo #Netizen #Netizenprotest #Protestnetizen",1.551891822833676e+18,1,1,2,0,@USER but if kominfo try to escape from protest and demonstration. they can't escape from protest. cause all people now are not happy and mad. #HASHTAG #HASHTAG #HASHTAG #HASHTAG,negative,0.9698435068130493
1.552495089464648e+18,id,2022-07-28 03:24:07,706776804,@rdh_hkr Bisa dilihat Di Tagar #BlokirKominfo di bagian foto.,1.552457677187727e+18,1,0,2,0,@USER bisa dilihat di tagar #HASHTAG di bagian foto.,neutral,0.9974051117897034
1.552473918858007e+18,id,2022-07-28 02:00:00,706776804,"Jangan ada pemblokiran di antara kita, dapat merugikan hak kebebasan ekspresi kita.

#BlokirKominfo #ProtesNetizen 
#PSEmelanggarHAM #PSEBerbauKomunis",1.552473918858007e+18,3,0,2,0,"jangan ada pemblokiran di antara kita, dapat merugikan hak kebebasan ekspresi kita. #HASHTAG #HASHTAG #HASHTAG #HASHTAG",negative,0.8382359743118286
1.552470365557129e+18,id,2022-07-28 01:45:53,706776804,"@rdh_hkr Terima kasih sudah mendukung gerakan ini, jangan lupa set Foto Profil anda menjadi #BlokirKominfo !",1.552457677187727e+18,1,1,1,0,"@USER terima kasih sudah mendukung gerakan ini, jangan lupa set foto profil anda menjadi #HASHTAG !",neutral,0.9945147037506104
1.552457677187727e+18,id,2022-07-28 00:55:28,1477311044515089920,"Udah tanggal 28 nih, belum ada blokir. Tapi apa kita harus udah lega? Kayaknya nggak dah #BlokirKominfo",1.552457677187727e+18,1,1,2,0,"udah tanggal 28 nih, belum ada blokir. tapi apa kita harus udah lega? kayaknya nggak dah #HASHTAG",negative,0.8801612257957458
1.552428623222739e+18,id,2022-07-27 23:00:01,706776804,"Jangan merusak kesenangan orang lain!

#BlokirKominfo #ProtesNetizen 
#PSEmelanggarHAM #PSEBerbauKomunis",1.552428623222739e+18,1,0,2,0,jangan merusak kesenangan orang lain! #HASHTAG #HASHTAG #HASHTAG #HASHTAG,neutral,0.5098401308059692
1.552397234360107e+18,qme,2022-07-27 20:55:17,114478093,"#BlokirKominfo
 https://t.co/0wVcdwiYMb",1.552397234360107e+18,1,0,3,0,#HASHTAG HTTPURL,neutral,0.9602899551391602
1.552379175574839e+18,id,2022-07-27 19:43:31,1550280946901204992,"💰 BONUS DEPOSIT 💰 | 🎰 HP138 🎰
✅  5 ribu JADI 25 ribu

Link daftar : https://t.co/MJJBlvftwW
#hp138 #slot 
#SANGE_AAAAAAAAA
#Perawan
#NikitaMirzani
#CopotJugaFadil
#percumalaporpolisi
#barujadian
#blokirkominfo
#ONEPIECE1054
#LabuanBajo 
#Pagii
#Shanks
#ruanggurubts
#Jake https://t.co/MKhMF97QB9",1.552379175574839e+18,0,0,0,0,:money_bag: bonus deposit :money_bag: | :slot_machine: hp138 :slot_machine: :check_mark_button: 5 ribu jadi 25 ribu link daftar : HTTPURL #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG HTTPURL,neutral,0.9516793489456177
1.552348518467408e+18,id,2022-07-27 17:41:42,2918064096,"Duitku bayar pajak dipake mainan
#BlokirKominfo https://t.co/1XUq9Ii2Ym",1.552348518467408e+18,1,0,1,0,duitku bayar pajak dipake mainan #HASHTAG HTTPURL,negative,0.6756848096847534
1.552347869650506e+18,qme,2022-07-27 17:39:08,2918064096,#BlokirKominfo https://t.co/oqiYdwZkJZ,1.552347869650506e+18,1,0,1,0,#HASHTAG HTTPURL,neutral,0.9602899551391602
1.552346745719271e+18,qht,2022-07-27 17:34:40,1169858015127686912,#BlokirKominfo https://t.co/pWGVRqjbLG,1.552346745719271e+18,1,0,1,0,#HASHTAG HTTPURL,neutral,0.9602899551391602
