id,lang,author_id,created_at,conversation_id,text,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.553062471711494e+18,id,1.15556376554428e+18,2022-07-29 16:58:42,1.553052121809166e+18,"@fikrifingkreww @flaraflavia fla ndek akun utama e follow koncoe mas, nang 2nd account tok dee follow akun pemerintahan. kominfo, bnn, jokowi, bahkan luhut difollow.",0,3,0,0,"@USER @USER fla ndek akun utama e follow koncoe mas, nang 2nd account tok dee follow akun pemerintahan. kominfo, bnn, jokowi, bahkan luhut difollow.",neutral,0.970133900642395
1.553061545365557e+18,id,857606054.0,2022-07-29 16:55:01,1.553060146603262e+18,@rayrestufauzi emang badut dah kominfo 🤡,0,0,0,0,@USER emang badut dah kominfo :clown_face:,negative,0.987983226776123
1.553061010537206e+18,id,1.413648624702038e+18,2022-07-29 16:52:54,1.552145615026799e+18,"@hyang_wisnu @kemkominfo @Aryprasetyo85 @zhymme @PlateJohnny @BertaSurabaya @farrel27 @delArdian_ @FirzaHusainID @DS_yantie @03__nakula Memastikan perkembangan pembuatan satelit, Kominfo lakukan kunjungan langsung ke AS. @PlateJohnny @kemkominfo",0,0,0,0,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER memastikan perkembangan pembuatan satelit, kominfo lakukan kunjungan langsung ke as. @USER @USER",neutral,0.9917488098144531
1.553060917272687e+18,id,1.051436356633747e+18,2022-07-29 16:52:31,1.553060917272687e+18,"INI SAMPE DIBLOKIR KOMINFO ANJG, CAPER, GJLS, BOOMER NORAK, ASUUUUUUU https://t.co/RjdieO3T0N",0,0,0,0,"ini sampe diblokir kominfo anjg, caper, gjls, boomer norak, asuuuuuuu HTTPURL",negative,0.9979020357131958
1.553059939253232e+18,id,1.23054901089461e+18,2022-07-29 16:48:38,1.553040478160818e+18,@TretanMuslim @kemkominfo kominfo itu apa ?,0,0,0,0,@USER @USER kominfo itu apa ?,negative,0.922407865524292
1.553059740821127e+18,id,704578399.0,2022-07-29 16:47:51,1.553040478160818e+18,@TretanMuslim @kemkominfo Kominfo ini ultra whyyyyyyy,0,0,0,0,@USER @USER kominfo ini ultra whyyyyyyy,negative,0.9873435497283936
1.553059735431451e+18,id,9.988163840951706e+17,2022-07-29 16:47:50,1.553059735431451e+18,"Apa yg diharapkan dari kominfo sih? Gaada 🤮
Kode etik aja gapunya, otak ya wassalam
Maen nyatut tapi ga izin atau gimana.. https://t.co/Au7un9Pk9o",0,0,0,0,"apa yg diharapkan dari kominfo sih? gaada :face_vomiting: kode etik aja gapunya, otak ya wassalam maen nyatut tapi ga izin atau gimana.. HTTPURL",negative,0.9903506636619568
1.553059631819534e+18,id,1.045292105994711e+18,2022-07-29 16:47:25,1.553059631819534e+18,"""DOAIN AKU BISMILLAH MAU KE DVKUN

BIAR IVANSENA CPT CIMUAN :("" - Denger2 dukunnya diblokir sama kominfo non. Suruh daftarin dulu gih, biar bisa kirim e-jampi (jampi2 digital maksudnya) #tellonym  https://t.co/HFO8LRGO2v",0,1,0,0,"""doain aku bismillah mau ke dvkun biar ivansena cpt cimuan :("" - denger2 dukunnya diblokir sama kominfo non. suruh daftarin dulu gih, biar bisa kirim e-jampi (jampi2 digital maksudnya) #HASHTAG HTTPURL",negative,0.709231436252594
1.553058635626222e+18,id,151539457.0,2022-07-29 16:43:27,1.553058635626222e+18,"hah? yakin? itu aja PSE kominfo pagu 950miliar aja udah pada ribut aktivis bijital yang kagak kecipratan. brin baru dapet duit aja langsung naik tagar yang jelek2in brin, yakin lo pemerintah punya duit? :)) https://t.co/sHVoay4gwJ",1,0,6,0,"hah? yakin? itu aja pse kominfo pagu 950miliar aja udah pada ribut aktivis bijital yang kagak kecipratan. brin baru dapet duit aja langsung naik tagar yang jelek2in brin, yakin lo pemerintah punya duit? :)) HTTPURL",negative,0.9948208332061768
1.553057771503124e+18,id,608795220.0,2022-07-29 16:40:01,1.553057771503124e+18,lagi nunggu beneran diban ga steam sama kominfo,0,1,0,0,lagi nunggu beneran diban ga steam sama kominfo,neutral,0.9467885494232178
1.55305730448794e+18,id,1.168032006925513e+18,2022-07-29 16:38:10,1.55305730448794e+18,Kominfo ribet bener dah,0,0,0,0,kominfo ribet bener dah,negative,0.9977783560752869
1.553057250021102e+18,id,9.388867160933704e+17,2022-07-29 16:37:57,1.552979386978038e+18,@tsetiady Biasalah kominfo,0,0,0,0,@USER biasalah kominfo,negative,0.996356725692749
1.553057101366211e+18,id,1.154816596591776e+18,2022-07-29 16:37:22,1.553057101366211e+18,Kek kontol lama lama nih kominfo https://t.co/ZRIBOmaHMR,1,0,0,0,kek kontol lama lama nih kominfo HTTPURL,negative,0.9966572523117065
1.553056106393801e+18,id,2947779043.0,2022-07-29 16:33:24,1.553055339612094e+18,@spionbekas Kantor kominfo dmna? Mau ku plant bom,0,1,0,0,@USER kantor kominfo dmna? mau ku plant bom,negative,0.6183279752731323
1.553055761445442e+18,id,1.214439685176492e+18,2022-07-29 16:32:02,1.552534745179095e+18,@_profanitee Kominfo be like : wah ada ide baru,0,0,0,0,@USER kominfo be like : wah ada ide baru,neutral,0.989968478679657
1.55305573870012e+18,id,96718385.0,2022-07-29 16:31:57,1.55305573870012e+18,Ini beneran Steam di blokir sama Kominfo. Hahaha lucu banget.,0,1,0,0,ini beneran steam di blokir sama kominfo. hahaha lucu banget.,negative,0.9166293740272522
1.553055417684464e+18,id,1.065410189451383e+18,2022-07-29 16:30:40,1.553054971087622e+18,tkut diintip kominfo wkwk,0,1,0,0,tkut diintip kominfo wkwk,negative,0.9902910590171814
1.553055123743486e+18,id,540675180.0,2022-07-29 16:29:30,1.553040478160818e+18,@TretanMuslim @kemkominfo Kominfo pengen di ulti zeus kayanya,0,0,0,0,@USER @USER kominfo pengen di ulti zeus kayanya,neutral,0.6422494053840637
