id,text,author_id,lang,conversation_id,created_at,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.552327148043932e+18,"@udempong wkwkw ya kan emang steam kayaknya sih ga akan daftar... kita liat aja kominfo beneran blokir ga wkwkw... 
gw juga pengennya jangan smpe.. soalnya nanti harus langganan VPN wkwkwkwk",8.03646624903725e+17,id,1.552326670853751e+18,2022-07-27 16:16:47,0,0,1,0,@USER wkwkw ya kan emang steam kayaknya sih ga akan daftar... kita liat aja kominfo beneran blokir ga wkwkw... gw juga pengennya jangan smpe.. soalnya nanti harus langganan vpn wkwkwkwk,negative,0.9224302172660828
1.552325498126029e+18,"@isakepler @convomfs Kalo ga bikin rusuh, ga bikin heboh, ga kominfo kek nya.
Dulu rusuh mau blokir telegram, mana?
Kmrn rusuh mau blokir wa ig dll, mana?
Ada kok yg ga daftar kmrn masih bisa dibuka.
Emang hobi nya doang bkin rusuh",1.162020579353883e+18,id,1.552178241951379e+18,2022-07-27 16:10:14,0,0,44,0,"@USER @USER kalo ga bikin rusuh, ga bikin heboh, ga kominfo kek nya. dulu rusuh mau blokir telegram, mana? kmrn rusuh mau blokir wa ig dll, mana? ada kok yg ga daftar kmrn masih bisa dibuka. emang hobi nya doang bkin rusuh",negative,0.9938866496086121
1.552307862344385e+18,@txtdrpemerintah blokir kominfo,164273462.0,lt,1.55227624628897e+18,2022-07-27 15:00:09,0,0,1,0,@USER blokir kominfo,negative,0.6144711971282959
1.552302672791114e+18,"Apakah paypal bakal di blokir sama kominfo? jangan dong pacck, dana kenakalan saya jangan direnggut☹️",1.412054170534699e+18,id,1.552302672791114e+18,2022-07-27 14:39:32,0,2,1,0,"apakah paypal bakal di blokir sama kominfo? jangan dong pacck, dana kenakalan saya jangan direnggut:frowning_face:",negative,0.974097490310669
1.55229740205251e+18,@Askrlfess Kominfo blokir michat aja lahhh meresahkannnnnnn,316901719.0,id,1.552006037376418e+18,2022-07-27 14:18:35,0,0,1,0,@USER kominfo blokir michat aja lahhh meresahkannnnnnn,negative,0.996178388595581
1.552285220464128e+18,"kita lihat besok, apa berani blokir aplikasi/situs yg belum daftar PSE ke Kominfo gak... wkwkwkwk... https://t.co/W4K3tpPfsn",67281504.0,id,1.552285220464128e+18,2022-07-27 13:30:11,1,1,1,0,"kita lihat besok, apa berani blokir aplikasi/situs yg belum daftar pse ke kominfo gak... wkwkwkwk... HTTPURL",negative,0.9840736389160156
1.552283283999695e+18,Kenapa sii disela-sela tagar trending populer ada bae psk marketing. Ini kominfo gk blokir apa akun2 psk yg secara terbuka bgitu..??? Anak2 dgn mudah akses. Penasaran mereka bisa merambat ke hal-hal pornografi lainnya nanti. @kemkominfo,245649775.0,id,1.552283283999695e+18,2022-07-27 13:22:29,0,0,1,0,kenapa sii disela-sela tagar trending populer ada bae psk marketing. ini kominfo gk blokir apa akun2 psk yg secara terbuka bgitu..??? anak2 dgn mudah akses. penasaran mereka bisa merambat ke hal-hal pornografi lainnya nanti. @USER,negative,0.9820020198822021
1.552280480548274e+18,"@mohmahfudmd Pemblokiran sejumlah portal seputar dunia Islam atas permintaan BNPT

cc @msaid_didu 

https://t.co/T7quH6nwNS",344063362.0,id,1.551960305223496e+18,2022-07-27 13:11:21,0,0,0,0,@USER pemblokiran sejumlah portal seputar dunia islam atas permintaan bnpt cc @USER HTTPURL,neutral,0.9750055074691772
1.55227480284477e+18,@txtfrombrand blokir kominfo ... uripwe kakean aturan sedangkan atasan kominfo uripe kepenak ? raiso,2808637398.0,id,1.552153539069514e+18,2022-07-27 12:48:47,0,0,1,0,@USER blokir kominfo ... uripwe kakean aturan sedangkan atasan kominfo uripe kepenak ? raiso,negative,0.9936793446540833
1.552255887234191e+18,Jadi ini alesan kenapa KOMINFO mau blokir wasaf https://t.co/79apAsZWMf,1006126717.0,id,1.552255887234191e+18,2022-07-27 11:33:37,0,0,1,0,jadi ini alesan kenapa kominfo mau blokir wasaf HTTPURL,negative,0.7895573377609253
