id,text,author_id,created_at,conversation_id,lang,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.552700047242203e+18,@txtfrombrand Kepo bgt hidup Lo Kominfo,4703334391,2022-07-28 16:58:33,1.552153539069514e+18,id,0,0,0,0,@USER kepo bgt hidup lo kominfo,negative,0.8901950716972351
1.552699412182213e+18,@gogonimi B. Jaehyun WELCOME TO SVT Kominfo Congratulations Jungkook Cibubur Our Beloved Summer Merah CBD #TrailerDiktaDanHukum #TXTvsATEEZ #ARMY #ArmywithyouBTS #ARMYSelcaDay  #TurunkanRajaNgibul #Tawan_V #HEESEUNG_OffMyFace #saldokaget #NCTU_RainDay https://t.co/WUqwQKmdKX,1507547053882183936,2022-07-28 16:56:02,1.552678513831883e+18,en,0,2,0,2,@USER b. jaehyun welcome to svt kominfo congratulations jungkook cibubur our beloved summer merah cbd #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG #HASHTAG HTTPURL,positive,0.9604502320289612
1.552698681941717e+18,"Gak error, tp lgi diintip kominfo. https://t.co/RTgdsiZ5kY",1904547847,2022-07-28 16:53:08,1.552698681941717e+18,id,0,0,0,0,"gak error, tp lgi diintip kominfo. HTTPURL",neutral,0.9697540402412415
1.552698534256087e+18,"@hyang_wisnu @kemkominfo @PlateJohnny @jokowi Mematuhi &amp; mengikuti aturan regulator lokal (PSE Kominfo) demi keberlangsungan bisnis 😎
@PlateJohnny 
@kemkominfo",2352745627,2022-07-28 16:52:32,1.55218297376383e+18,id,0,0,0,0,@USER @USER @USER @USER mematuhi & mengikuti aturan regulator lokal (pse kominfo) demi keberlangsungan bisnis :smiling_face_with_sunglasses: @USER @USER,neutral,0.9679619669914246
1.55269824115352e+18,Siap-siap aja kalo lu ketemu kerabat yang pegawhy kominfo terus dia senyum-senyum pas ketemu lu. Cieee chat-nya dibales cieee,1333623313180942080,2022-07-28 16:51:23,1.55269824115352e+18,id,0,0,0,0,siap-siap aja kalo lu ketemu kerabat yang pegawhy kominfo terus dia senyum-senyum pas ketemu lu. cieee chat-nya dibales cieee,negative,0.41935625672340393
1.552697330834346e+18,emang kominfo gini ya? https://t.co/qmVBCMzDfu,1500186978675225088,2022-07-28 16:47:46,1.552697330834346e+18,id,0,0,0,0,emang kominfo gini ya? HTTPURL,negative,0.6018532514572144
1.552697200383521e+18,@SambelTracy kominfo... ain't that illegal 🫣,1137370915971390976,2022-07-28 16:47:14,1.552460665545425e+18,en,0,1,0,0,@USER kominfo... ain't that illegal :face_with_peeking_eye:,neutral,0.799953281879425
1.552696937648124e+18,"@hyang_wisnu @kemkominfo @Aryprasetyo85 @zhymme @PlateJohnny @03__nakula @DS_yantie @FirzaHusainID @farrel27 @delArdian_ @BertaSurabaya Kominfo memiliki program UMKM Go Online yang bisa diikuti pelaku usaha mikro.
@PlateJohnny 
@kemkominfo",2352745627,2022-07-28 16:46:12,1.552182255577334e+18,id,0,0,0,0,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER kominfo memiliki program umkm go online yang bisa diikuti pelaku usaha mikro. @USER @USER,neutral,0.9143576622009277
1.552695264934183e+18,"Kominfo Bisa Cek Chat WhatsApp Berkat PSE Lingkup Privat, Ini Penjelasan Pakar https://t.co/4LlfLHl7dY #PseLingkupPrivat #Kominfo #Whatsapp #Gmail",1124517245722349952,2022-07-28 16:39:33,1.552695264934183e+18,id,3,0,0,0,"kominfo bisa cek chat whatsapp berkat pse lingkup privat, ini penjelasan pakar HTTPURL #HASHTAG #HASHTAG #HASHTAG #HASHTAG",neutral,0.9971100687980652
1.552694467760493e+18,@yangpunyagalak_ @kominfo https://t.co/rZFD3ZH298,229389817,2022-07-28 16:36:23,1.552687082610442e+18,qme,0,0,1,0,@USER @USER HTTPURL,neutral,0.9391787052154541
