id,text,conversation_id,lang,created_at,author_id,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.55376099013077e+18,"Naikan hastag #BlokirKominfo ✅️
Silahturahmi ke akun kominfo sama mentrinya ✅️
Buat meme kominfo ✅️
Hujat dirjennya✅️
Bom review ✅️
Hacker website kominfo✅️

Nah tinggal turun ke jalanan tuk demo ke kantor kominfo nih yang belum....",1.55376099013077e+18,id,2022-07-31 15:14:22,1.100724332995633e+18,0,0,0,0,naikan hastag #HASHTAG :check_mark_button: silahturahmi ke akun kominfo sama mentrinya :check_mark_button: buat meme kominfo :check_mark_button: hujat dirjennya:check_mark_button: bom review :check_mark_button: hacker website kominfo:check_mark_button: nah tinggal turun ke jalanan tuk demo ke kantor kominfo nih yang belum....,neutral,0.8955853581428528
1.553745729843126e+18,@ShiroNekoBanser dari data yang diperoleh banyak anak pns di kominfo yang sekolah di 2 sekolah ini. sman 8 jakarta dan smk penabur. masing masing mayoritasnya kristen dan islam. jadi kalau mau target bom bukan kominfonya. tapi bom sekolah anaknya supaya jadi kericuhan nasional.,1.553281195815109e+18,id,2022-07-31 14:13:43,8.642553175587799e+17,0,0,0,0,@USER dari data yang diperoleh banyak anak pns di kominfo yang sekolah di 2 sekolah ini. sman 8 jakarta dan smk penabur. masing masing mayoritasnya kristen dan islam. jadi kalau mau target bom bukan kominfonya. tapi bom sekolah anaknya supaya jadi kericuhan nasional.,negative,0.9831148386001587
1.553672304101433e+18,Ne kantor kominfo drpd cuma ditaroin bunga atau dilemparin botol pipis mending di bom sekalian https://t.co/lQgMUUYHuP,1.553672304101433e+18,id,2022-07-31 09:21:57,1.506947561231622e+18,0,0,0,0,ne kantor kominfo drpd cuma ditaroin bunga atau dilemparin botol pipis mending di bom sekalian HTTPURL,negative,0.8482219576835632
1.553665310540308e+18,"fakyu kominfo, lama lama gw bom ddos nangis kao 🤬 https://t.co/u1Miof5zYn",1.553665310540308e+18,id,2022-07-31 08:54:10,1.23233033091421e+18,0,0,0,0,"fakyu kominfo, lama lama gw bom ddos nangis kao :face_with_symbols_on_mouth: HTTPURL",negative,0.9478154182434082
1.553630095990206e+18,"kalo ini beneran= bom kantor kominfo
kalo ini boongan= bom kantor kominfo https://t.co/g72gA84JJI",1.553630095990206e+18,id,2022-07-31 06:34:14,1.248966130481238e+18,0,0,1,0,kalo ini beneran= bom kantor kominfo kalo ini boongan= bom kantor kominfo HTTPURL,negative,0.9958892464637756
1.553598805903577e+18,"@kryssmoon Nanti klo udah bener~bener kepepet bakal ganti dns dkk, karna ini masih kaya bom waktu, tinggal nunggu waktu aja apa kominfo masih kekeh sama peraturannya atau mau dengerin masyarakat yang ada dan merevisinya gitu kristal",1.553428079326171e+18,id,2022-07-31 04:29:54,2166262694.0,0,1,1,0,"@USER nanti klo udah bener~bener kepepet bakal ganti dns dkk, karna ini masih kaya bom waktu, tinggal nunggu waktu aja apa kominfo masih kekeh sama peraturannya atau mau dengerin masyarakat yang ada dan merevisinya gitu kristal",negative,0.9722927212715149
1.553596014736851e+18,"@copiumlezat Talk less do more, katanya mau bom kominfo",1.553593643289547e+18,id,2022-07-31 04:18:48,1.479833460017492e+18,0,1,0,0,"@USER talk less do more, katanya mau bom kominfo",neutral,0.8231041431427002
1.553585023181537e+18,"@aikaragisa Ouh, kukira udah bisa TwT, tinggal menunggu bom waktu aja sampai kominfo unblock game store",1.553322128413716e+18,id,2022-07-31 03:35:08,2166262694.0,0,1,1,0,"@USER ouh, kukira udah bisa twt, tinggal menunggu bom waktu aja sampai kominfo unblock game store",neutral,0.9037746787071228
1.553578087924638e+18,Gimana kalo kita bom kantor kominfo...,1.553578087924638e+18,id,2022-07-31 03:07:34,1.127920848520614e+18,0,0,0,0,gimana kalo kita bom kantor kominfo...,negative,0.994939923286438
1.5534684159645e+18,WOOOEEE KADRUN MORO O KABEH NG KANTOR HEADQUARTER KOMINFO GEK BOM EN!,1.5534684159645e+18,de,2022-07-30 19:51:47,301300972.0,0,0,0,0,woooeee kadrun moro o kabeh ng kantor headquarter kominfo gek bom en!,negative,0.8915407657623291
