id,text,lang,created_at,conversation_id,author_id,retweet_count,reply_count,like_count,quote_count,clean_text,sentiment_label,sentiment_score
1.553750654996586e+18,"@Okpendy Emang iya itu Kominfo otaknya cuan itu, video Reels di Facebook ada cewek "" ga di bl9kir padahal ngundang sawat",id,2022-07-31 14:33:18,1.553711987506704e+18,1810294993,0,0,4,0,"@USER emang iya itu kominfo otaknya cuan itu, video reels di facebook ada cewek "" ga di bl9kir padahal ngundang sawat",negative,0.9962018132209778
1.553750178947289e+18,"@TeddGus @kemkominfo @PlateJohnny @ernestprakasa Yang di sensor kartun Doraemon, Reels dan Video Pendek di Facebook kenapa ga di blokir sih, Kominfo tai",id,2022-07-31 14:31:24,1.553720264302572e+18,1810294993,0,0,0,0,"@USER @USER @USER @USER yang di sensor kartun doraemon, reels dan video pendek di facebook kenapa ga di blokir sih, kominfo tai",negative,0.9903005361557007
1.553738347788784e+18,"Lain kali kalau nyari orang untuk di Kominfo minimal punya akun Facebook lahh, biar gak gaptek https://t.co/1svYTL1nGi",id,2022-07-31 13:44:23,1.553738347788784e+18,829546075878940672,0,0,1,1,"lain kali kalau nyari orang untuk di kominfo minimal punya akun facebook lahh, biar gak gaptek HTTPURL",neutral,0.5422192811965942
1.553731426339922e+18,btul. mending kominfo blokir facebook https://t.co/6Q4aLPXe39,id,2022-07-31 13:16:53,1.553731426339922e+18,167655659,0,0,0,0,btul. mending kominfo blokir facebook HTTPURL,negative,0.9694920778274536
1.55372819530777e+18,"Liat Twitter, Facebook sama IG semuanya sama ""kominfo"", seperti yang sudah terlihat tidak ada penjelasan pasti kepada warga tentang PSE, dan tau-tau semuanya di Blokir.

Well they're fucked up.",id,2022-07-31 13:04:03,1.55372819530777e+18,1382590229421249024,1,1,4,0,"liat twitter, facebook sama ig semuanya sama ""kominfo"", seperti yang sudah terlihat tidak ada penjelasan pasti kepada warga tentang pse, dan tau-tau semuanya di blokir. well they're fucked up.",negative,0.9840562343597412
1.553727938239275e+18,"#RekayasaPolitikTamengResesi
#RekayasaPolitikTamengResesi
Nunes صلاح Suizid ベリアル Mimi Emirhan 水着ベリアル

Semoga rame dan terkumpul banyak. Wkwkwk… 
https://t.co/STdDHp6XgP",ja,2022-07-31 13:03:02,1.553727938239275e+18,77654478,7,3,15,0,#HASHTAG #HASHTAG nunes صلاح suizid ベリアル mimi emirhan 水着ベリアル semoga rame dan terkumpul banyak. wkwkwk… HTTPURL,neutral,0.8839254379272461
1.553716141553357e+18,@Isfunadila1 Facebook memang boomer tapi gak seboomer dari kominfo,id,2022-07-31 12:16:09,1.553551926218064e+18,1546480821699091968,0,0,0,0,@USER facebook memang boomer tapi gak seboomer dari kominfo,negative,0.9918628931045532
1.553701690808758e+18,"@ditamoechtar_ Akun ig, facebook,twitter,web si persib nu kuduna d blok kominfo teh.",et,2022-07-31 11:18:44,1.553698008495055e+18,1079322172168892032,1,1,6,0,"@USER akun ig, facebook,twitter,web si persib nu kuduna d blok kominfo teh.",negative,0.5415311455726624
1.553679753659294e+18,Muncul Gerakan 'Ramai-Ramai Lempar Botol Pipis ke Kantor Kominfo' di Facebook https://t.co/UkYsVYGA5I,id,2022-07-31 09:51:33,1.553679753659294e+18,58880688,1,0,3,0,muncul gerakan 'ramai-ramai lempar botol pipis ke kantor kominfo' di facebook HTTPURL,negative,0.6778019070625305
1.553674933028327e+18,"#BlokirKominfo kenapa Kominfo nggak blokir Google Facebook Whatsaap? karena mereka butuh wkwkwkwk, mereka aja masih pake banyak produk yang belum daftar PSE kok, sok sokan menegakan aturan",id,2022-07-31 09:32:24,1.553674933028327e+18,708590262226845696,0,0,0,0,"#HASHTAG kenapa kominfo nggak blokir google facebook whatsaap? karena mereka butuh wkwkwkwk, mereka aja masih pake banyak produk yang belum daftar pse kok, sok sokan menegakan aturan",negative,0.9963420033454895
1.553672732130554e+18,"I'm sadly because Kominfo was blocked Steam, Epic Games, Paypal, it gamers and freelance in Indonesia are lost income and career. Please unban it before it's too late!!!😡
#amableannouncement #Indonesia
#esportsindonesia https://t.co/iydTSJWwG0",en,2022-07-31 09:23:39,1.553672732130554e+18,1048180737810226944,0,0,0,0,"i'm sadly because kominfo was blocked steam, epic games, paypal, it gamers and freelance in indonesia are lost income and career. please unban it before it's too late!!!:pouting_face: #HASHTAG #HASHTAG #HASHTAG HTTPURL",neutral,0.6078832149505615
1.553654625688924e+18,"Untuk melindungi data privasi penduduk Indonesia yang terintegrasi di dalam PSE Privat seperti PayPal, Steam, dan Epic Game, bahkan Facebook dan Instagram, maka pemerintah mewajibkan PSE Lingkup Privat untuk melakukan pendaftaran pada Kominfo.",id,2022-07-31 08:11:42,1.553654617019257e+18,188252965,0,2,0,0,"untuk melindungi data privasi penduduk indonesia yang terintegrasi di dalam pse privat seperti paypal, steam, dan epic game, bahkan facebook dan instagram, maka pemerintah mewajibkan pse lingkup privat untuk melakukan pendaftaran pada kominfo.",neutral,0.9889963865280151
1.553646079509672e+18,"Instagram = Facebook, Facebook= Instagram ya emang 1 grup perusahaan sih.
Pengen buka Tumblr, tp banyak puisi-puisi galau.
Aku ndak galau kyak dulu lagi hahahha
Malah yg posting keagamaan makin dikit. 
Gegara Tumblr sempat diblokir Kominfo, user Tumblr generasi awal pada ngilang.",id,2022-07-31 07:37:45,1.553646079509672e+18,317103069,0,0,0,0,"instagram = facebook, facebook= instagram ya emang 1 grup perusahaan sih. pengen buka tumblr, tp banyak puisi-puisi galau. aku ndak galau kyak dulu lagi hahahha malah yg posting keagamaan makin dikit. gegara tumblr sempat diblokir kominfo, user tumblr generasi awal pada ngilang.",negative,0.9829463958740234
1.553639735288951e+18,"Semangat buat para hacker yg praktek di situs PSE KOMINFO

Tapi fck you hacker yg ambil alih akun Facebook gue. Ajg lo https://t.co/5ECTP9BkCi",id,2022-07-31 07:12:32,1.553639735288951e+18,85001701,0,1,0,0,semangat buat para hacker yg praktek di situs pse kominfo tapi fck you hacker yg ambil alih akun facebook gue. ajg lo HTTPURL,negative,0.9616022109985352
1.553629614337294e+18,"@Isfunadila1 Habis itu ntar facebook juga di blokir sama kominfo..
Sebelum facebook di blokir kominfo, kominfo harus segera di segel duluan..",id,2022-07-31 06:32:19,1.553551926218064e+18,533389947,0,0,0,0,"@USER habis itu ntar facebook juga di blokir sama kominfo.. sebelum facebook di blokir kominfo, kominfo harus segera di segel duluan..",negative,0.9755499958992004
1.553626148151894e+18,"Done lagi penghapusan akun Facebook √

Butuh jasa hapus akun terpercaya? 
Ke kita aja nder dijamin amanah, pembayaran setelah akun terhapus :) 

• penghapusan tanpa email dan password

• bisa opsi non ID/KTP

• 100% amanah 

--------------

Trending 🔥

#jilbab
#kominfo https://t.co/PbDpGinGjp",id,2022-07-31 06:18:33,1.553626148151894e+18,1191381185387089920,0,0,0,0,"done lagi penghapusan akun facebook √ butuh jasa hapus akun terpercaya? ke kita aja nder dijamin amanah, pembayaran setelah akun terhapus :) • penghapusan tanpa email dan password • bisa opsi non id/ktp • 100% amanah -------------- trending :fire: #HASHTAG #HASHTAG HTTPURL",neutral,0.7978315353393555
1.553617956298703e+18,"dan kominfo masih ngelawak

Source: https://t.co/3ZH7FO3rxL https://t.co/P6gL94drVx",id,2022-07-31 05:46:00,1.553231951825637e+18,61411402,0,0,0,0,dan kominfo masih ngelawak source: HTTPURL HTTPURL,neutral,0.8975900411605835
1.553613882496881e+18,"@PayPal @AskPayPal U stubborn indeed,people now LEAVING #PayPal,coz U dont want to register(different than #Google,#Gmail,#WhatsApp,#Instagram,#Facebook,#Twitter etc)why #Indonesia blocks #PayPal https://t.co/fyOukKwoeh trash indeed!Why so difficult to register?@elonmusk,pls help https://t.co/LvwrCISHA4",en,2022-07-31 05:29:48,1.553613882496881e+18,1546847333945573120,2,0,2,0,"@USER @USER u stubborn indeed,people now leaving #HASHTAG,coz u dont want to register(different than #HASHTAG,#HASHTAG,#HASHTAG,#HASHTAG,#HASHTAG,#HASHTAG etc)why #HASHTAG blocks #HASHTAG HTTPURL trash indeed!why so difficult to register?@elonmusk,pls help HTTPURL",negative,0.9612351655960083
